Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,17.01300,5.48700,11.52600,11.91100,,11.91100,-0.38500,14.60600,14.22100,1.88600,12.33500,12.33500,4.75600,2.60100,-0.38500,148.51300,225.79900,0.07000,0.07000,0.25740,-2.26300,-2.26300,83.58900,27.95510,0.00580,0.60490,0.60840,0.41820,0.60490,13.72250,-0.0789,-0.0799
2024-06-30,51.19200,13.19300,37.99900,12.18600,,12.18600,25.81300,18.27900,44.09200,5.86500,38.22700,38.22700,14.72200,36.04500,25.81300,148.47300,225.17000,0.10000,0.07000,0.25850,50.42390,50.42390,86.13070,28.75840,0.01750,1.88560,1.89840,1.30910,1.88560,13.64350,-0.1031,-0.1048
2024-03-31,9.93500,4.88600,5.04900,12.91600,,12.91600,-7.86700,14.90400,7.03700,0.95400,6.08300,6.08300,2.32600,-4.99700,-7.86700,148.29260,225.11300,0.02000,0.02000,0.26320,-79.18470,-79.18470,70.83040,23.41220,0.00350,0.30600,0.30960,0.21180,0.30600,13.37950,-0.11740,-0.11780
2023-12-31,118.75900,76.28100,42.47800,13.09500,,13.09500,29.38300,24.92000,54.30300,-4.43400,58.73700,58.73700,29.75600,36.24000,29.38300,148.06000,224.36500,0.15000,0.08000,0.31390,24.74170,24.74170,45.72540,25.05580,0.04000,2.96340,3.00160,1.97820,2.96340,13.35340,0.3971,0.397
2023-09-30,65.92300,42.68900,23.23400,11.93800,,11.93800,11.29600,2.86500,14.16100,0.00300,14.15800,14.15800,6.60300,13.16900,11.29600,148.10000,224.54600,0.10000,0.09000,0.32360,17.13510,17.13510,21.48110,10.01620,0.02250,0.73690,0.74900,0.48250,0.73690,12.94440,0.1207,0.1207
2023-06-30,21.34900,11.48000,9.86900,12.71000,,12.71000,-2.84100,53.40100,50.56000,0.00500,50.55500,50.55500,23.57100,6.34500,-2.84100,148.04600,224.27500,0.16000,0.11000,0.32560,-13.30740,-13.30740,236.82610,110.40800,0.00730,2.64920,2.69390,1.73500,2.64920,12.85640,0.3154,0.3154
2023-03-31,5.70100,3.53800,2.16300,13.75200,,13.75200,-11.58900,1.86300,-9.72600,0.00800,-9.73400,-9.73400,-4.53600,-9.57100,-11.58900,147.93900,147.94000,-0.03000,-0.03000,0.33450,-203.28010,-203.28010,-170.60160,-79.56500,0.00200,-0.52420,-0.53570,-0.33820,-0.52420,12.50930,-0.14630,-0.14630
2022-12-31,16.99900,10.32200,6.67700,13.11900,,12.12300,-5.44600,26.45700,21.01100,-1.48100,22.49200,22.49200,11.27700,1.73700,-5.44600,147.66300,147.66400,0.08000,0.06000,0.33220,-32.03720,-32.03720,123.60140,66.33920,0.00590,1.20400,1.23060,0.77940,1.20400,12.59620,-0.0935,-0.0936
2022-09-30,15.41600,9.06800,6.34800,12.03000,,12.03000,-5.68200,-3.84600,-9.52800,-0.00300,-9.52500,-9.52500,-4.43900,1.04700,-5.68200,147.74900,148.11400,-0.03000,-0.02000,0.33590,-36.85780,-36.85780,-61.80590,-28.79480,0.00530,-0.51580,-0.52900,-0.33010,-0.51580,12.45080,-0.2847,-0.2847
2022-06-30,5.39300,4.57800,0.81500,12.65100,,12.65100,-11.83600,0.87200,-10.96400,0.00800,-10.97200,-10.97200,-5.11100,-10.39400,-11.83600,147.73000,148.87000,-0.03000,-0.03000,0.33410,-219.46970,-219.46970,-203.30060,-94.77100,0.00190,-0.59140,-0.60820,-0.37970,-0.59140,12.51050,-0.5087,-0.5091
2022-03-31,4.88600,4.52300,0.36300,16.79100,,36.22800,-35.86500,-0.89900,-36.76400,0.00500,-36.76900,-36.76900,-17.13000,-34.27300,-35.86500,147.40200,149.28500,-0.12000,-0.11000,0.33210,-734.03590,-734.03590,-752.43550,-350.59350,0.00170,-1.97090,-2.02670,-1.25780,-1.97090,12.57980,-0.38830,-0.38830
2021-12-31,182.21500,8.48300,173.73200,17.60500,,123.61700,50.11500,-2.95300,47.16200,-0.33000,47.49200,47.49200,22.48400,56.39000,50.11500,146.62900,222.72500,0.17000,0.16000,0.32580,27.50320,27.50320,25.88260,12.33930,0.06190,2.49910,2.56860,1.61380,2.49910,12.72500,0.741,0.7413
2021-09-30,20.69500,10.17000,10.52500,20.75700,,20.75700,-10.23200,2.02200,-8.21000,,-8.21000,-8.21000,-3.84800,-3.89000,-10.23200,146.66300,146.66300,-0.03000,-0.03000,0.33480,-49.44190,-49.44190,-39.67140,-18.59390,0.00700,-0.44430,-0.45830,-0.27960,-0.44430,12.37330,-0.3031,-0.3031
2021-06-30,8.30400,7.26600,1.03800,19.21800,,19.21800,-18.18000,13.25800,-4.92200,0.00500,-4.92700,-4.92700,-2.28900,-14.06100,-18.18000,146.64300,146.64300,-0.03000,-0.03000,0.33300,-218.93060,-218.93060,-59.27260,-27.56500,0.00280,-0.26530,-0.27440,-0.16880,-0.26530,12.54740,-0.4452,-0.4455
2021-03-31,13.18000,12.36200,0.81800,19.53800,,19.53800,-18.72000,-2.32500,-21.04500,,-21.04500,-21.04500,-9.77900,-9.46800,-18.72000,146.52300,146.52300,-0.07000,-0.07000,0.33200,-142.03340,-142.03340,-159.67380,-74.19580,0.00450,-1.13080,-1.17110,-0.71700,-1.13080,12.57500,-0.35830,-0.35900
2020-12-31,111.71500,78.51000,33.20500,24.91000,,24.91000,8.29500,-2.89800,5.39700,,3.65300,3.65300,0.78200,11.21800,8.29500,145.95600,148.23400,0.00300,0.05800,0.32760,7.42520,7.42520,4.83100,0.70000,0.03770,0.19380,0.20150,0.12330,0.19380,12.71270,-0.0086,-0.0134
2020-09-30,8.37700,6.88400,1.49300,17.65600,,17.65600,-16.16300,52.58500,36.42200,,36.42200,36.42200,16.96400,-12.39200,-16.16300,145.97900,222.10000,0.12000,0.08000,0.32850,-192.94500,-192.94500,434.78570,202.50690,0.00280,1.93850,2.01710,1.22930,1.93850,12.67080,0.1471,0.1442
2020-06-30,24.30700,17.97600,6.33100,16.31200,,16.31200,-9.98100,24.21900,14.23800,,14.23800,14.23800,6.63200,-6.24400,-9.98100,145.96500,222.08500,0.04500,0.03000,0.33530,-41.06230,-41.06230,58.57570,27.28430,0.00840,0.77400,0.77400,0.48960,0.77400,12.40530,-0.064,-0.0659
2020-03-31,9.22000,7.99600,1.22400,24.62600,,24.62600,-23.40200,-29.81700,-53.21900,0.00000,-53.21900,-53.21900,-24.80600,-19.69100,-23.40200,145.88400,148.02700,-0.17000,-0.17000,0.33820,-253.81780,-253.81780,-577.21260,-269.04550,0.00310,-2.92010,-3.05070,-1.81180,-2.92010,12.28970,-0.60410,-0.60890
2019-12-31,146.90600,6.77500,140.13100,25.95700,,123.07000,17.06100,-0.76400,16.29700,1.17900,15.11800,15.11800,6.40000,20.47400,17.06100,145.48300,224.71300,0.04700,0.07500,0.32700,11.61360,11.61360,11.09350,4.35650,0.04890,0.80250,0.83830,0.50310,0.80250,12.72650,0.6932,0.6958
2019-09-30,12.01400,9.08700,2.92700,25.86300,,25.86300,-22.93600,-0.01900,-22.95500,,-22.95500,-22.95500,-10.66300,-16.85200,-22.93600,145.55200,145.55200,-0.07300,-0.07300,0.33020,-190.91060,-190.91060,-191.06880,-88.75480,0.00400,-1.23130,-1.28830,-0.76600,-1.23130,12.59450,-0.5939,-0.5953
2019-06-30,12.38700,8.67800,3.70900,25.99300,,25.99300,-22.28400,-0.34400,-22.62800,,-22.62800,-22.62800,-10.51200,-16.72600,-22.28400,145.53200,145.53300,-0.07200,-0.07200,0.26140,-179.89830,-179.89830,-182.67540,-84.86320,0.00430,-1.20120,-1.25940,-0.78650,-1.20120,12.72630,-0.7594,-0.7628
2019-03-31,13.07300,9.51700,3.55600,25.77300,,25.77300,-22.21700,76.21600,53.99900,1.26600,52.73300,52.73300,23.80800,-16.63900,-22.21700,145.27300,224.57100,0.16000,0.11000,0.25840,-169.94570,-169.94570,413.05750,182.11580,0.00450,2.76910,2.90900,1.82750,2.76910,12.86530,-0.37250,-0.37780
2018-12-31,7.94500,3.63400,4.31100,15.15200,,15.15200,-10.84100,-0.38200,-11.22300,,-20.40600,-20.40600,-14.30300,-9.32400,-10.84100,144.86200,144.86200,-0.09900,-0.11200,0.30130,-136.45050,-136.45060,-141.25860,-180.02510,0.00270,-1.10390,-1.16430,-0.69790,-1.10390,12.69150,-0.7153,-0.7297
2018-09-30,12.98800,7.80100,5.18700,26.22000,,26.22000,-21.03300,-0.90600,-21.93900,,-21.93900,-21.93900,-10.01900,-17.10200,-21.03300,144.88600,144.88600,-0.06900,-0.06900,0.29790,-161.94180,-161.94180,-168.91740,-77.14040,0.00440,-1.17390,-1.23830,-0.74150,-1.17390,12.83200,-0.5159,-0.5205
2018-06-30,13.09000,7.92200,5.16800,29.01500,,29.01500,-23.84700,12.54400,-11.30300,,-11.30300,-11.30300,-5.16000,-19.92600,-23.84700,144.87000,144.87100,-0.03600,-0.03600,0.29470,-182.17720,-182.17720,-86.34840,-39.41940,0.00440,-0.59860,-0.63240,-0.38210,-0.59860,12.96120,-0.8241,-0.8124
2018-03-31,14.96700,9.51700,5.45000,28.59600,,28.59600,-23.14600,8.84900,-14.29700,,-14.29700,-14.29700,-5.23200,-19.25500,-23.14600,144.78700,226.23200,-0.03600,-0.02300,0.29350,-154.64690,-154.64690,-95.52350,-34.95690,0.00500,-0.74780,-0.79110,-0.48170,-0.74780,13.12370,-0.31450,-0.28940
