Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.03600,0.01270,0.02330,2.53190,2.53180,-2.50850,0.06010,-2.44840,-2.44840,-2.44830,-2.44830,-2.50430,-2.50850,10.84700,10.84700,-0.23000,-0.23000,16.39200,,64.76920,-6962.10800,-6962.10800,-6795.30400,-6794.86200,0.00690,0.08020,2.37500,37.89490,-49.38200,-51.99270,-46.56980,-49.38200,0.38550,0.009,0.009
2024-06-30,0.02680,0.00720,0.01960,1.31660,1.31670,-1.29700,0.01370,-1.28330,-1.28330,-1.28460,-1.28450,-1.29320,-1.29700,7.49800,7.49800,-0.17000,-0.17000,5.57340,,72.99930,-4832.41800,-4832.41800,-4781.42300,-4785.74100,0.01720,0.04990,2.29010,39.29960,-95.08610,-114.19450,-82.18310,-95.08540,0.17810,-0.1654,-0.1628
2024-03-31,0.07870,0.00920,0.06950,1.14320,1.14320,-1.07370,0.02620,-1.04750,-1.04750,-1.04750,-1.04120,-1.07110,-1.07370,7.43700,7.43700,-0.14000,-0.14000,5.05350,,88.36170,-1364.81300,-1364.81300,-1331.55500,-1323.43200,0.02780,0.05960,21.45960,4.19390,-45.01740,-48.54680,-36.96090,-45.01740,0.31290,-0.10260,-0.10520
2023-12-31,0.02050,0.00520,0.01530,1.63980,1.63980,-1.62450,0.83280,-0.79170,-0.79170,-0.79170,-0.78070,-1.62270,-1.62450,7.35700,7.35700,-0.11000,-0.11000,8.06500,,74.52640,-7910.75100,-7910.75300,-3855.39300,-3801.64900,0.00570,0.03340,2.19180,41.06210,-24.68950,-25.52980,-21.79860,-24.68960,0.43120,-0.1395,-0.1409
2023-09-30,0.02410,0.00400,0.02010,2.43570,2.43570,-2.41550,0.11830,-2.29720,-2.29720,-2.29720,-2.29720,-2.41470,-2.41550,7.41500,7.41500,-0.31000,-0.31000,3.56150,0.15450,83.52340,-10017.57000,-10017.57000,-9526.76700,-9526.76700,0.00540,0.02500,1.66490,54.05670,-70.97330,-72.59620,-51.81120,-70.97340,0.43520,-0.0895,-0.0895
2023-06-30,0.03550,0.00940,0.02620,0.90300,0.90300,-0.87690,0.06550,-0.81140,-0.81140,-0.81140,-0.82240,-0.87600,-0.87690,7.28700,7.28700,-0.11000,-0.11000,4.32250,0.12520,73.62410,-2467.24800,-2467.24800,-2283.06400,-2314.11600,0.00690,0.05860,2.48150,36.26840,-20.32060,-20.63110,-15.67740,-20.32060,0.54800,-0.1119,-0.1119
2023-03-31,0.03060,0.00710,0.02350,0.80290,0.80290,-0.77940,0.03100,-0.74840,-0.74840,-0.74840,-0.74840,-0.77860,-0.77940,7.28700,7.28700,-0.10000,-0.10000,4.91510,0.10560,76.73430,-2550.47800,-2550.47800,-2448.99900,-2448.99900,0.00520,0.04490,8.60850,10.45480,-15.80590,-15.97300,-12.61980,-15.80590,0.64990,-0.18040,-0.18040
2022-12-31,0.03840,0.00690,0.03160,0.75120,0.75110,-0.71960,0.01290,-0.70680,-0.70680,-0.70680,-0.70680,-0.71950,-0.71960,5.57240,5.57240,-0.10000,-0.10000,3.80990,0.09130,82.12840,-1872.83300,-1872.83300,-1839.37400,-1839.37500,0.00520,0.04450,7.88180,11.41870,-12.90020,-12.90020,-9.50950,-12.90020,0.75180,-0.1452,-0.1452
2022-09-30,0.54530,0.18730,0.35800,0.65120,0.65120,-0.29320,0.15780,-0.13540,-0.13540,-0.13540,-0.13540,-0.29310,-0.29320,5.18700,5.18700,-0.03000,-0.03000,4.21370,0.07870,65.65380,-53.76520,-53.76520,-24.82950,-24.82950,0.06530,1.23160,52.67800,1.70850,-2.13070,-2.13070,-1.62100,-2.13070,0.87290,-0.1778,-0.1778
2022-06-30,0.41430,0.12300,0.29130,0.73640,0.73640,-0.44510,-0.01730,-0.46240,-0.46240,-0.46240,-0.46240,-0.44500,-0.44510,4.89700,4.89700,-0.09000,-0.09000,,,70.30280,-107.43800,-107.43800,-111.61440,-111.61440,,,,,,,,,,-0.033,-0.033
2022-03-31,0.32330,0.04600,0.27730,0.65240,0.65240,-0.37510,-0.01810,-0.39320,-0.39320,-0.39320,-0.39320,-0.37500,-0.37510,4.88800,4.88800,-0.08000,-0.08000,,,85.76810,-116.01960,-116.01960,-121.62770,-121.62770,,,,,,,,,,-0.04160,-0.04160
2021-12-31,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0.1509,0.1509
2021-09-30,0.05600,0.00930,0.04670,1.84210,1.84210,-1.79540,-0.00430,-1.79970,-1.79970,-1.79970,-1.79970,-1.79540,-1.79540,4.42400,4.42400,-0.41000,-0.41000,,,83.37320,-3207.87800,-3207.87800,-3215.48700,-3215.48700,,,,,,,,,,-0.1509,-0.1509
2020-12-31,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
