Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,9824.70300,5119.88400,4704.81900,735.06300,1060.27900,1795.34200,2909.47800,-206.52300,2702.95400,339.44500,2363.50900,2363.50900,2363.50900,6689.91200,2909.47800,428.23900,437.89800,5.52000,5.40000,1.13280,0.38400,0.70340,47.88770,29.61390,29.61390,27.51180,24.05680,0.18790,10.40240,10.40240,4.52070,6.40840,53.15310,5.3341,5.0429
2024-06-30,9559.31000,5174.14300,4385.16700,711.25400,1071.07600,1782.33000,2602.83700,-88.98100,2513.85600,366.55000,2147.30600,2147.30600,2147.30600,6453.75400,2602.83700,430.06500,439.73900,4.99000,4.88000,0.94830,0.35520,0.63220,45.87330,27.22830,27.22830,26.29750,22.46300,0.19470,9.71070,9.71070,4.37340,6.26170,51.52490,2.9573,2.7785
2024-03-31,9370.44000,4977.07300,4393.36700,702.47300,1058.36000,1760.83300,2632.53400,-17.95500,2614.57900,282.37000,2332.20900,2332.20900,2332.20900,6390.57300,2632.53400,432.09000,441.65400,5.40000,5.28000,1.06800,0.38220,0.65600,46.88540,28.09400,28.09400,27.90240,24.88900,0.19190,10.91580,10.91580,4.77640,6.74390,49.57570,5.00960,4.83820
2023-12-31,8832.82500,5307.48400,3525.34100,673.34120,1355.89000,2029.23100,1496.11000,-347.95890,1148.15000,210.31200,937.83800,937.83800,937.83850,5336.75500,1496.11100,441.57100,449.49800,2.17000,2.13000,1.11930,0.40720,0.70640,39.91180,16.93810,16.93810,12.99870,10.61770,0.18130,4.55520,4.55520,1.92450,2.70020,47.57440,3.714,3.5316
2023-09-30,8541.66800,4930.78800,3610.88000,657.15900,1037.32700,1694.48600,1916.39400,-7.34500,1909.04900,231.62700,1677.42200,1677.42200,1677.42200,5580.40700,1916.39400,441.53700,450.01100,3.80000,3.73000,1.29270,0.38600,0.64690,42.27370,22.43580,22.43580,22.34980,19.63810,0.17260,7.58750,7.58750,3.38860,4.65840,50.51090,4.455,4.2229
2023-06-30,8187.30100,4673.47000,3513.83100,657.98300,1028.66500,1686.64800,1827.18300,-147.85100,1679.33200,191.72200,1487.61000,1487.61000,1487.61000,5326.58900,1827.18300,443.88100,451.57200,3.35000,3.29000,1.32630,0.38130,0.63370,42.91810,22.31730,22.31730,20.51140,18.16970,0.16110,6.51540,6.51540,2.92740,4.03120,51.52290,3.1984,2.9745
2023-03-31,8161.50300,4803.62500,3357.87800,687.27500,956.28600,1643.56100,1714.31700,-245.44300,1468.87400,163.75400,1305.12000,1305.12000,1305.12000,5264.63600,1714.31700,445.24400,452.41700,2.93000,2.88000,1.26050,0.39140,0.66140,41.14290,21.00490,21.00490,17.99760,15.99120,0.16490,5.97910,5.97910,2.63710,3.63890,49.10320,4.81580,4.67870
2022-12-31,7852.05300,5404.16000,2447.89300,673.92600,1224.06300,1897.98900,549.90380,-510.56800,39.33610,-15.94800,55.28420,55.28420,55.28380,4588.11800,549.90580,444.69800,451.29000,0.12000,0.12000,1.16840,0.40860,0.69080,31.17520,7.00330,7.00330,0.50100,0.70410,0.16160,0.26610,0.26610,0.11380,0.15740,46.65440,0.9761,0.7302
2022-09-30,7925.58900,4788.66500,3136.92400,662.73900,941.16700,1603.90600,1533.01800,88.82900,1621.84700,223.60500,1398.24200,1398.24200,1398.24200,5271.79700,1533.01800,444.87800,450.34400,3.14000,3.10000,1.13530,0.40350,0.67650,39.57970,19.34260,19.34260,20.46340,17.64210,0.16660,6.81130,6.81130,2.93980,4.06270,46.12860,1.2356,1.0471
2022-06-30,7970.14100,4690.75500,3279.38600,716.84600,984.25700,1701.10300,1578.28300,44.77100,1623.05400,182.10300,1440.95100,1440.95100,1440.95100,4923.13600,1578.28300,444.55700,450.16900,3.24000,3.20000,1.04540,0.42730,0.74610,41.14590,19.80250,19.80250,20.36420,18.07940,0.17200,7.55370,7.55370,3.10880,4.32600,42.89570,0.241,0.0393
