Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,4.89400,4.89400,22.20500,12.69200,-30.00300,3.57300,-26.43000,-26.43000,-26.43000,-26.43000,-30.01000,-30.00300,56.34100,56.34100,-0.47000,-0.47000,5.08600,100.00000,-613.05680,-613.05680,-540.04900,-540.04900,0.01670,7.08250,12.70740,-11.38670,-11.38670,-9.01070,-11.38670,4.38440,-0.376,-0.3777
2024-06-30,4.83100,4.83100,21.13600,13.03700,-29.34200,3.64700,-25.69500,-25.69500,-25.69500,-25.69500,-29.08300,-29.34200,55.76600,55.76600,-0.46000,-0.46000,6.67460,100.00000,-607.36910,-607.36910,-531.87740,-531.87740,0.01570,15.83930,5.68210,-10.58680,-10.58680,-8.34910,-10.58680,4.64020,-0.2227,-0.2235
2024-03-31,4.21600,4.21600,22.36800,10.22000,-28.37200,1.99800,-26.37400,-26.37400,-26.37400,-26.37400,-27.83300,-28.37200,46.24700,46.24700,-0.57000,-0.57000,5.43060,100.00000,-672.96020,-672.96020,-625.56930,-625.56930,0.02050,383.27270,0.23480,-18.79270,-18.79270,-12.85400,-18.79270,3.01820,-0.53120,-0.53150
2023-12-31,2.80100,2.80100,21.77800,10.61000,-29.58700,2.62900,-26.95800,-26.95800,-26.95800,-26.95800,-29.05200,-29.58700,43.99500,43.99500,-0.61000,-0.61000,6.98720,100.00000,-1056.30200,-1056.30200,-962.44200,-962.44200,0.01230,43.76560,2.05640,-16.89470,-16.89470,-11.80600,-16.89470,3.47500,-0.4777,-0.4832
2023-09-30,3.30800,3.30800,20.27100,10.27100,-27.23400,2.69200,-24.54200,-24.54200,-24.54200,-24.54200,-26.71900,-27.23400,44.26600,44.26600,-0.55000,-0.55000,9.12740,100.00000,-823.27690,-823.27690,-741.89840,-741.89840,0.01380,34.45830,2.61190,-14.18620,-14.18620,-10.23060,-14.18620,3.90580,-0.3883,-0.3968
2023-06-30,-2.48100,-2.48100,20.55100,10.23000,-33.26200,2.60800,-30.65400,-30.65400,-30.65400,-30.65400,-32.79700,-33.26200,44.18800,44.18800,-0.69000,-0.69000,11.27590,100.00000,1340.66900,1340.66900,1235.55000,1235.55000,-0.00970,-18.24270,-4.93350,-16.11710,-16.11710,-11.93140,-16.11710,4.30280,-0.4745,-0.4935
2023-03-31,5.15200,5.15200,19.63100,10.21100,-24.69000,2.14500,-22.54500,-22.54500,-22.54500,-22.54500,-24.06100,-24.69000,42.53600,42.53600,-0.53000,-0.53000,8.57160,100.00000,-479.23140,-479.23140,-437.59700,-437.59700,0.01830,10.47150,8.59470,-10.54380,-10.54380,-8.00050,-10.54380,4.84030,-0.50210,-0.50590
2022-12-31,3.26900,3.26900,21.06100,9.38300,-27.17500,1.52000,-25.65500,-25.65500,-25.65500,-25.65500,-26.71700,-27.17500,38.89700,38.89700,-0.65000,-0.65000,7.77440,100.00000,-831.29390,-831.29430,-784.79660,-784.79660,0.01280,5.55950,16.18840,-13.87890,-13.87890,-10.01890,-13.87890,4.68680,-0.5784,-0.5902
2022-09-30,2.90500,2.90500,20.10900,9.94400,-27.14800,1.03700,-26.11100,-26.11100,-26.11100,-26.11100,-26.86200,-27.14800,39.42000,39.42000,-0.66000,-0.66000,9.18910,100.00000,-934.52660,-934.52660,-898.82970,-898.82970,0.01050,7.35440,12.23750,-12.79050,-12.79050,-9.40510,-12.79050,5.17790,-0.5608,-0.6121
2022-06-30,3.23100,3.23100,18.35800,10.11100,-25.23800,0.58600,-24.65200,-24.65200,-24.65200,-24.65200,-25.12900,-25.23800,39.25800,39.25800,-0.63000,-0.63000,10.45820,100.00000,-781.12040,-781.12040,-762.98360,-762.98360,0.01070,9.23140,9.74930,-10.98960,-10.98960,-8.17840,-10.98960,5.69600,-0.5476,-0.564
2022-03-31,3.00000,3.00000,18.30900,9.48600,-24.79500,0.14600,-24.64900,-24.64900,-24.64900,-24.64900,-24.31300,-24.79500,37.44800,37.44800,-0.66000,-0.66000,13.34950,100.00000,-826.50010,-826.50010,-821.63340,-821.63340,0.00950,11.32080,7.95000,-10.27140,-10.27140,-7.80180,-10.27140,6.14620,0.86760,0.84520
2021-12-31,,,15.80200,8.72400,-24.52600,0.07800,-24.44800,-24.44800,-24.44800,-24.44800,-24.23400,-24.52600,36.73900,36.73900,-0.67000,-0.67000,13.37410,,,,,,,,,-11.22620,-11.22620,-10.23510,-11.22620,5.90150,-0.4432,-0.4488
