Date,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,1.31000,-6.67000,-7.98000,-1.85200,-9.83200,0.14000,-9.97200,-9.97200,-9.97200,-7.98000,-7.98000,11.36400,11.36400,-0.60000,-0.60000,0.55530,-0.52780,52.69220,52.69220,-17.27680,52.69220,-1.66530,-0.008,-0.008
2024-06-30,3.50200,,-3.50200,-1.52300,-1.52300,0.12300,-1.64600,-1.64600,-5.14800,-3.50200,-3.50200,11.36400,11.36400,-0.31000,-0.31000,0.08500,-0.39550,10.84540,10.84540,-2.87130,10.84540,-1.33550,-0.1057,-0.1057
2024-03-31,0.82200,-1.50000,-2.32200,-1.73300,-4.05500,0.21300,-4.26800,-4.26800,-4.26800,-2.32200,-2.32200,11.36400,11.36400,-0.23000,-0.23000,0.01330,-0.31530,44.62100,44.62100,-7.61230,44.62100,-0.84170,-0.09120,-0.09120
2023-12-31,0.67200,,-0.67200,4.33200,3.66000,0.66800,2.99200,2.99200,2.99200,-0.67200,-0.67200,11.36400,11.36400,0.07000,0.07000,0.08190,-0.18230,-49.58570,-49.58570,1.10220,-49.58570,-0.51840,-0.1383,-0.1383
2023-09-30,0.93500,-1.82500,-2.76000,3.95300,1.19300,0.94300,0.25000,0.25000,0.25000,-2.76000,-2.76000,11.36400,11.36400,0.01000,0.01000,0.94080,-0.01630,-2.04330,-2.04330,0.07040,-2.04330,-1.07660,-0.014,-0.014
2023-06-30,2.17300,,-2.17300,5.44400,3.27100,0.84000,2.43100,2.43100,2.43100,-2.17300,-2.17300,11.36400,11.36400,0.05000,0.05000,0.11190,-0.01230,-14.95450,-14.95450,0.69290,-14.95450,-1.43050,-0.1815,-0.1815
2023-03-31,1.04500,,-1.04500,2.54100,1.49600,0.77000,0.72600,0.72600,0.72600,-1.04500,-1.04500,11.36500,11.36500,0.02000,0.02000,0.32170,,-4.70450,-4.70450,0.20820,-4.70450,-1.35800,-0.03890,-0.03890
2022-12-31,0.57200,,-0.57200,3.80600,3.23400,0.60000,2.63400,2.63400,2.63400,-0.57200,-0.57200,11.36400,11.36400,0.05000,0.05000,1.57450,,-19.76740,-19.76740,0.76220,-19.76740,-1.17260,-0.1104,-0.1104
2022-09-30,0.58000,,-0.58000,3.53900,2.95900,0.30000,2.65900,2.65900,2.65900,-0.58000,-0.58000,11.36400,11.36400,0.06000,0.06000,1.60590,,-19.36350,-19.36350,0.77270,-19.36350,-1.20840,-0.0496,-0.0496
2022-06-30,0.58600,,-0.58600,4.47500,3.88900,0.02000,3.86900,3.86900,3.86900,-0.58600,-0.58600,11.36400,11.36400,0.09000,0.09000,2.50760,,-25.53800,-25.53800,1.12690,-25.53800,-1.33320,-0.0217,-0.0217
2022-03-31,0.57100,,-0.57100,6.71300,6.14200,,6.14200,6.14200,6.14200,-0.57100,-0.57100,11.36500,11.36500,0.14000,0.14000,4.16900,,-32.29400,-32.29410,1.78900,-32.29400,-1.67360,-0.03170,-0.03170
2021-12-31,0.65900,,-0.65900,,2.52700,,2.52300,2.52300,2.52700,-0.65900,-0.65900,10.67900,10.67900,0.13020,0.13020,6.65870,,-10.02740,-10.02740,0.73400,-10.02740,-2.21410,-0.1068,-0.1068
2021-09-30,0.00400,,-0.00400,,-0.00400,-0.00400,,,-0.00400,-0.00400,-0.00400,10.00000,10.00000,0.00000,0.00000,0.51960,10.26320,,,,,0.00170,0,0
2021-06-30,,,,,,,,,,,,10.00000,10.00000,0.00000,0.00000,,,,,,,,0,0
2021-03-31,0.00200,,-0.00200,,-0.00200,,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,10.00000,10.00000,-0.00020,-0.00020,,,,,,,,0.00000,
2020-12-31,,,,,,,,,,,,,,,0.00000,,,,,,,,0,0
