Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,270.89000,81.86800,189.02200,14.26500,65.47500,123.54700,-22.59700,100.95000,100.95000,100.95000,,100.79700,175.74300,123.54700,226.16600,227.14900,0.45000,0.44000,0.50600,1.02430,45.60780,45.60780,37.26610,37.20960,0.04370,3.59730,3.59730,1.63020,1.77710,12.41710,0.6368,0.5821
2024-06-30,266.20900,83.09700,183.11200,14.62200,65.65700,117.45500,-23.26900,94.18600,94.18600,94.18600,,93.96400,169.50500,117.45500,225.88600,226.61800,0.42000,0.41000,0.50820,1.03340,44.12140,44.12140,35.38050,35.29710,0.04300,3.37410,3.37410,1.52290,1.65940,12.39540,0.7538,0.7035
2024-03-31,261.40600,77.03700,184.36900,15.62500,66.34200,118.02700,-23.16900,94.85800,94.85800,94.85800,,94.52700,169.77400,118.02700,225.76700,226.57500,0.42000,0.42000,0.51040,1.04260,45.15080,45.15080,36.28760,36.16100,0.04210,3.38320,3.38320,1.52780,1.65630,12.46320,0.66270,0.53120
2023-12-31,265.12500,71.28600,193.83900,13.98200,64.54800,129.29100,-16.15400,113.13700,113.13700,113.13700,,112.66700,180.88700,129.29090,225.42400,226.24100,0.50000,0.51000,0.50890,1.03630,48.76600,48.76600,42.67310,42.49580,0.04260,4.01120,4.01120,1.81750,1.96990,12.54010,0.6287,0.4933
2023-09-30,267.87600,77.54600,190.33000,14.06000,64.04500,126.28500,-23.21200,103.07300,103.07300,103.07300,,102.64500,177.30000,126.28500,225.46700,226.21000,0.46000,0.45000,0.50860,1.03490,47.14310,47.14310,38.47790,38.31810,0.04300,3.65340,3.65340,1.65360,1.79540,12.54680,0.7508,0.7226
2023-06-30,260.80500,74.82100,185.98400,14.32500,64.68300,121.30100,-23.01800,98.28300,98.28300,98.28300,,97.87900,172.70000,121.30100,225.38800,226.27500,0.43000,0.43000,0.51310,1.05400,46.51020,46.51020,37.68450,37.52960,0.04150,3.49060,3.49060,1.56470,1.69940,12.52520,0.7174,0.655
2023-03-31,256.52800,71.12700,185.40100,14.67400,65.00300,120.39800,-22.45600,97.94200,97.94200,97.94200,,97.56600,171.76700,120.39800,225.29400,226.18300,0.43000,0.43000,0.51500,1.06200,46.93370,46.93370,38.17990,38.03330,0.04080,3.47120,3.47120,1.55690,1.68340,12.55870,0.60440,0.55510
2022-12-31,260.98710,72.49300,188.49400,12.98300,82.41600,106.07810,-23.90600,82.17210,82.17210,82.17200,,81.86200,176.52310,106.07800,224.92800,225.88100,0.36000,0.36000,0.51330,1.05480,40.64500,40.64490,31.48510,31.36630,0.04130,2.89300,2.89300,1.29900,1.40790,12.64620,0.6426,0.5815
2022-09-30,261.40800,76.72800,184.68000,13.39000,92.96400,91.71600,21.72400,113.44000,113.44000,113.44000,,112.88800,172.25900,91.71600,225.02300,225.96600,0.50000,0.50000,0.51320,1.05430,35.08540,35.08540,43.39580,43.18460,0.04100,3.95850,3.95850,1.78050,1.92690,12.76120,0.7173,0.5832
2022-06-30,248.66400,73.47200,175.19200,13.72500,92.77100,82.42100,-23.82700,58.59400,58.59400,58.59400,,58.35800,162.42600,82.42100,224.96000,225.89500,0.26000,0.26000,0.52220,1.09310,33.14550,33.14550,23.56350,23.46860,0.03870,2.06310,2.06310,0.91140,0.98570,12.65350,0.6795,0.5085
