Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,49.28900,8.43100,40.85800,8.19100,-10.95200,29.23000,11.62800,0.03700,11.66500,0.24400,11.42100,,11.42100,12.72900,21.71700,11.62800,127.51500,130.14400,0.10000,0.09000,0.64040,2.36580,23.59150,23.59150,23.66650,25.82520,0.01280,1.05110,1.05110,0.29750,0.37800,8.37820,0.2341,0.2113
2024-06-30,53.35100,7.90300,45.44800,9.57800,-95.26400,113.79500,-68.34700,-0.14200,-68.48900,0.19400,-68.68300,,-68.68300,-67.86000,-59.00300,-68.34700,127.98600,127.98600,-0.53000,-0.53000,0.62890,2.27700,-128.10820,-128.10820,-128.37430,-127.19540,0.01410,-6.24920,-6.24920,-1.81810,-2.31920,8.41360,0.1776,0.1787
2024-03-31,55.63400,8.64500,46.98900,8.77100,-85.01400,104.17500,-57.18600,0.33100,-56.85500,0.25200,-57.10700,,-57.10700,-57.10300,-46.14200,-57.18600,127.32600,127.32600,-0.45000,-0.45000,0.61960,2.16590,-102.78970,-102.78970,-102.19470,-102.64050,0.01410,-4.79920,-4.79920,-1.44700,-1.82570,9.10870,0.19300,0.17440
2023-12-31,59.85200,7.95300,51.89900,9.35700,-49.93400,68.00700,-16.10800,0.00100,-16.10700,0.20400,-16.31100,,-16.31100,-16.32500,-7.36200,-16.10800,127.06000,127.06000,-0.13000,-0.12000,0.61770,2.12410,-26.91310,-26.91310,-26.91140,-27.27560,0.01430,-1.27580,-1.27580,-0.38850,-0.48780,9.83550,0.3044,0.2932
2023-09-30,59.08500,7.39200,51.69300,11.97100,-18.10100,38.92300,12.77000,-0.22000,12.55000,0.15800,12.39200,,12.39200,12.38900,21.32500,12.77000,127.19700,129.98600,0.10000,0.09000,0.62590,2.16240,21.61290,21.61290,21.24060,20.96810,0.01360,0.94210,0.94210,0.28470,0.35250,10.11880,0.2853,0.2841
2023-06-30,55.21900,5.44300,49.77600,9.36800,-39.83200,57.14100,-7.36500,0.17700,-7.18800,0.31000,-7.49800,,-7.49800,-7.48600,0.69400,-7.36500,127.17300,127.17300,-0.06000,-0.06000,0.62560,2.15850,-13.33780,-13.33780,-13.01730,-13.55690,0.01270,-0.56690,-0.56690,-0.17220,-0.21230,10.17040,0.1802,0.1519
2023-03-31,58.56100,5.85200,52.70900,8.80500,-49.43000,66.23100,-13.52200,0.65500,-12.86700,0.39000,-13.25700,,-4.20200,-4.12700,-5.69400,-13.52200,126.66500,126.66500,-0.03000,-0.03000,0.64160,2.26590,-23.09050,-23.09050,-21.97200,-7.04740,0.01270,-0.31020,-0.31020,-0.09130,-0.11120,10.42410,0.31320,0.29840
2022-12-31,58.96500,6.41800,52.54700,8.16400,-30.67800,47.05500,5.49200,0.04000,5.53200,1.30600,4.22600,,4.22600,4.24000,12.75700,5.49200,127.30200,129.30000,0.04000,0.03000,0.64350,2.27790,9.31400,9.31400,9.38180,7.19070,0.01240,0.30420,0.30420,0.08900,0.10850,10.77830,0.2659,0.2433
2022-09-30,55.22800,5.81400,49.41400,8.37300,-52.27400,69.21900,-19.80500,-0.03000,-19.83500,0.63300,-20.46800,,-20.46800,-20.46300,-11.45200,-19.80500,126.56400,126.56400,-0.16000,-0.16000,0.67200,2.50750,-35.86040,-35.86040,-35.91480,-37.05190,0.00960,-1.45870,-1.45870,-0.35410,-0.47840,10.88050,0.2816,0.7156
2022-06-30,55.33100,5.26600,50.06500,8.26900,-22.31200,39.30100,10.76400,24.33200,35.09600,0.46500,34.63100,,34.63100,34.28700,18.25600,10.76400,127.75600,129.59500,0.26000,0.26000,0.66250,2.41600,19.45380,19.45380,63.42920,61.96710,0.00950,2.38280,2.38280,0.59300,0.80430,11.26930,0.172,0.1712
2022-03-31,53.82900,6.72400,47.10500,8.22500,-12.16300,28.98200,18.12300,10.28800,28.41100,0.03600,28.37500,,28.40000,27.72400,26.10200,18.12300,128.75800,129.74500,0.21000,0.21000,0.64010,2.26010,33.66770,33.66770,52.78010,51.50380,0.00930,1.89850,1.89850,0.48960,0.68320,11.53970,0.24940,0.23810
2021-12-31,61.62200,8.15100,53.47100,7.40700,-5.95600,21.37900,32.09200,58.19800,90.29000,6.14600,84.14400,,85.27200,81.04500,41.24400,32.09200,128.49600,128.49600,0.61000,0.61000,0.61740,2.12340,52.07880,52.07880,146.52230,131.51960,0.01090,5.71790,5.71790,1.51240,2.18800,11.49210,0.3861,0.3869
2021-09-30,60.74000,7.26600,53.47400,7.89700,-13.73800,30.48500,22.98900,3.30900,26.29800,2.06500,24.23300,,-71.74400,-70.05700,32.98200,22.98900,128.69300,128.69300,-0.54000,-0.54000,0.55070,1.68130,37.84820,37.84820,43.29600,-115.33910,0.01110,-4.27230,-4.27230,-1.30950,-1.91930,12.94160,0.4508,2.9565
2021-06-30,52.11600,9.09600,43.02000,10.05300,-13.62100,33.81800,9.20200,0.83600,10.03800,-0.13400,10.17200,,-23.61600,-19.72000,20.79900,9.20200,128.29800,128.29800,-0.15000,-0.15000,0.50710,1.45640,17.65680,17.65680,19.26090,-37.83870,0.00960,-1.32100,-1.32100,-0.43400,-0.65120,13.77700,-1.0152,-1.0016
2021-03-31,49.99900,15.36900,34.63000,6.78600,-19.95500,145.45100,-110.82100,17.00500,-93.81600,-1.80100,-92.01500,,-94.49300,-92.31400,-99.54800,-110.82100,129.78100,129.78100,-0.71000,-0.71000,0.46930,1.30590,-221.64640,-221.64640,-187.63580,-184.63170,0.00810,-5.14750,-5.14750,-1.52870,-2.73160,14.13720,0.01280,-0.00080
2020-12-31,62.18100,18.37200,43.80900,-14.05100,-42.67700,41.62600,2.18300,2.45800,4.64100,0.64600,3.99500,,-61.28900,-52.47500,16.14400,2.18300,128.54800,128.54800,-0.40000,-0.40000,0.41160,1.22180,3.51070,3.51080,7.46370,-84.39070,0.01000,-3.12910,-3.12910,-0.98660,-1.84100,15.23490,0.4007,3.9101
2020-09-30,66.93100,22.36000,44.57100,5.78000,-27.68700,48.23700,-3.66600,-3.48200,-7.14800,-15.35700,8.20900,,6.43000,5.00700,12.76000,-3.66600,128.58300,128.58300,0.04000,0.04000,0.41710,1.26250,-5.47730,-5.47730,-10.67970,7.48080,0.01030,0.31880,0.31880,0.09870,0.18580,15.68550,0.1189,-1.2936
2020-06-30,60.30000,23.51700,36.78300,6.75100,-40.60900,61.38000,-24.59700,-128.60800,-153.20500,2.10200,-155.30700,,-240.58400,-227.05900,-10.07900,-24.59700,128.53900,128.53900,-1.77000,-1.77000,0.46430,1.45360,-40.79110,-40.79110,-254.07130,-376.54890,0.00880,-12.02420,-12.02420,-3.51200,-6.44120,15.56070,-0.2152,-0.1199
2020-03-31,89.77800,30.47700,59.30100,7.03800,-90.27000,115.28400,-55.98300,-39.61400,-95.59700,1.71100,-97.30800,,-80.14100,-78.77200,-38.79700,-55.98300,128.48700,128.48700,-0.62000,-0.62000,0.51480,1.64530,-62.35720,-62.35720,-106.48150,-87.74090,0.01250,-4.06090,-4.06090,-1.11410,-1.97020,15.37400,0.44520,1.60880
2019-12-31,89.14600,35.04500,54.10100,9.54100,-17.71000,47.61800,6.48300,12.34500,18.82800,2.62800,16.20000,,35.18000,33.95200,25.35900,6.48300,128.39100,128.39100,0.25000,0.25000,0.46750,1.44840,7.27230,7.27230,21.12040,38.08590,0.01200,1.59810,1.59810,0.47450,0.85100,17.12590,0.1877,0.7947
2019-09-30,90.42300,41.11100,49.31200,7.73200,-398.75000,432.41600,-383.10400,-1.94000,-385.04400,1.04600,-386.09000,,-401.99500,-356.03100,-358.79600,-383.10400,128.54100,128.54100,-2.77000,-2.77000,0.46340,1.42740,-423.67980,-423.67980,-425.82530,-393.73940,0.01210,-18.19760,-18.19760,-5.40040,-9.76520,17.18590,0.3894,0.3311
2019-06-30,89.12800,39.49700,49.63100,8.01000,-135.33100,172.59800,-122.96700,-0.51300,-123.48000,-0.13300,-123.34700,,-110.79000,-107.34100,-95.70800,-122.96700,128.53400,128.53400,-0.84000,-0.84000,0.40760,1.16030,-137.96680,-137.96680,-138.54230,-120.43470,0.00990,-4.16020,-4.16020,-1.22550,-2.46460,20.71740,0.1968,0.1734
2019-03-31,85.26900,39.53800,45.73100,6.65300,-14.13600,48.45100,-2.72000,-4.00200,-6.72200,-0.36900,-6.35300,,14.95700,14.90800,23.80200,-2.72000,127.94300,127.94300,0.11000,0.11000,0.33810,0.93470,-3.18990,-3.18990,-7.88330,17.48350,0.00980,0.53100,0.53100,0.17180,0.35140,21.91930,0.29450,0.24570
2018-12-31,83.75600,35.94600,47.81000,9.72500,-93.87100,121.89310,-74.08310,-2.17200,-76.25500,39.90600,-116.16100,,-132.16000,-127.08900,-56.85210,-74.08310,120.67700,120.67700,-1.06000,-1.06000,0.33720,0.92100,-88.45100,-88.45100,-91.04420,-151.73720,0.00970,-4.64500,-4.64500,-1.52600,-3.07890,22.26140,0.3311,0.0858
2018-09-30,83.89500,33.09400,50.80100,6.79700,-81.40900,118.74400,-67.94300,-1.50300,-69.44600,-2.45600,-66.99000,,-58.66600,-52.70300,-37.59400,-67.94300,127.88700,127.88700,-0.42000,-0.42000,0.26560,0.78170,-80.98570,-80.98570,-82.77730,-62.82020,0.00970,-1.92200,-1.92200,-0.67840,-1.41160,23.86800,0.2774,-2.8729
2018-06-30,70.50500,28.04700,42.45800,6.88400,-13.34700,43.59000,-1.13200,1.50300,0.37100,0.15800,0.21300,,15.87400,16.00800,21.60900,-1.13200,127.88700,127.88700,0.12000,0.12000,0.22670,0.57290,-1.60560,-1.60560,0.52620,22.70480,0.00860,0.50200,0.50200,0.19470,0.38820,24.72620,0.0421,0.0255
2018-03-31,59.37300,19.71900,39.65400,3.22800,-37.33400,59.35400,-19.70000,0.96200,-18.73800,-0.54900,-18.18900,,-2.40100,-4.71400,-2.19200,-19.70000,98.66200,98.66200,-0.05000,-0.05000,0.19470,0.53040,-33.18010,-33.18010,-31.55980,-7.93960,0.00730,-0.07500,-0.07500,-0.02960,-0.06040,25.03990,0.18400,0.15630
2017-12-31,33.89600,4.55900,29.33700,5.33200,,4.64800,24.68900,0.00300,24.72900,2.07800,22.65100,-15.28000,32.06000,21.43400,24.71400,24.68900,44.39900,44.39900,0.46000,0.46000,0.07170,0.27680,72.83750,72.83750,72.95550,63.23460,0.01840,2.27770,2.27770,1.74300,2.11440,,0.7598,0.567
2017-09-30,38.10700,2.23900,35.86800,2.91300,-2.43300,7.88300,27.98500,-0.08000,27.90500,-0.53500,28.44000,,31.48200,21.25200,29.09400,27.98500,44.39900,44.39900,0.45000,0.45000,,,73.43800,73.43800,73.22800,55.76930,,,,,,,0.6085,0.607
2017-06-30,37.40900,1.85700,35.55200,3.72900,-1.77500,8.24900,27.30300,-0.31300,26.99000,0.88500,26.10500,,32.32400,22.94900,28.69500,27.30300,44.39900,44.39900,0.48000,0.48000,,,72.98510,72.98510,72.14840,61.34620,,,,,,,0.3604,0.3538
2017-03-31,34.34700,1.61100,32.73600,3.01200,-1.67700,6.97400,25.76200,,25.76200,-0.22300,25.98500,,32.02300,22.88600,27.45600,25.76200,44.39900,44.39900,0.47000,0.47000,,,75.00510,75.00510,75.00510,66.63170,,,,,,,0.70200,0.90290
2016-12-31,,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,0,0
2015-12-31,,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,0,0
2014-12-31,,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,0,0
