Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,8.12200,3.27500,4.84700,3.31500,6.70400,,10.01900,-5.17200,0.19800,-4.97400,-4.97400,-4.97400,-4.97400,-4.65500,-5.17200,27.59160,27.59160,-0.18000,-0.18000,4.54460,,,59.67740,-63.67890,-63.67890,-61.24110,-61.24110,0.20210,0.46390,2.09600,42.93890,-17.15110,-17.26900,-12.37530,-17.15110,1.05120,-0.0424,-0.0429
2024-06-30,7.85800,2.87000,4.98800,3.12000,6.60700,,9.72700,-4.73900,0.33100,-4.40800,-4.40800,-4.40800,-4.40800,-4.26200,-4.73900,27.46800,27.46800,-0.16000,-0.16000,2.78880,,0.31060,63.47670,-60.30800,-60.30800,-56.09570,-56.09570,0.14950,0.35740,2.26130,39.80020,-13.71840,-13.81990,-8.38440,-13.71840,1.16470,-0.086,-0.086
2024-03-31,7.63900,3.11400,4.52500,2.62500,6.13100,,8.75600,-4.23100,0.08500,-4.14600,-4.14600,-4.14600,-4.14600,-3.74200,-4.23100,25.45200,25.45200,-0.16000,-0.16000,3.13850,,0.28810,59.23550,-55.38680,-55.38680,-54.27410,-54.27410,0.14240,0.39120,3.04220,29.58370,-11.98820,-12.07090,-7.72970,-11.98820,1.26150,-0.15090,-0.15090
2023-12-31,6.81000,2.79700,4.01300,2.65200,6.06700,,8.71900,-4.70600,0.08700,-4.61900,-4.61900,-4.61900,-4.61900,-4.26700,-4.70600,24.60500,24.60500,-0.18000,-0.18000,4.86840,0.31970,0.46990,58.92810,-69.10430,-69.10430,-67.82670,-67.82670,0.15960,0.35360,2.12080,42.43610,-21.81550,-22.22060,-10.82720,-14.84160,0.85880,-0.048,-0.049
2023-09-30,5.76200,2.48900,3.27300,2.42900,5.74100,,8.17000,-4.89700,0.08800,-4.80900,-4.80900,-4.80900,-4.80900,-4.46000,-4.89700,24.63020,24.63020,-0.20000,-0.20000,6.67560,0.29200,0.41230,56.80320,-84.98790,-84.98790,-83.46060,-83.46060,0.13140,0.27700,2.37710,37.86190,-19.95930,-20.30060,-10.97020,-14.13210,0.97840,-0.0721,-0.0816
2023-06-30,5.95000,2.82400,3.12600,3.60500,6.65200,,10.25700,-7.13100,0.07900,-7.05200,-7.05200,-7.05200,-7.05200,-6.77800,-7.13100,24.58400,24.58400,-0.29000,-0.29000,6.56420,0.26580,0.36190,52.53780,-119.84870,-119.84870,-118.52100,-118.52100,0.12490,0.30680,2.12580,42.33780,-25.72780,-26.11560,-14.80240,-18.89050,1.11300,-0.2064,-0.2195
2023-03-31,5.43300,2.23100,3.20200,3.02300,5.89100,,8.91400,-5.71200,0.10300,-5.60900,-5.60900,-5.60900,-5.60900,-5.42700,-5.71200,24.58300,24.58300,-0.23000,-0.23000,7.59580,0.23320,0.30410,58.93610,-105.13530,-105.13530,-103.23950,-103.23950,0.10810,0.22750,2.02880,44.36220,-17.21610,-17.45720,-11.16290,-13.20170,1.32540,-0.23110,-0.23670
2022-12-31,5.17400,1.80800,3.36600,2.92800,4.90700,,7.83500,-4.46900,0.08400,-4.38500,-4.38500,-4.38500,-4.38500,-4.30200,-4.46900,24.18200,24.18200,-0.18000,-0.18000,7.53980,0.21150,0.26820,65.05610,-86.37410,-86.37410,-84.75070,-84.75070,0.09320,0.19430,1.94150,46.35680,-11.88770,-12.03450,-7.90230,-9.37370,1.50080,-0.1338,-0.1354
2022-09-30,5.14600,1.46700,3.67900,2.65400,4.82000,,7.47400,-3.79500,0.00700,-3.78800,-3.78800,-3.78800,-3.78800,-3.61100,-3.79500,24.49800,24.49800,-0.15000,-0.15000,8.82920,0.19850,0.24770,71.49240,-73.74660,-73.74660,-73.61060,-73.61060,0.08910,0.17710,1.50860,59.65600,-9.49900,-9.61590,-6.56070,-7.61300,1.62760,-0.1492,-0.1519
2022-06-30,5.20000,1.94500,3.25500,2.41100,5.04800,,7.45900,-4.20400,-0.09900,-4.30300,-4.30300,-4.30300,-4.30300,-3.95500,-4.20400,23.98600,23.98600,-0.18000,-0.18000,10.33030,0.18720,0.23040,62.59620,-80.84620,-80.84620,-82.75000,-82.75000,0.08630,0.29300,1.55320,57.94620,-10.04900,-10.16870,-7.14310,-8.16740,1.74910,-0.2053,-0.2085
2022-03-31,5.03100,1.80000,3.23100,2.90100,4.19400,,7.09500,-3.86400,-0.09500,-3.95900,-3.95900,-3.95900,-3.95900,-3.63200,-3.86400,23.68200,23.68200,-0.17000,-0.17000,14.60180,0.17720,0.21540,64.22180,-76.80380,-76.80380,-78.69210,-78.69210,0.08140,0.31400,2.24300,40.12520,-8.65730,-8.74990,-6.40950,-7.12290,1.92890,-0.18030,-0.18320
