Date,revenue,gross-profit,operating-income,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin
2024-06-30,,,,,,,,,,,,,0.00000,,,,,
2023-12-31,,,,,,,,,,,,,0.00000,,,,,
2023-06-30,,,,,,,,,,,,,0.00000,,,,,
2022-12-31,,,,,,,,,,,,,0.00000,,,,,
2022-06-30,,,,,,,,,,,,,0.00000,,,,,
2021-12-31,,,,,,,,,,,,,0.00000,,,,,
2021-06-30,,,,,,,,,,,,,0.00000,,,,,
2020-12-31,,,,,,,,,,,,,0.00000,,,,,
2019-12-31,,,,,,,,,,,,,0.00000,,,,,
2019-06-30,,,,,,,,,,,,,0.00000,,,,,
2018-12-31,,,,,,,,,,,,,0.00000,,,,,
2018-09-30,19.14400,19.14400,19.14400,19.14400,19.14400,2.18800,2.18800,19.14400,19.14400,0.22760,0.22760,9.00000,9.00000,100.00000,100.00000,100.00000,100.00000,11.42920
2017-12-31,,,,,,,,,,,,,0.00000,,,,,
2017-06-30,,,,,,,,,,,,,0.00000,,,,,
2016-12-31,,,,,,,,,,,,,0.00000,,,,,
2015-12-31,,,,,,,,,,,,,0.00000,,,,,
