Date,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,5.97400,1.16600,-0.24600,-7.38600,-0.35400,-7.74000,0.02000,-7.76000,-7.76000,-7.76000,-7.38600,-7.38600,6.36130,6.36130,-1.22000,-1.22000,0.99710,0.53960,3.57140,-359.59400,-359.59240,-39.60400,-165.56430,0.31720,1.6903,1.6941
2024-06-30,4.76000,1.09600,-0.26500,-6.12100,-0.17100,-6.29200,0.00200,-6.29400,-6.29400,-6.29400,-6.12100,-6.12100,5.02500,5.02500,-1.25000,-1.25000,0.95060,0.66140,5.34920,-393.12980,-393.12930,-32.23230,-133.12180,0.33380,-1.6903,-1.6941
2024-03-31,5.05000,1.01500,-0.23600,-6.30100,-0.14000,-6.44100,0.00700,-6.44800,-6.44800,-6.44800,-6.30100,-6.30100,4.69100,4.69100,-1.37000,-1.37000,1.64140,0.37510,1.22100,-90.24510,-90.24490,-25.39080,-56.39810,1.48950,0.00000,
2023-12-31,4.58800,1.21800,-0.19300,-5.99900,-0.36200,-6.34700,0.00900,-6.35600,-6.35600,-6.35600,-5.99900,-5.99900,1.40440,1.42130,-1.17000,-1.11000,0.83270,1.48940,-4.95320,303.24300,303.24420,-41.34790,-148.40060,-1.26760,-12.1269,-12.2648
2023-09-30,3.80600,1.19300,-0.26100,-5.26000,-0.31900,-5.57900,0.02500,-5.60400,-5.60400,-5.60400,-5.26000,-5.26000,1.65030,1.65030,-3.40000,-3.40000,1.88570,0.68420,2.97460,-158.39480,-158.39460,-26.77240,-50.02230,2.13910,5.5991,5.7309
2023-06-30,3.96000,1.50300,-0.35700,-5.82000,0.00700,-5.82700,0.01000,-5.83700,-5.83700,-5.83700,-5.82000,-5.82000,1.47900,1.47900,-3.95000,-3.95000,2.88990,0.50570,1.27060,-69.92930,-69.92930,-22.22520,-34.56920,5.11040,-5.5991,-5.7309
2023-03-31,3.79400,1.60900,-0.38500,-5.78800,-0.25500,-6.04300,0.02500,-6.06800,-6.06800,-6.06800,-5.78800,-5.78800,0.71700,0.71700,-8.47000,-8.47000,2.74580,0.37210,0.96170,-53.19540,-53.19540,-19.14500,-33.40120,8.85280,0.00000,
2022-12-31,4.65500,1.60700,-0.35000,-6.61200,0.10000,-6.51200,0.05500,-6.56700,-6.56700,-6.56700,-6.61200,-6.61200,0.64760,0.64760,-9.66280,-9.66280,1.65950,0.56510,1.98970,-112.66100,-112.66090,-25.28590,-48.99650,8.70000,-52.9946,-55.7234
2022-09-30,6.24000,1.68000,-0.84000,-8.76000,-0.43700,-9.19700,0.07400,-9.27100,-9.27100,-9.27100,-8.76000,-8.76000,0.65320,0.65320,-14.19000,-14.19000,2.87610,0.42070,0.99850,-80.59630,-80.59640,-31.55440,-46.68880,17.57410,31.3183,33.1427
2022-06-30,8.39800,2.24300,-0.92300,-11.56400,-0.28100,-11.84500,,-11.84500,-11.84500,-11.84500,-11.56400,-11.56400,0.64950,0.64950,-18.31830,-18.31830,2.87410,0.26580,0.47550,-61.98330,-61.98330,-34.02070,-45.50690,29.35270,-31.3183,-33.1427
2022-03-31,8.69700,2.48000,-0.77500,-11.95200,0.07800,-11.87400,,-11.87400,-11.87400,-11.87400,-11.95200,-11.95200,0.63060,0.63060,-18.91890,-18.91890,3.95780,,,-41.16480,-41.16480,-33.46580,-41.16480,44.48750,0.00000,
2021-12-31,9.61700,2.89000,-1.14700,-13.65400,0.15200,-13.50200,,-13.50200,-13.50200,-13.50200,-13.65400,-13.65400,0.62340,0.62340,-21.62160,-21.62160,4.31040,,,-37.54730,-37.54730,-30.52330,-37.54730,57.57210,-51.947,-56.2025
2021-09-30,7.47600,2.14300,-0.44500,-10.06400,0.12900,-9.93500,,-9.93500,-9.93500,-9.93500,-10.06400,-10.06400,0.62460,0.62460,-15.91590,-15.91590,8.80970,,,-20.64500,-20.64500,-18.58430,-20.64500,77.04510,21.7056,22.3319
