Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,1522.69200,888.25500,634.43700,104.44700,469.21500,-117.46200,691.12400,-56.68700,43.57900,-13.10800,-0.68200,-12.42600,-12.42600,-12.42600,-33.40200,-56.68700,412.22900,412.22900,-0.03000,-0.03000,0.74500,0.46700,1.47040,41.66550,-3.72280,-3.72280,-0.86080,-0.81610,0.28930,-1.89480,-3.53870,-0.23610,-1.01000,1.58090,0.6398,0.6393
2024-06-30,1435.84600,819.51800,616.32790,98.80700,429.01300,-115.73400,643.55400,-27.22610,34.09100,6.86500,1.85100,5.01400,5.01400,5.01400,-10.96610,-27.22610,406.51200,411.96900,0.01000,0.01000,0.73610,0.50030,1.67530,42.92440,-1.89620,-1.89620,0.47810,0.34920,0.28730,0.86800,1.85060,0.10030,0.43380,1.40830,0.6606,0.6679
2024-03-31,1277.20100,755.36200,521.83910,100.02300,381.72500,-103.04200,584.79000,-62.95090,34.00900,-28.94200,2.59300,-31.53500,-31.53500,-31.53500,-50.54690,-62.95090,401.55300,401.55300,-0.08000,-0.08000,0.81710,0.65730,1.91760,40.85800,-4.92880,-4.92880,-2.26600,-2.46910,0.26820,-6.41830,-17.56700,-0.66220,-2.19990,1.21880,0.38890,0.37670
2023-12-31,1224.58500,743.86310,480.72170,95.17100,343.80090,-101.90100,540.87290,-60.15150,37.00400,-23.14700,3.16200,-26.30900,-26.30900,-26.30900,-49.75550,-60.15150,385.33500,385.33500,-0.05000,-0.05000,0.87030,0.60780,1.55000,39.25590,-4.91200,-4.91200,-1.89020,-2.14840,0.26830,-4.85840,-11.73400,-0.57640,-1.90520,1.35450,0.1091,0.0691
2023-09-30,1157.55000,644.50000,513.05000,109.22900,325.23700,-118.76300,553.22900,-40.17900,28.19000,-11.98900,0.11100,-12.10000,-12.10000,-12.10000,-28.10900,-40.17900,389.30700,389.30700,-0.03000,-0.03000,0.84790,0.64030,1.78040,44.32210,-3.47100,-3.47100,-1.03570,-1.04530,0.25850,-2.58370,-8.06060,-0.27020,-0.92920,1.19170,0.013,0.0096
2023-06-30,1020.90600,606.59900,414.30700,154.61200,310.56500,-107.64900,572.82600,-158.51900,46.92400,-111.59500,2.66700,-114.26200,-114.26200,-114.26200,-143.95500,-158.51900,381.88400,381.88400,-0.30000,-0.30000,0.82080,0.67610,2.08780,40.58230,-15.52730,-15.52730,-10.93100,-11.19220,0.22960,-29.52180,-197.21100,-2.56990,-9.56080,1.00210,-0.179,-0.2131
2023-03-31,1000.54800,548.99200,451.55600,196.90400,372.48100,-98.92600,668.31100,-216.75500,31.78200,-184.97300,2.67600,-187.64900,-187.64900,-187.64900,-202.40300,-216.75500,373.72700,373.72700,-0.50000,-0.50000,0.81250,0.67500,2.07700,45.13090,-21.66360,-21.66360,-18.48720,-18.75460,0.22090,-49.12330,-391.13410,-4.14290,-15.96450,1.01030,-0.19810,-0.26910
2022-12-31,1174.99200,774.38300,400.60890,234.57700,641.34510,-120.70900,996.63200,-596.02270,10.24700,-585.77500,2.35700,-588.13200,-588.13200,-588.13210,-549.28370,-596.02230,354.73100,354.73100,-1.64000,-1.64000,0.82450,0.67390,2.06660,34.09460,-50.72570,-50.72570,-49.85350,-50.05410,0.25790,-151.31990,-1155.96600,-12.90770,-49.34510,1.05000,-0.0974,-0.039
2022-09-30,1053.82000,570.70300,483.11690,227.67800,426.59200,-119.22300,773.49300,-290.37600,-131.17700,-421.55300,0.64800,-422.20100,-422.20100,-422.20100,-260.21900,-290.37600,356.47800,356.47800,-1.18000,-1.18000,0.88790,0.51560,1.06430,45.84440,-27.55460,-27.55460,-40.00240,-40.06390,0.22910,-55.15190,-99.85550,-9.17790,-26.71720,2.12100,-0.065,-0.0541
2022-06-30,990.74800,650.35600,340.39200,201.76800,406.48500,-105.31400,713.56700,-373.17500,-4.00700,-377.18200,0.06400,-377.24600,-377.24600,-377.24600,-345.00600,-373.17500,350.52600,350.52600,-1.08000,-1.08000,0.90030,0.45510,0.83530,34.35710,-37.66600,-37.66600,-38.07040,-38.07690,0.20820,-39.00120,-61.25360,-7.92940,-21.25020,2.74220,-0.0669,-0.0521
