Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,20.48400,10.44100,10.04300,7.85000,19.30600,-0.42300,27.57900,-17.53600,-6.02200,-23.55800,-0.18800,-23.37000,-23.37000,-23.37000,-14.44100,-17.53600,20.33100,20.33100,-1.15000,-1.15000,2.39290,,,49.02850,-85.60830,-85.60830,-115.00680,-114.08910,0.10390,0.48180,1.02940,87.42970,-23.85720,-30.49720,-11.84830,-23.85720,4.77940,-0.6789,-0.6988
2024-06-30,21.68800,10.81000,10.87800,9.06000,18.86000,,27.92000,-17.04200,2.36600,-14.67600,-0.27800,-14.39800,-14.39800,-14.39800,-13.89700,-17.04200,20.12530,20.12530,-0.70000,-0.70000,2.61000,,,50.15680,-78.57800,-78.57800,-67.66880,-66.38700,0.10240,0.47920,1.00380,89.65560,-12.26450,-14.14340,-6.79810,-12.26450,5.79590,-0.7172,-0.7249
2024-03-31,20.54700,10.41400,10.13300,9.93500,20.00900,-17.30000,47.24400,-37.11100,0.98100,-36.13000,-0.18400,-35.94600,-35.94600,-35.94600,-34.01200,-37.11100,19.92910,19.92910,-1.80000,-1.80000,2.63550,0.04090,0.04270,49.31620,-180.61520,-180.61520,-175.84070,-174.94520,0.08870,0.43770,0.95600,94.14370,-28.10410,-32.10070,-15.51870,-26.95410,6.41440,-0.37210,-0.43850
2023-12-31,24.17000,12.47900,11.69100,10.34700,20.70500,,31.05200,-19.36100,5.16700,-14.19400,0.00400,-14.19800,-14.19800,-14.19800,-17.42200,-19.36100,19.68960,19.68960,-0.70000,-0.70000,4.23250,,,48.36990,-80.10340,-80.10350,-58.72570,-58.74230,0.09750,0.46610,1.00460,89.58670,-8.78530,-9.82680,-5.72610,-8.78540,8.13830,-0.456,-0.5263
2023-09-30,20.07500,10.90700,9.16800,9.72400,20.39600,,59.58700,-50.41900,-1.17600,-51.59500,-0.23300,-51.36200,-51.36200,-51.36200,-17.50700,-50.41900,19.74100,19.74100,-2.60000,-2.60000,5.06490,,,45.66870,-251.15320,-251.15320,-257.01120,-255.85060,0.07800,0.37980,0.90030,99.96610,-30.09890,-33.25220,-19.95080,-30.09890,8.63560,-0.4641,-0.4645
2023-06-30,25.44900,13.47600,11.97300,10.28600,21.78600,,32.07200,-20.09900,0.75300,-19.34600,-0.35800,-18.98800,-18.98800,-18.98800,-16.48600,-20.09900,19.63720,19.63720,-1.00000,-1.00000,5.44470,,,47.04700,-78.97760,-78.97760,-76.01870,-74.61200,0.08350,0.45520,0.93920,95.82460,-8.66810,-11.02760,-6.22830,-8.66810,11.12640,-0.7679,-0.7934
2023-03-31,24.09000,12.50800,11.58200,10.38000,22.70400,,33.08400,-21.50200,2.48400,-19.01800,0.00100,-19.01900,-19.01900,-19.01900,-19.74200,-21.50200,19.53690,19.53690,-1.00000,-1.00000,5.43140,,,48.07800,-89.25700,-89.25700,-78.94560,-78.94980,0.07350,0.42730,0.92250,97.56540,-7.98910,-10.03930,-5.80050,-7.98910,12.16810,-0.79550,-0.87980
2022-12-31,29.66400,15.73800,13.92600,11.01200,22.20500,,33.21700,-19.29100,8.13500,-11.15600,-0.42400,-10.73200,-10.73200,-10.73200,-16.51000,-19.29100,18.97470,18.97470,-0.50000,-0.50000,5.61020,,,46.94580,-65.03170,-65.03170,-37.60790,-36.17850,0.08570,0.59590,1.01260,88.87740,-4.24940,-5.26560,-3.10230,-4.24940,12.98070,-0.4327,-0.7184
2022-09-30,25.20800,12.95900,12.24900,10.42100,24.65600,,35.07700,-22.82800,-0.13900,-22.96700,0.00300,-22.97000,-22.97000,-22.97000,-20.15400,-22.82800,18.97670,18.97670,-1.20000,-1.20000,6.89550,,,48.59170,-90.55860,-90.55860,-91.11000,-91.12190,0.07160,0.52760,0.83650,107.59080,-8.90090,-10.86370,-6.52810,-8.90090,13.32670,-1.2409,-1.4757
2022-06-30,24.22700,11.30200,12.92500,10.38700,26.35100,,36.73800,-23.81300,27.89200,4.07900,0.00400,4.07500,4.07500,4.07500,-21.34200,-23.81300,18.81020,18.88770,0.20000,0.20000,8.73390,,,53.34960,-98.29120,-98.29120,16.83660,16.82010,0.06800,0.58500,0.91180,98.70390,1.52990,1.56930,1.14420,1.52990,14.13140,-1.1939,-1.2333
