Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,78.84900,39.89300,38.95600,16.67100,36.61500,53.28600,-14.33000,5.27000,-9.06000,0.63900,-9.69900,-9.69900,-9.69900,-10.40200,-14.33000,168.64900,168.64900,-0.06000,-0.06000,7.13120,49.40580,-18.17400,-18.17400,-11.49030,-12.30070,0.15930,2.29870,39.15310,-2.46450,-2.46450,-1.96000,-2.46450,2.39890,0.0857,0.0855
2024-06-30,78.73000,37.72800,41.00200,17.07900,38.11800,55.19700,-14.19500,5.73500,-8.46000,1.04900,-9.50900,-9.50900,-9.50900,-10.29900,-14.19500,173.68800,173.68800,-0.05000,-0.05000,7.72710,52.07930,-18.03000,-18.03000,-10.74560,-12.07800,0.14680,1.96450,45.81390,-2.18480,-2.18480,-1.77270,-2.18480,2.55210,0.0261,0.0248
2024-03-31,76.40800,34.28800,42.12000,17.77200,40.26100,58.03300,-15.91300,5.58100,-10.33200,1.29800,-11.63000,-11.63000,-11.63000,-11.94100,-15.91300,177.06000,177.06000,-0.07000,-0.07000,8.30790,55.12510,-20.82640,-20.82640,-13.52220,-15.22090,0.13480,2.26890,39.66650,-2.49360,-2.49360,-2.05120,-2.49360,2.67560,0.06020,0.05920
2023-12-31,84.06500,35.55000,48.51500,17.12200,37.95700,55.07900,-6.56400,5.77600,-0.78800,2.47700,-3.26500,-3.26500,-3.26500,-2.67200,-6.56400,176.77300,176.77300,-0.01000,-0.01000,7.62490,57.71130,-7.80820,-7.80820,-0.93740,-3.88390,0.13970,1.79300,50.19620,-0.66400,-0.66400,-0.54240,-0.66400,2.75390,0.042,0.0403
2023-09-30,71.87200,40.73200,31.14000,17.39700,38.95300,56.35000,-25.21000,5.52400,-19.68600,1.23900,-20.92500,-20.92500,-20.92500,-21.54200,-25.21000,178.36100,178.36100,-0.12000,-0.12000,7.56100,43.32700,-35.07620,-35.07620,-27.39040,-29.11430,0.12130,2.33730,38.50600,-4.28030,-4.28030,-3.53160,-4.28030,2.74220,0.0256,0.021
2023-06-30,72.76600,35.74300,37.02300,18.26400,40.84500,59.10900,-22.08600,6.12000,-15.96600,0.92800,-16.89400,-16.89400,-16.89400,-18.30900,-22.08600,175.61800,175.61800,-0.10000,-0.10000,8.08920,50.87950,-30.35210,-30.35210,-21.94160,-23.21690,0.12160,1.91380,47.02600,-3.41760,-3.41760,-2.82280,-3.41760,2.80700,-0.0277,-0.028
2023-03-31,68.90700,33.06600,35.84100,18.79400,40.03600,58.83000,-22.98900,6.19200,-16.79700,1.15400,-17.95100,-17.95100,-17.95100,-19.65900,-22.98900,172.84400,172.84400,-0.10000,-0.10000,8.20270,52.01360,-33.36240,-33.36240,-24.37630,-26.05110,0.11510,2.41720,37.23320,-3.62310,-3.62310,-2.99970,-3.62310,2.86220,0.00130,0.00020
2022-12-31,79.29800,37.85400,41.44400,18.50200,40.34200,58.84400,-17.40000,6.77800,-10.62200,1.57900,-12.20100,-12.20100,-45.46500,-13.95700,-17.40000,167.66700,167.66700,-0.07000,-0.07000,7.29820,52.26360,-21.94250,-21.94250,-13.39500,-57.33440,0.13060,2.11200,42.61430,-2.46770,-2.46770,-2.01010,-2.46770,2.89090,-0.0254,-0.0438
2022-09-30,63.17200,30.49300,32.67900,17.45200,41.39700,58.84900,-26.17000,1.99000,-24.18000,1.86700,-26.04700,-26.04700,-26.04700,-23.34000,-26.17000,168.79880,168.79880,-0.15000,-0.15000,7.61760,51.73020,-41.42660,-41.42660,-38.27650,-41.23190,0.10550,2.07070,43.46280,-5.31150,-5.31150,-4.34990,-5.31150,2.89710,-0.0148,-0.0204
2022-06-30,59.93200,29.32600,30.60600,17.94700,45.61100,63.55800,-32.95200,1.27500,-31.67700,1.51600,-33.19300,-33.19300,-33.19300,-30.19700,-32.95200,166.36580,166.36580,-0.20000,-0.20000,8.61680,51.06790,-54.98230,-54.98230,-52.85490,-55.38440,0.10000,2.11550,42.54320,-6.65030,-6.65030,-5.54090,-6.65030,2.98630,-0.0737,-0.0795
2022-03-31,58.84500,28.47700,30.36800,18.11300,45.08100,63.19400,-32.82600,0.64200,-32.18400,1.08000,-33.26400,-33.26400,,-30.44500,-32.82600,164.58500,164.58500,-0.20000,-0.20000,9.86610,51.60680,-55.78380,-55.78380,-54.69280,,0.09640,2.48880,36.16210,-6.44920,-6.44920,-5.44680,-6.44920,3.12480,-0.04270,-0.06070
2021-12-31,69.83300,33.07500,36.75800,16.91700,42.65000,59.56700,-22.80900,0.74500,-22.06400,0.99300,-23.05700,-23.05700,-23.05700,-20.88300,-22.80900,76.46000,76.46000,2.91000,2.91000,9.05360,52.63700,-32.66220,-32.66220,-31.59540,-33.01730,0.11630,1.96840,45.72240,-4.35970,-4.35970,-3.83880,-4.35970,3.22550,-0.2089,-0.341
