Date,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,current-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,1.90090,1.66680,-3.56770,2.63080,-0.93700,-0.13220,-0.80480,-0.80480,-0.80480,-3.40200,-3.56770,15.60080,15.60080,3.30350,-4.71450,-28.09480,-3.51170,-4.71450,0.98560,-0.28420,-0.28420
2024-06-30,,,,,,,,,,,,,,,,,,,,0.533,0.533
2023-12-31,,,,,,,,,,,,,,,,,,,,,
2023-09-30,3.08820,2.37940,-5.46760,-0.03980,-5.50740,-0.03480,-5.47260,-5.47260,-5.47260,-5.30170,-5.46760,8.31110,8.31110,,,,,,,-0.53300,-0.53300
2023-06-30,,,,,,,,,,,,,,,,,,,,0,0
2022-12-31,,,,,,,,,,,,,,,,,,,,0,0
2022-06-30,,,,,,,,,,,,,,,,,,,,0,0
2021-06-30,,,,,,,,,,,,,,,,,,,,0,0
