Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.04610,0.01600,0.03010,0.19450,1.68350,,1.87800,-1.84790,0.00670,-1.84120,-1.84120,-1.84120,-1.84120,-1.75150,-1.84790,0.31600,0.31600,-5.83000,-5.83000,0.77890,,0.11710,65.33200,-4005.87000,-4005.87000,-3991.43700,-3991.42800,0.01380,0.05920,1.01050,89.06740,-90.54250,1220.96400,-54.97050,-90.54250,6.43660,-1.0789,-1.0789
2024-06-30,0.05420,0.04120,0.01300,0.30840,1.58180,,1.89020,-1.87720,-0.20010,-2.07740,-2.07740,-2.07740,-2.42300,-1.69290,-1.87720,0.21090,0.21090,-11.11110,-11.11110,2.01500,,0.01040,24.05380,-3464.10900,-3464.10900,-3833.43000,-4471.22800,0.01060,0.14600,1.55780,57.77230,-56.28990,-147.35230,-40.55590,-56.28980,11.79950,-5.9925,-5.9925
2024-03-31,0.04800,0.02480,0.02320,0.10200,1.63000,,1.73200,-1.70880,-0.79710,-2.50590,-2.50590,-2.50590,-4.02750,-1.46310,-1.70880,0.17170,0.17170,-23.33330,-23.33330,0.54650,,2.03680,48.36220,-3560.71000,-3560.71000,-5221.75600,-8392.43700,0.01060,0.07730,1.91010,47.11920,-266.88990,174.24900,-55.49680,-266.88940,5.21760,-8.46760,-8.46760
2023-12-31,0.03550,0.02810,0.00740,0.42780,1.96680,,2.39470,-2.38720,-0.15450,-2.54170,-2.54170,-2.54170,-2.54170,-2.14580,-2.38720,0.16330,0.16330,-14.35780,-14.35780,2.21390,0.53770,1.20150,20.93450,-6715.32700,-6715.32500,-7149.82500,-7149.81300,0.00580,0.08200,1.40620,64.00180,-128.20410,517.76970,-41.34820,-59.26850,11.73580,-7.5498,-7.5498
2023-09-30,0.03630,0.02020,0.01610,0.21440,1.86870,,2.08310,-2.06700,-0.13030,-2.19740,-2.19740,-2.19740,-2.19740,-1.83940,-2.06700,0.16370,0.16370,-13.42000,-13.42000,4.57770,0.34430,0.57070,44.32650,-5698.41500,-5698.41500,-6057.72800,-6057.71600,0.00480,0.07560,1.40960,63.84900,-53.39890,-142.20350,-28.81140,-35.01310,24.67220,-9.0022,-9.0022
2023-06-30,0.03760,0.01660,0.02100,0.19320,2.52710,,2.72030,-2.69930,-0.17470,-2.87400,-2.87400,-2.87400,-2.87400,-2.47280,-2.69930,0.16530,0.16530,-17.77780,-17.77780,5.06130,0.25910,0.40090,55.91610,-7178.78500,-7178.78500,-7643.30200,-7643.29200,0.00400,0.06290,1.20790,74.50650,-49.53040,-91.63680,-30.59450,-36.69520,34.78920,-9.4104,-9.4104
2023-03-31,0.04790,0.03010,0.01780,0.18090,2.28390,,2.46470,-2.44700,-0.15470,-2.60170,-2.60170,-2.60170,-2.60170,-2.19440,-2.44700,0.15380,0.15380,-16.66670,-16.66670,4.88860,0.21120,0.38400,37.19400,-5111.92700,-5111.92700,-5435.13800,-5435.12800,0.00410,0.12040,1.59090,56.57060,-33.23830,-51.36710,-22.10030,-26.21740,50.57360,-10.33260,-10.33260
2022-12-31,0.02260,0.01330,0.00930,0.40460,2.80560,,3.21010,-3.20080,-0.29730,-3.49820,-3.49820,-3.49820,-3.49820,-2.85220,-3.20080,0.09900,0.09900,-18.88890,-18.88890,3.19870,,0.19960,41.27410,-14170.57000,-14170.57000,-15486.88000,-15486.86000,0.00190,0.06160,0.74490,120.81550,-38.48240,-56.13730,-29.36670,-38.48230,59.51210,-18.9925,-18.9925
2022-09-30,0.00970,0.00500,0.00480,0.45980,2.32710,,2.78690,-2.78220,-0.31650,-3.09870,-3.09870,-3.09870,-11.60010,-1.77550,-2.78220,0.09880,0.09880,-117.77780,-117.77780,2.99860,,0.19780,49.14730,-28582.37000,-28582.37000,-31833.68000,-119171.20000,0.00090,0.02520,1.14730,78.44260,-36.94160,-57.03610,-27.93440,-36.94140,72.25470,-9.5692,-9.5692
2022-06-30,0.00150,,0.00150,0.48520,2.10230,,,-2.58600,2.39760,-0.18840,-0.18840,-0.18840,-0.18840,-2.36070,-2.58600,0.08100,0.08100,-2.22220,-2.22220,2.06010,,0.25950,,,,,,0.00020,,,,-3.26980,-6.95220,-2.27370,-3.26980,58.33250,-23.536,-23.536
2022-03-31,0.00150,0.00110,0.00040,0.04750,1.79730,,1.84480,-1.84440,-3.72530,-5.56970,-5.56970,-5.56970,-5.56970,-0.74400,-1.84440,0.07700,0.07700,-72.22220,-72.22220,0.03340,-0.09960,-0.96980,,,,,,0.00040,0.01050,,,132.37250,75.72090,-162.82050,145.55360,-59.91360,-10.06860,-10.06860
2021-12-31,,,,0.14610,1.46430,,,-1.61040,-1.69340,-3.30380,-3.30380,-3.30380,-3.30380,0.05530,-1.61040,0.07790,0.07790,-42.22220,-42.22220,0.23460,3.12770,-5.34290,,,,,,,,,,683.17820,88.62270,-78.48990,-1453.63000,-6.12060,-18.1087,-18.1087
2021-09-30,,,,0.56670,1.09650,,,-1.66310,-0.35830,-2.02140,-2.02140,-2.02140,-2.02140,-1.27250,-1.66310,0.07790,0.07790,-25.55560,-25.55560,0.73700,0.17860,0.48090,,,,,,,,,,-95.82950,164.16520,-36.31280,-78.71660,27.06600,-8.328,-8.328
2021-06-30,,,,0.31450,1.00020,,,-1.31470,-0.22800,-1.54270,-1.54270,-1.54270,-1.54270,-1.02470,-1.31470,0.07790,0.07790,-20.00000,-20.00000,0.65520,0.06650,0.11130,,,,,,,,,,-53.25670,285.51340,-37.65560,-49.71640,37.16880,-12.3066,-12.3066
2021-03-31,,,,0.17150,0.79560,,,-0.96700,-0.03540,-1.00240,-1.00240,-1.00240,-1.00230,-0.86110,-0.96700,0.07790,0.07790,-13.33330,-13.33330,0.85310,0.01410,0.05050,,,,,,,,,,-29.92390,546.25060,-22.88890,-29.50110,43.01020,-8.58660,-8.58660
2020-12-31,,,,0.32360,0.73130,,,-1.09440,0.01070,-1.08370,-1.08370,-1.08370,-1.02950,-0.99580,-1.09440,0.04620,0.04620,200.02000,200.02000,0.37750,0.00820,0.03820,,,,,,,,,,-35.65260,183.56550,-27.18260,-35.36180,39.08890,-23.4333,-23.4127
2020-09-30,,,,0.15210,0.54390,,,-0.69600,-0.04160,-0.73760,-0.73760,-0.73760,-0.89960,-0.59560,-0.69600,0.06010,0.06010,-13.33470,-13.33470,0.19220,,-4.38670,,,,,,,,,,196.95270,17.98720,-15.47890,196.95230,-6.22810,-1.4792,-1.4792
