Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.60200,0.60200,82.16000,17.41900,-11.15300,-110.13000,25.06400,-85.06600,0.87600,-85.94200,-85.94200,-85.94200,-105.39100,-110.13000,85.23500,85.23500,-1.01000,-1.01000,21.64450,100.00000,-18294.02000,-18294.02000,-14130.56000,-14276.08000,0.00030,,,-4.43080,-4.43080,-3.80930,-4.43080,22.72970,-1.255,-1.2574
2024-06-30,0.51700,0.51700,80.16500,19.48100,-52.13100,-151.26000,26.13900,-125.12100,1.28700,-126.40800,-126.40800,-126.40800,-146.41500,-151.26000,84.92100,84.92100,-1.49000,-1.49000,15.72810,100.00000,-29257.25000,-29257.25000,-24201.35000,-24450.29000,0.00020,,,-6.38120,-6.38120,-5.40240,-6.38120,23.29270,-1.1749,-1.183
2024-03-31,0.50400,0.50400,76.17200,17.95300,-46.96600,-140.58700,24.72000,-115.86700,0.72400,-116.59100,-116.59100,-116.59100,-135.75400,-140.58700,81.79460,81.79460,-1.43000,-1.43000,17.81350,100.00000,-27894.25000,-27894.25000,-22989.48000,-23133.14000,0.00020,,,-5.59470,-5.59480,-4.78020,-5.59470,24.56380,1.34180,1.33300
2023-12-31,201.20600,201.20600,95.14400,16.47900,-20.00000,69.58300,19.99700,89.58000,0.23300,89.34700,89.34700,89.34700,74.48300,69.58300,79.22000,79.22000,1.12000,1.12000,17.53890,100.00000,34.58300,34.58300,44.52150,44.40570,0.09020,1.00600,89.46060,4.74540,4.74550,4.00740,4.74540,23.52210,-1.2178,-1.2274
2023-09-30,,,90.69800,18.29100,-23.42200,-132.41100,20.67100,-111.74000,0.41200,-112.15200,-112.15200,-112.15200,-127.48600,-132.41100,79.41400,79.41400,-1.41000,-1.41000,15.82780,,,,,,,,,-6.49110,-6.49120,-5.37430,-6.49110,21.75320,-0.4954,-0.5218
2023-06-30,70.00000,70.00000,101.55500,19.03200,-44.63600,-95.22300,18.40600,-76.81700,0.92300,-77.74000,-77.74000,-77.74000,-90.26200,-95.22300,79.09100,79.09100,-0.98000,-0.98000,13.99890,100.00000,-136.03280,-136.03280,-109.73860,-111.05710,0.03190,1.00000,90.00000,-4.28080,-4.28090,-3.53840,-4.28080,22.88000,-1.6853,-1.7301
2023-03-31,100.00000,100.00000,99.93500,22.36000,-42.19200,-64.48700,12.74200,-51.74500,1.32000,-53.06500,-53.06500,-53.06500,-59.43600,-64.48700,78.67700,78.67700,-0.67000,-0.67000,12.99760,100.00000,-64.48700,-64.48700,-51.74500,-53.06500,0.04460,,,-2.86080,-2.86090,-2.36440,-2.86080,23.52030,0.11180,0.07300
2022-12-31,0.00600,0.00600,103.55500,21.16900,-6.82300,-131.54100,11.49000,-120.05100,-9.47600,-110.57500,-110.57500,-110.57500,-125.69500,-131.54100,77.74700,77.74700,-1.40000,-1.40000,15.30070,100.00000,-2192357.00000,-2192357.00000,-2000856.00000,-1842922.00000,0.00000,,,-5.89580,-5.89610,-4.92970,-5.89580,23.88780,-1.475,-1.5561
2022-09-30,0.09400,0.09400,116.62200,27.00100,-38.85900,-182.38800,7.26400,-175.12400,-0.57500,-174.54900,-174.54900,-174.54900,-177.37000,-182.38800,78.02200,78.02200,-2.24000,-2.24000,12.81040,100.00000,-194029.80000,-194029.80000,-186302.10000,-185690.40000,0.00000,1.91840,46.91490,-8.93310,-8.93350,-7.41700,-8.93310,24.97130,-1.3252,-1.4002
2022-06-30,0.15800,0.15800,123.22300,26.27300,-33.92200,-183.26000,3.54400,-179.71600,6.11800,-185.83400,-185.83400,-185.83400,-175.99100,-183.26000,77.51300,77.51300,-2.40000,-2.40000,17.56510,100.00000,-115987.30000,-115987.30000,-113744.30000,-117616.50000,0.00010,2.39390,37.59490,-8.88800,-8.88850,-7.54390,-8.88800,26.87720,-1.822,-1.9452
2022-03-31,0.94000,0.94000,118.24500,28.02100,-30.64600,-175.97200,0.36300,-175.60900,3.60800,-179.21700,-179.21700,-179.21700,-169.93300,-175.97200,77.09830,77.09830,-2.32000,-2.32000,19.88280,100.00000,-18720.43000,-18720.43000,-18681.81000,-19065.64000,0.00040,6.57340,13.69150,-7.98320,-7.98360,-6.87660,-7.98320,29.00930,-1.75410,-1.95320
2021-12-31,12.89910,12.89910,104.11500,22.65800,-31.82400,-145.69790,2.19700,-143.50100,-2.25300,-141.24800,-141.24800,-141.24800,-139.43690,-145.69800,75.94900,80.39300,-1.86000,-1.56000,20.16560,100.00000,-1129.52500,-1129.52500,-1112.49300,-1095.02600,0.00470,42.29200,2.12810,-5.88670,-5.88700,-5.13280,-5.88670,31.16590,-1.4885,-1.5541
2021-09-30,0.82400,0.82400,83.50000,23.70900,-22.46400,-128.84900,1.10100,-127.74800,-0.59500,-127.15300,-127.15300,-127.15300,-123.52500,-128.84900,76.28900,76.28900,-1.67000,-1.67000,26.18270,100.00000,-15637.01000,-15637.01000,-15503.40000,-15431.19000,0.00030,5.42110,16.60190,-5.06000,-5.06020,-4.50620,-5.06000,32.94210,-0.5872,-1.0969
2021-06-30,900.70100,900.70100,82.33200,28.80600,-26.94500,762.61800,0.75000,763.36800,4.14300,759.22500,759.22500,759.22500,766.27100,762.61800,80.45000,80.45000,10.01000,9.44000,26.22960,100.00000,84.66940,84.66940,84.75270,84.29270,0.31060,6004.67300,0.01500,29.15840,29.16010,26.18450,29.15840,34.31330,10.122,9.7746
2021-03-31,0.53900,0.53900,70.62000,24.51700,-19.94500,-114.54300,1.95500,-112.58800,0.57500,-113.16300,-113.16300,-113.16300,-111.82800,-114.54300,75.00500,75.00500,-1.51000,-1.51000,22.05270,100.00000,-21251.02000,-21251.02000,-20888.31000,-20994.99000,0.00030,3.59330,25.04640,-6.26770,-6.26830,-5.77980,-6.26770,23.84090,-1.34210,-1.43570
2020-12-31,0.37000,0.37000,82.36500,25.76600,,-107.76100,0.57500,-107.18600,-0.14700,-107.03900,-107.03900,-107.03900,-103.33800,-107.76100,65.95000,65.95000,-1.52000,-1.52000,18.21170,100.00000,-29124.61000,-29124.60000,-28969.20000,-28929.46000,0.00020,2.56940,35.02700,-6.43170,-6.43240,-5.85560,-6.43170,22.51550,-1.3738,-1.4795
