Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,5.36100,5.36100,4.82300,1.36600,,-0.82800,0.46200,-0.36600,-0.36600,-0.36600,-0.36600,-0.82800,-0.82800,27.85800,27.85800,-0.01000,-0.01000,5.80840,100.00000,-15.44490,-15.44490,-6.82710,-6.82710,0.12470,0.76370,117.85120,-1.05460,-1.05460,-0.85160,-1.05460,1.24580,0.2738,0.2738
2024-06-30,5.43300,5.43300,2.43800,1.37100,,1.62400,0.35200,1.97600,1.97600,1.97600,1.97600,1.62400,1.62400,27.85800,27.85800,0.07000,0.07000,7.35910,100.00000,29.89140,29.89140,36.37030,36.37030,0.12930,0.89670,100.37000,5.66160,5.66160,4.70420,5.66160,1.25290,-0.2738,-0.2738
2024-03-31,0.46600,0.46600,5.34500,1.83300,,-6.71200,0.36800,-6.34400,-6.34400,-6.34400,-6.34400,-6.71200,-6.71200,27.85800,27.85800,-0.23000,-0.23000,6.89130,100.00000,-1440.34300,-1440.34300,-1361.37300,-1361.37300,0.01170,0.53620,167.83260,-19.42970,-19.42970,-15.89540,-19.42970,1.17210,0.00000,
2023-12-31,0.44700,0.44700,4.17100,1.72500,0.04100,-5.40800,0.57200,-4.83600,-4.83600,-4.83600,-4.83600,-5.40800,-5.40800,27.08700,27.08700,-0.15000,-0.15000,9.10370,100.00000,-1209.84300,-1209.84300,-1081.87900,-1081.87900,0.00990,1.18570,75.90600,-12.51420,-12.51420,-10.67860,-12.51420,1.38720,-0.6546,-0.6568
2023-09-30,0.21300,0.21300,4.67200,1.86200,0.01400,-6.30700,0.59600,-5.71100,-5.71100,-5.71100,-5.71100,-6.30700,-6.30700,27.84400,27.84400,-0.21000,-0.21000,10.08920,100.00000,-2961.03300,-2961.03300,-2681.22100,-2681.22100,0.00430,,,-13.24260,-13.24260,-11.45360,-13.24260,1.54810,0.3013,0.3013
2023-06-30,0.59400,0.59400,5.31200,1.80900,,-6.52700,0.55700,-5.97000,-5.97000,-5.97000,-5.97000,-6.52700,-6.52700,27.66000,27.66000,-0.22000,-0.22000,9.10380,100.00000,-1098.82200,-1098.82200,-1005.05000,-1005.05000,0.01080,0.26940,334.09090,-12.36130,-12.36130,-10.83430,-12.36130,1.73690,-0.3013,-0.3013
2023-03-31,0.30000,0.30000,9.38600,1.97700,,-11.06300,0.34200,-10.72100,-10.72100,-10.72100,-10.72100,-11.06300,-11.06300,24.94400,24.94400,-0.43000,-0.43000,10.36940,100.00000,-3687.66600,-3687.66600,-3573.66700,-3573.66700,0.00610,0.05170,1741.80000,-24.33160,-24.33160,-21.86040,-24.33160,1.71430,0.00000,
2022-12-31,0.10100,0.10100,4.21800,2.08900,,-6.20600,0.42100,-5.78500,-5.78500,-5.78500,-5.78500,-6.20600,-6.20600,23.12900,23.12900,-0.25000,-0.25000,12.93330,100.00000,-6144.55000,-6144.55000,-5727.71800,-5727.71800,0.00220,0.01280,7057.41900,-13.70430,-13.70430,-12.40670,-13.70430,1.82510,-0.41,-0.4174
2022-09-30,0.26100,0.26100,2.04200,1.84400,,-3.62500,0.21800,-3.40700,-3.40700,-3.40700,-3.40700,-3.62500,-3.62500,23.12900,23.12900,-0.15000,-0.15000,18.31150,100.00000,-1388.88900,-1388.88900,-1305.36400,-1305.36400,0.00510,0.02420,3718.27600,-7.17660,-7.17660,-6.64290,-7.17660,2.05260,0.2829,0.2874
2022-06-30,3.51800,3.51800,2.38000,1.60100,,-0.46300,0.32900,-0.13400,-0.13400,-0.13400,-0.13400,-0.46300,-0.46300,23.12800,23.12800,-0.01000,-0.01000,15.03190,100.00000,-13.16090,-13.16090,-3.80900,-3.80900,0.06400,0.34570,260.32970,-0.26610,-0.26610,-0.24370,-0.26610,2.17700,-0.2829,-0.2874
2022-03-31,0.00300,0.00300,4.04200,1.91100,,-5.95000,0.35300,-5.59700,-5.59700,-5.59700,-5.59700,-5.95000,-5.95000,23.12700,23.12700,-0.24000,-0.24000,11.09240,100.00000,-198333.30000,-198333.30000,-186566.70000,-186566.70000,0.00010,0.00030,,-11.16650,-11.16650,-9.98450,-11.16650,2.16720,0.00000,
2021-12-31,20.80700,20.80700,4.99300,1.82600,-0.03000,13.95800,0.07300,14.03100,14.03100,14.03100,14.03100,13.95800,13.95800,23.06300,23.06300,0.61000,0.62000,4.88430,100.00000,67.08320,67.08320,67.43400,67.43400,0.30070,1.59260,56.51220,25.23830,25.23830,20.27920,25.23830,2.40390,-0.3335,-0.3397
2021-09-30,8.83600,8.83600,5.98900,2.12900,0.55400,1.27200,0.01400,1.28600,1.28600,1.28600,1.28600,1.27200,1.27200,23.09700,23.68300,0.06000,0.05000,5.05310,100.00000,14.39570,14.39570,14.55410,14.55410,0.16730,6.36600,14.13760,3.10310,3.10310,2.43440,3.10310,1.79260,0.4936,0.4959
2021-06-30,0.92800,0.92800,6.93300,2.03700,,-8.04200,0.00900,-8.03300,-8.03300,-8.03300,-8.03300,-8.04200,-8.04200,23.02900,23.02900,-0.35000,-0.35000,8.02520,100.00000,-866.59480,-866.59480,-865.62500,-865.62500,0.02000,0.97070,92.71550,-20.46780,-20.46780,-17.31060,-20.46780,1.70420,-0.4936,-0.4959
2021-03-31,0.70100,0.70100,2.46600,2.45900,,-4.22400,0.16100,-4.06300,-4.06300,-4.06300,-4.06300,-4.22400,-4.22400,23.00300,23.00300,-0.18000,-0.18000,10.82690,100.00000,-602.56770,-602.56770,-579.60060,-579.60060,0.01310,0.99290,90.64190,-8.63400,-8.63400,-7.57880,-8.63400,2.04350,0.00000,
2020-12-31,2.05700,2.05700,5.66500,3.07900,,-6.68700,0.19700,-6.49000,-6.49000,-6.49000,-6.49000,-6.68700,-6.68700,22.57500,22.57500,-0.29000,-0.29000,8.95390,100.00000,-325.08500,-325.08490,-315.50810,-315.50810,0.03480,0.95540,94.20030,-12.76330,-12.76330,-10.97010,-12.76330,2.21070,-1.1181,-1.138
2020-09-30,2.11600,2.11600,7.86700,3.01800,,-8.76900,0.14900,-8.62000,-8.62000,-8.62000,-8.62000,-8.76900,-8.76900,22.99770,22.99770,-0.37000,-0.37000,8.54640,100.00000,-414.41400,-414.41400,-407.37240,-407.37240,0.03190,0.97060,92.72210,-15.08130,-15.08130,-12.99370,-15.08130,2.48510,0.418,0.4336
