Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,ebitda-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,108.78200,0.17600,108.60600,213.37000,116.12900,329.49900,-220.89300,-0.81800,-221.71100,1.21800,-222.92900,-222.92900,-222.92900,-219.11000,-220.89300,253.63100,253.63100,-0.88000,-0.88000,2.49570,,,99.83820,-203.06020,-203.06020,-201.42120,-203.81220,-204.93190,0.31180,6.05080,60.32220,-143.06280,-143.06280,-63.88820,-143.06280,0.68940,-0.0842,-0.0826
2021-12-31,69.85600,,69.85600,151.11700,43.81200,,-125.07300,-14.23000,-139.30300,,-139.30300,-139.30300,-139.30300,-123.05600,-125.07300,206.14700,206.14700,-0.68000,-0.68000,4.95320,,,100.00000,-179.04400,-179.04400,-176.15660,-199.41450,-199.41450,0.13290,6.39300,57.09390,-42.78530,-42.78530,-26.49530,-42.78530,1.47750,-0.3755,-0.3854
2020-12-31,132.29900,,132.29900,114.59200,38.60000,,-22.38000,-21.99200,-44.37200,,-44.37200,-44.37200,-44.37200,-20.27900,-22.38000,176.15300,176.15300,-0.25000,-0.25000,2.65080,,0.02340,100.00000,-16.91620,-16.91620,-15.32820,-33.53920,-33.53920,0.37260,5.88070,62.06700,-49.53890,-49.53890,-12.49660,-49.53890,0.45930,0.1495,0.156
2019-12-31,82.27100,,82.27100,114.52200,38.48900,,-92.17300,-11.96000,-104.13300,,-104.13300,-104.13300,-104.13300,-88.14500,-92.17300,148.31100,148.31100,-0.70000,-0.70000,2.69860,-0.02810,-0.02730,100.00000,-112.03580,-112.03580,-107.13980,-126.57320,-126.57320,0.34970,3.48360,104.77820,136.79910,136.79930,-44.26260,140.63850,-0.50700,0.5934,0.6273
2018-12-31,53.44600,,53.44600,174.45600,36.74600,,-161.44900,-7.39400,-168.84300,,-168.84300,-168.84300,-168.84300,-154.03800,-161.44900,139.94600,139.94600,-1.21000,-1.21000,3.94540,0.15830,0.18810,100.00000,-302.07870,-302.07870,-288.21240,-315.91320,-315.91330,0.18090,4.62060,78.99480,-1538.84700,-1538.85100,-57.16110,-1295.20500,0.07340,-1.2672,-1.2933
2017-12-31,115.44700,,115.44700,139.73900,33.91100,,-58.98200,-37.03000,-96.01200,,-96.01200,-96.01200,-96.01200,-53.01900,-58.98200,98.06800,98.06800,-0.98000,-0.98000,4.95500,-0.12940,-0.11460,100.00000,-51.09010,-51.09010,-45.92500,-83.16540,-83.16540,0.39180,22.07820,16.53210,536.52920,536.52920,-32.58220,605.94510,-0.13500,0.078,0.0666
2016-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,,1.4312,1.5505
2016-06-30,60.00200,,60.00200,148.07700,36.91600,,-124.99100,-19.82600,-144.81700,,-144.81700,-144.81700,-144.81700,-119.66400,-124.99100,86.97600,86.97600,-1.67000,-1.67000,4.14690,5.65100,-1.21500,100.00000,-208.31140,-208.31140,-199.43330,-241.35360,-241.35360,0.20900,26.17890,13.94250,175.95380,175.95380,-50.44400,-818.36010,-0.94380,-0.7886,-0.8216
2015-06-30,85.54100,,85.54100,111.76800,28.22800,,-54.45500,-6.28400,-60.73900,,-60.73900,-60.73900,-60.73900,-48.94200,-54.45500,86.03800,86.03800,-0.71000,-0.71000,8.15920,,,100.00000,-63.65950,-63.65950,-57.21470,-71.00570,-71.00570,0.27260,14.74340,24.75690,-173.02580,-173.02580,-19.35450,-173.02590,0.40550,-0.015,-0.0055
2014-06-30,59.89600,,59.89600,106.95800,24.46900,,-71.53100,0.16700,-71.36400,,-71.36400,-71.36400,-71.36400,-66.93300,-71.53100,85.48100,85.48100,-0.83000,-0.83000,7.09310,,,100.00000,-119.42530,-119.42530,-111.74870,-119.14650,-119.14650,0.36230,18.57240,19.65280,-94.27330,-94.27340,-43.16770,-94.27340,0.88120,0.0897,0.0388
