Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,110.89500,71.21800,39.67700,49.16600,49.16600,-9.48900,-9.48900,-2.20700,-7.28200,-7.28200,,-7.28200,18.85800,18.85800,-0.39000,-0.39000,0.79760,3.94010,-23.91560,-18.35320,0.00430,-1.35270,-1.68010,-0.07910,-0.27380,28.54570,-0.9251,-0.9293
2024-06-30,114.35000,71.42200,42.92800,50.93100,50.93100,-8.00300,-8.00300,-1.76500,-6.23800,-6.23800,,-6.23800,18.85800,18.85800,-0.33000,-0.33000,0.80230,4.05860,-18.64290,-14.53130,0.00460,-1.19930,-1.51990,-0.06730,-0.23710,27.58070,-1.1534,-1.1687
2024-03-31,111.99500,70.39000,41.60500,52.16400,52.16400,-10.55900,-10.55900,-3.06200,-7.49700,-7.49700,,-7.49700,18.85700,18.85700,-0.40000,-0.40000,0.81470,4.39730,-25.37920,-18.01950,0.00440,-1.42170,-1.80480,-0.07930,-0.26340,27.96340,-0.41600,-0.73730
2023-12-31,112.23500,66.29000,45.94500,49.95600,49.95600,-4.01100,-4.01100,-0.59200,-3.41900,-3.41900,,-3.41900,18.78300,18.78300,-0.18000,-0.18000,0.78530,3.65860,-8.81540,-7.51430,0.00480,-0.63500,-0.80540,-0.03640,-0.13630,28.62240,0.5066,0.4456
2023-09-30,111.17000,61.79400,49.37600,47.97900,47.97900,1.39700,1.39700,-0.89800,2.29500,2.29500,,2.29500,18.79300,18.79300,0.12000,0.12000,0.80670,4.17460,2.76710,4.54580,0.00530,0.45670,0.59700,0.02430,0.08830,26.73660,1.5701,1.5365
2023-06-30,111.01800,57.23100,53.78700,50.55500,90.41200,-36.62500,-36.62500,-5.18300,-31.44200,-31.44200,,-31.44200,18.77500,18.77500,-1.67000,-1.67000,0.80630,4.16320,-67.62870,-58.05820,0.00570,-5.95920,-7.71370,-0.33090,-1.15420,28.09940,1.0987,1.036
2023-03-31,107.24100,47.67500,59.56600,53.08400,53.08400,6.48200,6.48200,1.42400,5.05800,5.05800,,5.05800,18.75500,18.77200,0.27000,0.27000,0.78520,3.65650,10.99150,8.57680,0.00600,0.87970,1.22290,0.05130,0.18890,30.63690,-2.74820,-2.79380
2022-12-31,103.84300,38.47900,65.36400,54.21800,54.21800,11.14600,11.14600,2.64500,8.50100,8.50100,,8.50100,18.93100,19.04100,0.45000,0.46000,0.68810,2.20650,18.10420,13.80790,0.00660,1.51220,2.02260,0.09080,0.47160,30.01320,0.3232,0.2295
2022-09-30,96.72500,20.38500,76.34000,49.88900,49.88900,26.45100,26.45100,6.08400,20.36700,20.36700,,20.36700,18.71700,18.79700,1.09000,1.08000,0.76440,3.24410,34.64890,26.67930,0.00840,3.68440,4.99260,0.22450,0.86810,29.53250,3.4372,3.2814
2022-06-30,80.70400,7.63500,73.06900,50.63700,50.63700,22.43200,22.43200,4.71100,17.72100,17.72100,,17.72100,18.70700,18.83400,0.95000,0.94000,0.74340,2.89660,30.69980,24.25240,0.00850,3.05130,4.07440,0.20650,0.78310,31.03550,1.4463,1.4123
