Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,13.48000,1.84100,11.63900,1.84300,3.00400,5.17900,6.46000,-3.10600,3.35400,3.35400,3.35400,3.08000,12.84400,6.46000,13.74400,14.96800,0.22000,0.21000,0.50630,1.02550,47.92280,47.92280,24.88130,22.84870,0.02330,1.23330,1.44960,0.57930,0.60890,19.08180,0.4072,3.1343
2024-06-30,12.49000,1.80000,10.69000,1.60200,0.26100,7.69300,2.99700,-2.77500,0.22200,0.22200,0.22200,0.20400,9.41400,2.99700,13.62500,14.84900,0.01000,0.01000,0.50000,0.99990,23.99520,23.99520,1.77740,1.63330,0.02210,0.08270,0.09970,0.03920,0.04140,19.69280,0.5407,-0.0266
2024-03-31,12.46600,1.92800,10.53800,1.54200,-0.03100,7.95500,2.58300,-2.86600,-0.28300,-0.28300,-0.28300,-0.26000,9.03500,2.58300,13.62100,14.84500,-0.02000,-0.02000,0.49940,0.99780,20.72040,20.72040,-2.27020,-2.08570,0.02230,-0.10370,-0.12530,-0.05060,-0.05190,20.03640,0.45540,0.37870
2023-12-31,11.58100,1.84900,9.73200,1.47800,1.19600,6.75400,2.97800,-2.60800,0.37000,0.37000,0.37000,0.33500,9.51200,2.97800,13.92500,15.56100,0.02000,0.02000,0.50010,1.00020,25.71460,25.71460,3.19490,2.89270,0.02050,0.13420,0.16350,0.06550,0.06710,20.17810,0.4503,0.7978
2023-09-30,11.55900,1.72200,9.83700,1.65200,-0.27800,8.45800,1.37900,-2.31800,-0.93900,-0.93900,-0.93900,-0.83700,7.97600,1.37900,13.94600,15.65000,-0.06000,-0.05000,0.45710,0.84190,11.93010,11.93010,-8.12350,-7.24110,0.02070,-0.31740,-0.38440,-0.16840,-0.17230,21.48770,0.3301,0.3643
2023-06-30,11.34800,1.57500,9.77300,1.65600,0.74300,7.33600,2.43700,-2.34700,0.09000,0.09000,0.09000,0.08000,8.93500,2.43700,14.05900,15.76300,0.01000,0.01000,0.45010,0.81840,21.47520,21.47520,0.79310,0.70500,0.02000,0.02960,0.03590,0.01590,0.01630,21.66470,0.5252,-1.9778
2023-03-31,11.15600,1.43400,9.72200,1.51500,4.47600,3.37400,6.34800,-2.60300,3.74500,3.74500,3.74500,3.33900,12.77000,6.34800,14.00100,15.70400,0.24000,0.21000,0.44980,0.81770,56.90210,56.90210,33.56940,29.93010,0.01970,1.23000,1.49470,0.66230,0.67670,21.64900,0.34240,3.86700
2022-12-31,11.59200,1.24200,10.35000,1.41400,6.11000,1.63600,8.71400,-3.18900,5.52500,5.52500,5.52500,4.86200,15.15800,8.71400,11.97600,13.67900,0.38000,0.24000,0.47490,0.90430,75.17260,75.17260,47.66220,41.94270,0.02020,1.87050,2.35160,0.96350,0.98220,22.05110,0.5067,-0.3494
2022-09-30,11.52000,1.81600,9.70400,1.46000,11.32700,-4.00100,13.70500,-2.53500,11.17000,11.17000,11.17000,9.77000,19.64300,13.70500,11.88800,13.59200,0.82000,0.82000,0.51680,1.06970,118.96700,118.96700,96.96180,84.80900,0.02040,4.17050,5.36400,1.97490,2.01500,22.48450,0.3173,1.1889
2022-06-30,11.28000,1.28500,9.99500,1.47900,15.63700,-8.46400,18.45900,-2.12300,16.33600,16.33600,16.33600,14.28200,24.21600,18.45900,11.84400,13.54800,1.21000,1.05000,0.54160,1.18140,163.64360,163.64360,144.82270,126.61350,0.01990,6.41240,8.44740,2.87930,2.93960,21.47300,0.5202,2.6143
