Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,,,14.91500,2.94000,-17.85500,0.38700,-17.46800,0.70800,-18.17600,-18.17600,-18.17600,-17.85500,-17.85500,41.21000,41.21000,-0.44000,-0.44000,3.96520,,,,,,,,,,-37.12870,-37.12870,-27.94290,-37.12870,1.27940,-0.3408,-0.3408
2024-06-30,,,17.88500,3.36700,-21.25200,1.12400,-20.12800,,-20.12800,-20.12800,-20.36200,-21.25200,-21.25200,39.12300,39.12300,-0.52000,-0.52000,5.10210,,,,,,,,,,-30.59530,-30.59530,-24.71940,-30.59530,1.71930,-0.1716,-0.1716
2024-03-31,,,11.29900,3.52600,-14.82500,1.00500,-13.82000,,-13.82000,-13.82000,-13.82000,-14.82000,-14.82500,27.01400,27.01400,-0.51000,-0.51000,5.38330,,,,,,,,,,-29.17340,-29.17340,-23.84280,-29.17340,1.85030,-0.57440,-0.57440
2023-12-31,,,11.68500,3.13500,-14.82000,2.35500,-12.46500,,-12.46500,-12.46500,-12.46500,-14.81600,-14.82000,20.44500,20.44500,0.68000,0.68000,5.64470,,,,,,,,,,-20.72630,-20.72630,-17.11640,-20.72630,2.35250,-0.9034,-0.9034
2023-09-30,,,11.50300,3.33000,-14.83300,1.13700,-13.69600,,-13.69600,-13.69600,-13.69600,-14.83000,-14.83300,26.98700,26.98700,-0.51000,-0.51000,7.40720,,,,,,,,,,-19.02010,-19.02010,-16.49210,-19.02010,2.81670,0.3191,0.3191
2023-06-30,,,11.10400,3.55800,-14.66200,1.27200,-13.39000,,-13.39000,-13.39000,-13.39000,-14.65800,-14.66200,14.71000,14.71000,-0.91000,-0.91000,7.98160,,,,,,,,,,-15.92970,-15.92970,-13.96870,-15.92970,3.28800,-0.5738,-0.5738
2023-03-31,,,38.94200,3.78400,-42.72600,0.86300,-41.86300,,-41.86300,-41.86300,-41.86300,-42.72200,-42.72600,12.93400,12.93400,-3.24000,-3.24000,10.15410,,,,,,,,,,-147.77450,-147.77440,-39.29070,-147.77440,2.37240,-0.98190,-0.98190
2022-12-31,,,11.03400,2.90900,-13.94300,1.98800,-11.95500,,-12.10200,-12.10200,-12.10200,-13.93900,-13.94300,11.32400,11.32400,-1.09000,-1.09000,6.05350,,,,,,,,,,-20.55860,-20.55860,-17.20180,-20.55860,5.94490,-1.1493,-1.1493
2022-09-30,,,12.10200,3.18600,-15.28800,0.19400,-15.09400,,-15.09400,-15.09400,-15.09400,-15.49000,-15.28800,11.32400,11.32400,-1.33000,-1.33000,6.81890,,,,,,,,,,-21.54040,-21.54040,-18.37040,-21.54040,7.07660,-1.0822,-1.0822
2022-06-30,,,14.04500,2.85500,-16.90000,-0.12400,-17.02400,,-17.02400,-17.02400,-17.02400,-16.79400,-16.90000,11.32500,11.32500,-1.50000,-1.50000,8.87920,,,,,,,,,,-20.43260,-20.43260,-18.07160,-20.43260,9.43390,-1.0824,-1.0824
2022-03-31,,,7.78400,2.84800,-10.63200,0.25600,-10.37600,,-10.37600,-10.37600,-10.37600,-10.52400,-10.63200,11.32490,11.32490,-0.90000,-0.90000,14.28980,,,,,,,,,,-10.52790,-10.52790,-9.79780,-10.52790,11.15930,-1.01710,-1.01710
2021-12-31,0.37500,0.37500,8.07000,2.79300,-10.48800,-0.32400,-10.81200,,-10.78800,-10.78800,-10.78800,-10.44600,-10.48800,8.58250,8.58250,-0.90000,-0.90000,11.70260,,100.00000,-2796.80000,-2796.80000,-2883.20000,-2876.80000,0.00320,0.31540,285.36000,-9.99940,-9.99940,-9.14930,-9.99940,12.21570,-0.9717,-0.9717
2021-09-30,0.37500,0.37500,10.07700,2.43800,-12.14000,1.00100,-11.13900,,-11.13900,-11.13900,-11.13900,-12.10000,-12.14000,7.82190,7.82190,-1.40000,-1.40000,11.10920,,100.00000,-3237.33300,-3237.33300,-2970.40000,-2970.40000,0.00290,6.35590,14.16000,-9.53530,-9.53530,-8.69690,-9.53530,13.29950,-0.9858,-0.9858
2021-06-30,0.37500,0.37500,7.20600,2.79500,-9.62600,0.10000,-9.52600,,-9.52600,-9.52600,-9.52600,-9.58500,-9.62600,7.63900,7.63900,-1.20000,-1.20000,4.47120,,100.00000,-2566.93300,-2566.93300,-2540.26700,-2540.26700,0.00990,17.04550,5.28000,-31.87660,-31.87660,-25.10810,-31.87660,5.00800,-1.0146,-1.0146
2021-03-31,0.37500,0.37500,6.80700,2.74000,-9.17200,0.03800,-9.13400,,-9.13400,-9.13400,-9.13400,-9.13100,-9.17200,7.63790,7.63790,-1.20000,-1.20000,5.92250,,100.00000,-2445.86700,-2445.86700,-2435.73300,-2435.73300,0.00820,17.04550,5.28000,-23.79950,-23.79950,-19.94020,-23.79950,6.43190,-1.12430,-1.12430
2020-12-31,0.37500,0.37500,5.10100,2.42800,-7.15400,0.44200,-6.71200,,-6.71000,-6.71000,-6.71000,-7.11200,-7.15400,5.93280,5.93280,1.30000,1.30000,7.09090,,100.00000,-1907.73400,-1907.73400,-1789.86700,-1789.33400,0.00690,5.13700,17.52000,-14.38340,-14.38340,-12.34110,-14.38340,7.81970,-1.7588,-1.7579
2020-09-30,0.37500,0.37500,5.36900,2.51400,-7.50800,0.45100,-7.05700,,-7.05700,-7.05700,-7.05700,-7.46700,-7.50800,7.63220,7.63220,-0.90000,-0.90000,8.69710,,100.00000,-2002.13300,-2002.13300,-1881.86700,-1881.86700,0.00620,1.79430,50.16000,-13.28050,-13.28050,-11.65600,-13.28050,8.90710,-0.0656,-0.0671
