Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,9.13700,0.72330,8.41370,3.79540,-0.06220,6.85620,1.55760,1.55760,0.45730,1.10030,1.10030,1.10030,4.55610,2.18000,36.31700,36.98400,0.03000,0.03000,3.19050,0.18330,0.22450,92.08390,17.04670,23.85950,17.04670,12.04230,0.05610,2.06520,43.58020,0.89010,0.89010,0.67580,0.72690,3.42850,0.1522,0.1515
2024-06-30,9.54120,0.89230,8.64890,4.27500,0.19730,6.99800,1.65090,1.65090,0.35520,1.29580,1.29580,1.29580,4.57120,2.30290,36.30800,36.38000,0.04000,0.04000,3.98460,0.18880,0.23280,90.64750,17.30300,24.13630,17.30300,13.58080,0.05840,1.75240,51.35710,1.04920,1.04920,0.79350,0.85110,3.43060,0.1145,0.126
2024-03-31,7.86940,0.72470,7.14470,4.19050,-0.02420,7.28600,-0.14130,-0.14130,0.04230,-0.18360,-0.18360,-0.18360,2.92990,0.57360,36.30300,36.30300,-0.01000,-0.01000,4.51030,0.20050,0.25080,90.79050,-1.79530,7.28900,-1.79530,-2.33330,0.04800,1.90120,47.33900,-0.14970,-0.14970,-0.11200,-0.11970,3.40640,0.14450,0.14620
2023-12-31,11.78300,0.77620,11.00680,3.99660,-0.08440,7.24790,3.75890,3.75890,1.24550,2.51340,2.51340,2.51340,6.92570,4.48260,35.98000,35.98000,0.07000,0.07000,5.05230,0.21000,0.26580,93.41280,31.90120,38.04290,31.90110,21.33120,0.07080,2.19990,40.91030,2.03960,2.03960,1.50950,1.61140,3.42400,0.1041,0.1103
2023-09-30,9.18150,0.80130,8.38030,3.45430,0.13800,5.89580,2.48440,2.48440,0.58900,1.89540,1.89540,1.89540,5.06410,3.04130,35.98300,36.65600,0.05000,0.05000,3.17070,0.20180,0.25280,91.27310,27.05870,33.12450,27.05870,20.64360,0.05640,1.49860,60.05410,1.55800,1.55800,1.16430,1.24370,3.40650,0.1826,0.1857
2023-06-30,7.52620,0.77600,6.75010,4.08350,-0.13930,6.95750,-0.20730,-0.20730,-0.16600,-0.04130,-0.04130,-0.04130,2.52730,0.31700,35.96500,35.96500,0.00000,0.00000,5.17680,0.16510,0.19780,89.68870,-2.75430,4.21200,-2.75430,-0.54860,0.04930,1.15520,77.91030,-0.03440,-0.03440,-0.02700,-0.02870,3.36210,0.1365,0.1343
2023-03-31,15.97320,1.12720,14.84600,4.11070,4.33240,2.22580,12.62020,12.62020,3.06700,9.55320,9.55320,9.55320,15.06770,13.17770,35.93600,35.93600,0.27000,0.27000,5.12840,0.17780,0.21620,92.94320,79.00880,82.49880,79.00880,59.80790,0.10240,1.94050,46.37930,7.94510,7.94510,6.12680,6.53250,3.36690,0.24860,0.49960
2022-12-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
2022-09-30,,,,,3.49660,,,11.58950,2.43100,,,9.15850,,,35.57380,35.91690,0.26000,0.25000,,,,,,,,,,,,,,,,,-0.4505,-0.5397
2022-06-30,17.38370,1.82600,15.55770,4.30780,0.62430,5.99270,9.56500,9.56500,0.97600,8.58900,8.58900,8.58900,11.87420,9.85140,34.65200,34.85100,0.25000,0.25000,1.48980,0.22410,0.28890,89.49590,55.02300,56.67020,55.02300,49.40850,0.12130,1.37520,65.44580,8.76760,8.76760,5.99080,6.80250,2.77480,0.2377,0.2625
