Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,29.63900,5.98600,23.65300,4.93500,,15.86200,7.79100,-6.04200,1.74900,1.74900,1.74900,0.99300,18.97000,7.79100,26.66000,26.66000,0.04000,0.04000,0.99280,26.28630,26.28630,5.90100,3.35030,0.03020,0.36660,0.36660,0.17810,0.36660,16.89510,0.5117,0.0598
2024-06-30,27.51600,5.57200,21.94400,4.76000,,15.55200,6.39200,-16.81900,-10.42700,-10.42700,-10.42700,-11.08400,17.35100,6.39200,26.47900,26.47900,-0.42000,-0.42000,0.91930,23.23010,23.23010,-37.89430,-40.28200,0.02800,-2.09470,-2.09470,-1.06050,-2.09470,17.74650,0.6285,-0.5218
2024-03-31,29.33300,5.79100,23.54200,4.55400,,14.81600,8.72600,-5.06100,3.66500,3.66500,3.66500,3.01800,19.20500,8.72600,26.29700,26.29700,0.11000,0.11000,0.86450,29.74810,29.74810,12.49450,10.28880,0.02980,0.71630,0.71630,0.37300,0.71630,18.47030,0.48080,-1.01790
2023-12-31,29.12400,5.59800,23.52600,3.72800,,13.97600,9.55000,-4.98300,4.56700,4.56700,4.56700,3.94200,19.98600,9.55000,25.20200,25.20200,0.17000,0.17000,0.78570,32.79080,32.79080,15.68120,13.53520,0.03080,0.88980,0.88980,0.48310,0.88980,18.58750,0.5899,-0.0326
2023-09-30,28.73500,5.45600,23.27900,3.61800,,14.82600,8.45300,-4.96100,3.49200,3.49200,3.49200,2.87000,19.71100,8.45300,25.51400,25.51400,0.11000,0.11000,0.76810,29.41710,29.41710,12.15240,9.98780,0.03010,0.66860,0.66860,0.36560,0.66860,19.15620,0.6738,-1.4821
2023-06-30,27.81000,4.78600,23.02400,3.78700,,13.00600,10.01800,-3.44100,6.57700,6.57700,6.57700,6.02700,19.48000,10.01800,25.06500,25.06500,0.24000,0.24000,0.72850,36.02300,36.02300,23.64980,21.67210,0.03090,1.30150,1.30150,0.73040,1.30150,19.03940,0.6478,-0.094
2023-03-31,27.17600,4.87300,22.30300,16.20500,,25.22300,-2.92000,-4.00200,-6.92200,-6.92200,-6.92200,-7.74400,18.16200,-2.92000,24.22700,24.22700,-0.32000,-0.32000,0.73820,-10.74480,-10.74480,-25.47100,-28.49570,0.03070,-1.39980,-1.39980,-0.78100,-1.39980,18.82150,0.52410,-0.63300
2022-12-31,25.34200,4.15600,21.18600,4.14900,,12.46600,8.72000,-3.48200,5.23800,5.23800,5.23800,4.47600,17.26300,8.72000,23.63100,23.63100,0.18000,0.18000,0.71050,34.40930,34.40930,20.66930,17.66240,0.02890,1.05430,1.05430,0.59770,1.05430,19.18420,0.6486,-1.6493
2022-09-30,24.80700,4.32700,20.48000,3.76200,,11.76500,8.71500,-3.04200,5.67300,5.67300,5.67300,4.91400,16.92600,8.71500,23.58700,23.58700,0.21000,0.21000,0.64950,35.13120,35.13120,22.86860,19.80890,0.03060,1.18560,1.18560,0.69870,1.18560,18.91320,0.6503,-0.2118
2022-06-30,24.04900,4.06200,19.98700,3.61000,,11.68700,8.30000,-2.71600,5.58400,5.58400,5.58400,4.91600,16.58000,8.30000,23.57800,23.57800,0.21000,0.21000,0.61680,34.51290,34.51290,23.21930,20.44160,0.03060,1.18060,1.18060,0.71040,1.18060,18.84390,0.641,-0.4016
2022-03-31,23.48100,4.09100,19.39000,3.31600,,11.25800,8.13200,-2.60800,5.52400,5.52400,5.52400,4.86600,16.29000,8.13200,23.57000,23.57000,0.21000,0.21000,0.57240,34.63230,34.63230,23.52540,20.72310,0.03080,1.17250,1.17250,0.72570,1.17250,18.79040,0.61100,0.28280
2021-12-31,23.24200,3.53500,19.70700,3.15500,,10.98000,8.72700,-2.61400,6.11300,6.11300,6.11300,5.49600,16.76000,8.72700,23.26300,23.26300,0.24000,0.24000,0.57480,37.54840,37.54840,26.30160,23.64680,0.03080,1.32280,1.32280,0.81050,1.32280,18.49710,0.6604,0.1432
2021-09-30,23.25400,4.05100,19.20300,3.20600,,11.01800,8.18500,-2.83100,5.35400,5.35400,5.35400,4.74200,16.19900,8.18500,23.47200,23.47200,0.20000,0.20000,0.55790,35.19830,35.19830,23.02400,20.39220,0.03110,1.15970,1.15970,0.71620,1.15970,18.48010,0.5502,0.1279
