Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,,,48.71900,16.06100,-64.78000,0.30100,-64.47900,-64.47900,-64.47900,-64.47900,-64.97200,-64.78000,97.05100,97.05100,-0.66000,-0.66000,3.88420,0.38750,0.63260,,,,,,,,,-81.41690,-81.41700,-35.99500,-49.86970,0.98890,-0.538,-0.5383
2024-06-30,,,42.37300,17.12500,-59.49800,0.99000,-58.50800,-58.50800,-58.50800,-58.50800,-60.25900,-59.49800,96.81300,96.81300,-0.60000,-0.60000,6.03680,0.26620,0.37470,,,,,,,,,-43.78690,-43.78690,-25.78980,-32.12870,1.67040,-0.5032,-0.5035
2024-03-31,,,43.09400,15.32500,-58.41900,1.56600,-56.85300,-56.85300,-56.85300,-56.85300,-59.66300,-58.41900,95.89300,95.89300,-0.59000,-0.59000,6.58380,0.19610,0.27410,,,,,,,,,-31.10580,-31.10580,-21.27060,-25.00500,2.29200,-0.51920,-0.51940
2023-12-31,,,34.96100,13.07100,-48.03200,1.90600,-46.12600,-46.12600,-46.12600,-46.12600,-49.10400,-48.03200,83.34700,83.34700,-0.50000,-0.50000,8.80220,0.17770,0.22210,,,,,,,,,-20.48060,-20.48060,-14.82980,-16.84030,2.96420,-0.4041,-0.4041
2023-09-30,,,30.33700,13.33500,-43.67200,1.31300,-42.35900,-42.35900,-42.35900,-42.35900,-44.76000,-43.67200,80.60600,80.60600,-0.53000,-0.53000,8.54710,0.22960,0.29800,,,,,,,,,-25.26410,-25.26410,-16.89700,-19.46430,2.98010,-0.3946,-0.3946
2023-06-30,,,26.86700,12.21500,-39.08200,1.15700,-37.92500,-37.92500,-37.92500,-37.92500,-39.47900,-39.08200,80.11800,80.11800,-0.47000,-0.47000,10.70500,0.19770,0.24640,,,,,,,,,-18.72830,-18.72830,-13.31170,-15.02560,3.67120,-0.4029,-0.4034
2023-03-31,,,29.73500,10.77400,-40.50900,1.13000,-39.37900,-39.37900,-39.37900,-39.37900,-41.05400,-40.50900,79.61000,79.61000,-0.49000,-0.49000,10.95690,0.17890,0.21790,,,,,,,,,-17.22220,-17.22220,-12.51240,-14.14060,4.39810,-0.54080,-0.54100
2022-12-31,,,29.61300,10.81500,-40.42800,1.17300,-39.25500,-39.25500,-39.25500,-39.25500,-41.18000,-40.42800,59.61200,59.61200,-0.44000,-0.44000,9.01440,0.16050,0.19120,,,,,,,,,-15.08440,-15.08440,-10.95990,-12.66380,5.03620,-0.9178,-0.9237
2022-09-30,,,33.39200,10.47000,-43.86200,0.56500,-43.29700,-43.29700,-43.29700,-43.29700,-43.71900,-43.86200,79.33600,79.33600,-0.55000,-0.55000,10.60030,0.14510,0.17240,,,,,,,,,-14.76380,-14.76380,-11.09320,-12.62190,5.67670,0.5491,0.5593
2022-06-30,,,32.07300,11.07400,-43.14700,-0.85300,-44.00000,-44.00000,-44.00000,-44.00000,-43.73500,-43.14700,41.62200,41.62200,-1.06000,-1.06000,9.68920,0.10540,0.15290,,,,,,,,,-13.35330,-13.35330,-10.37420,-11.94620,6.38110,-0.7209,-0.7312
2022-03-31,33.19300,33.19300,29.36600,10.76000,-6.93300,-1.01700,-7.95000,-7.95000,-7.95000,-7.95000,-4.17200,-6.93300,37.45700,37.45700,-0.21000,-0.21000,6.84940,0.20290,0.29300,100.00000,-20.88690,-20.88690,-23.95080,-23.95080,0.12480,,,-4.64050,-4.64050,-2.98900,-3.69880,4.85300,-1.13640,-1.14820
2021-12-31,4.04900,4.04900,29.05100,10.36200,-35.36400,-0.55000,-35.91400,-35.91400,-35.91400,-35.91400,-34.44000,-35.36400,36.71200,36.71200,-0.97000,-0.97000,4.12650,0.21960,0.29060,100.00000,-873.40100,-873.40110,-886.98460,-886.98440,0.01330,,,-20.87130,-20.87130,-11.79660,-16.28780,4.88720,-0.882,-0.8967
2021-09-30,5.46400,5.46400,31.26500,11.27600,-37.07700,-0.43000,-37.50700,-37.50700,-37.50700,-37.50700,-36.03200,-37.07700,36.68300,36.68300,-1.02000,-1.02000,3.99620,0.11750,0.13310,100.00000,-678.56880,-678.56880,-686.43850,-686.43850,0.01830,,,-20.02940,-20.02940,-12.56980,-17.67630,5.41210,-0.9764,-1.0146
2021-06-30,4.59500,4.59500,25.60300,9.26500,-30.27300,-0.43400,-30.70700,-30.70700,-30.70700,-30.70700,-29.28300,-30.27300,36.58300,36.58300,-0.84000,-0.84000,4.33240,0.10290,0.11470,100.00000,-658.82490,-658.82490,-668.26990,-668.26990,0.01380,,,-14.17320,-14.17320,-9.24770,-12.71500,6.28720,-0.8656,-0.8921
