Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2014-09-30,62.20700,59.93000,2.27700,11.65000,11.65000,-9.37300,1.13000,-8.24000,-0.59000,-7.65000,,-5.53800,0.00000,-5.53800,-9.37300,-9.37300,2.98120,2.98120,-2.00000,-2.00000,2.13330,0.01050,3.64910,-15.06740,-15.06740,-13.24610,-8.90250,0.15240,0.64850,138.77540,-1.94510,-1.95100,-1.35650,-1.94500,,0,0
2014-06-30,61.48000,56.84000,4.64000,14.19000,14.19000,-9.55000,1.04000,-8.51000,-2.08000,-6.43000,,-5.44400,0.00000,-5.44400,-9.55000,-9.55000,2.98060,2.98060,-2.00000,-2.00000,2.19000,0.01050,7.53090,-15.53350,-15.53350,-13.84190,-8.85490,0.15010,0.62820,143.25630,-1.90020,-1.90650,-1.32950,-1.90020,,0,0
2014-03-31,63.00000,57.23000,5.77000,10.90000,10.90000,-5.13000,1.02000,-4.11000,-0.00400,-4.10600,,-3.50900,0.00000,-3.50900,-5.13000,-5.13000,2.97880,2.97880,-1.20000,-1.20000,2.37740,0.01070,9.14290,-8.14290,-8.14290,-6.52380,-5.56980,0.16030,0.70180,128.24290,-1.25420,-1.25950,-0.89310,-1.25420,,0.00000,
2013-12-31,77.21400,-81.95900,159.17300,-7.20400,-7.20400,166.37700,-2.49900,-18.07300,-0.63700,-17.43600,-0.06000,1.45800,0.00000,1.45800,166.37700,166.37700,2.98790,2.98850,0.40000,0.40000,2.47660,,14.68650,215.47520,215.47520,-23.40640,1.88830,0.19170,0.71690,125.54590,0.50050,0.50290,0.36200,0.50040,,0.1773,-4.1927
2013-09-30,68.06700,59.52000,8.54700,12.16000,12.16000,-3.61300,1.95000,-1.67000,2.17000,-3.84000,,-3.53500,0.00000,-3.53500,-3.61300,-3.61300,2.99210,2.99210,-1.20000,-1.20000,2.00740,,12.54650,-5.30800,-5.30800,-2.45350,-5.19340,0.17210,0.65780,136.81080,-1.36630,-1.37510,-0.89390,-1.36630,,0,0
2013-06-30,63.37300,60.07000,3.30300,10.25000,10.25000,-6.94700,0.84000,-6.10000,-1.03000,-5.07000,,-4.94900,0.00000,-4.94900,-6.94700,-6.94700,3.01590,3.01590,-1.60000,-1.60000,1.66510,,5.19150,-10.96210,-10.96210,-9.62560,-7.80930,0.16060,0.67140,134.04920,-2.12690,-2.13730,-1.25430,-2.12680,,0,0
2013-03-31,63.61200,60.11000,3.50200,9.10000,9.10000,-5.59800,0.18000,-4.48000,-1.04000,-3.44000,,-3.60000,0.00000,-3.60000,-5.59800,-5.59800,3.04350,3.04350,-1.20000,-1.20000,1.98040,,6.94840,-8.80020,-8.80020,-7.04270,-5.65930,0.17090,0.59130,152.20710,-1.52360,-1.53210,-0.96700,-1.52350,,0.00000,
2012-12-31,82.64700,65.40000,17.24700,10.73000,10.73000,6.51700,0.94000,7.45000,4.21000,3.24000,0.07000,3.35400,0.00000,3.35400,6.51700,6.51700,3.06380,3.06440,1.00000,1.00000,2.51240,,20.87190,7.88530,7.88530,9.01420,4.05820,0.24040,0.81650,110.22540,1.40080,1.40980,0.97540,1.40080,,6.6016,3.6125
2012-09-30,71.36800,62.55000,8.81800,9.68000,9.68000,-0.86200,-29.34000,-30.22000,-2.97000,-27.25000,-0.06000,-27.28500,0.00000,-27.28500,-0.86200,-0.86200,3.10310,3.10310,-8.80000,-8.80000,2.56940,,12.34450,-1.20780,-1.20780,-42.34390,-38.23140,0.21480,0.81560,110.34360,-11.59090,-11.67420,-8.21190,-11.58990,,0,0
2012-06-30,68.13300,59.83000,8.30300,9.21000,9.21000,-0.90700,1.27000,-1.19000,-0.66000,-0.53000,0.01000,-1.47000,0.00000,-1.47000,-0.90700,-0.90700,3.12950,3.12950,-0.40000,-0.40000,2.55920,,9.90710,-1.33120,-1.33120,-1.74660,-2.15750,0.18930,0.73820,121.91010,-0.56370,-0.64390,-0.40840,-0.56370,,0,0
2012-03-31,66.14400,62.82000,3.32400,10.21000,10.21000,-6.88600,1.07000,-5.81000,1.91000,-7.72000,,-7.32700,0.00000,-7.32700,-6.88600,-6.88600,3.13100,3.13100,-2.40000,-2.40000,2.69160,,5.01940,-10.41060,-10.41060,-8.78390,-11.07740,0.18410,0.77410,116.26910,-2.78190,-3.18860,-2.03880,-2.78190,,0.00000,
2011-12-31,84.99400,65.78000,19.21400,12.24000,12.24000,6.97400,-0.03000,6.95000,2.43000,4.52000,0.08000,4.62900,0.00000,4.62900,6.97400,6.97400,3.16370,3.19280,1.40000,1.40000,2.82680,,22.62510,8.20530,8.20530,8.17700,5.44630,0.23510,0.91570,98.28690,1.71410,1.96540,1.28060,1.71410,,5.6158,4.3598
2011-09-30,68.71500,61.72000,6.99500,9.99000,9.99000,-2.99500,0.65000,-2.34000,-0.20000,-2.14000,0.07000,-1.68300,0.00000,-1.68300,-2.99500,-2.99500,2.80500,2.80500,-0.60000,-0.60000,2.69690,,10.17250,-4.35860,-4.35860,-3.40540,-2.44920,0.19350,0.84340,106.70600,-0.63510,-0.73490,-0.47380,-0.63510,,0,0
2011-06-30,58.53000,60.78000,-2.25000,8.87000,8.87000,-11.12000,0.12000,-12.52000,-2.49000,-10.03000,0.04000,-8.64000,0.00000,-8.64000,-11.12000,-11.12000,3.27040,3.27040,-2.60000,-2.60000,2.86820,,-6.44110,-18.99880,-18.99880,-21.39070,-14.76170,0.16970,0.84340,106.71450,-3.27890,-3.80550,-2.50530,-3.27880,,0,0
2011-03-31,61.35300,56.19000,5.16300,9.14000,9.14000,-3.97700,0.69000,-4.74000,0.52000,-5.26000,0.05000,-3.90200,0.00000,-3.90200,-3.97700,-3.97700,3.25160,3.25160,-1.20000,-1.20000,3.07100,,6.03070,-6.48220,-6.48220,-7.72580,-6.35990,0.17500,0.88670,101.49630,-1.42380,-1.65010,-1.11310,-1.42380,,0.00000,
2010-12-31,70.76200,54.34000,16.42200,10.05000,10.05000,6.37200,-0.48000,3.82000,-0.41000,4.23000,0.05000,5.11000,0.00000,5.11000,6.37200,6.37200,3.19380,3.19380,1.60000,1.40000,3.28170,,20.27930,9.00480,9.00480,5.39840,7.22140,0.20380,1.13310,79.42820,1.84670,2.14270,1.47190,1.84670,,3.3252,0.5792
2010-09-30,60.59800,49.43000,11.16800,9.73000,9.73000,1.43800,0.43000,0.24000,-0.35000,0.59000,0.05000,1.21200,0.00000,1.21200,1.43800,1.43800,3.27940,3.30250,0.40000,0.40000,3.31610,,15.74310,2.37300,2.37300,0.39610,2.00010,0.18300,1.00340,89.69110,0.45430,0.52680,0.36610,0.45430,,0,0
2010-06-30,56.33100,48.61000,7.72100,12.22000,12.22000,-4.49900,0.22000,-5.53000,0.01000,-5.54000,0.04000,-4.73400,0.00000,-4.73400,-4.49900,-4.49900,3.27920,3.27920,-1.40000,-1.40000,3.40460,,11.48570,-7.98670,-7.98670,-9.81700,-8.40390,0.17590,1.14120,78.86240,-1.81390,-2.11540,-1.47840,-1.81390,,0,0
2010-03-31,48.76900,45.52000,3.24900,10.75000,10.75000,-7.50100,1.38000,-7.13000,0.02000,-7.15000,0.15000,-6.50500,0.00000,-6.50500,-7.50100,-7.50100,3.27890,3.27890,-2.00000,-2.00000,3.43640,,4.57260,-15.38070,-15.38070,-14.61990,-13.33840,0.15250,1.24670,72.19340,-2.48770,-2.90910,-2.03360,-2.48760,,0.00000,
2009-12-31,45.19900,47.08000,-1.88100,21.74000,21.74000,-23.62100,0.81000,-23.75000,-4.39000,-19.36000,0.32000,-12.41100,0.00000,-12.41100,-23.62100,-23.62100,3.26610,3.26610,-3.80000,-3.80000,4.27810,,-6.26120,-52.26000,-52.26000,-52.54540,-27.45860,0.13970,0.91590,98.26540,-4.54150,-4.90440,-3.83470,-4.54150,,2.7097,-6.0562
2009-09-30,37.72600,37.80000,-0.07400,10.64000,10.64000,-10.71400,0.93000,-10.33000,-0.87000,-9.46000,-0.16000,-9.57700,0.00000,-9.57700,-10.71400,-10.71400,3.19240,3.19240,-3.00000,-3.00000,5.60300,0.00740,-1.64340,-28.39950,-28.39950,-27.38170,-25.38570,0.11680,0.83210,108.16410,-3.37610,-3.57900,-2.96620,-3.37610,,0,0
2009-06-30,36.81900,36.78000,0.03900,7.91000,7.91000,-7.87100,0.68000,-7.72000,-0.65000,-7.07000,,-6.99500,0.00000,-6.99500,-7.87100,-7.87100,3.17950,3.17950,-2.20000,-2.20000,4.38020,0.08010,-1.30370,-21.37760,-21.37760,-20.96740,-18.99830,0.10680,0.78820,114.17750,-2.43300,-2.50260,-2.02890,-2.43290,,0,0
2009-03-31,32.78600,25.88000,6.90600,8.08000,8.08000,-1.17400,0.84000,-1.42000,-0.12000,-1.30000,,-1.25100,0.00000,-1.25100,-1.17400,-1.17400,3.12750,3.12750,-0.40000,-0.40000,9.20490,,17.72100,-3.58080,-3.58080,-4.33110,-3.81570,0.10210,0.74290,121.14010,-0.42700,-0.43960,-0.38960,-0.42700,,0.00000,
