,Announcement Date,Fiscal Quarter End,Estimated EPS,Actual EPS
0,2024-11-19,2024-09-30,$0.56,$0.55
1,2024-08-01,2024-06-30,$0.57,$0.55
2,2024-04-30,2024-03-31,$0.57,$0.56
3,2024-02-01,2023-12-31,$0.61,$0.57
4,2023-11-14,2023-09-30,$0.63,$0.62
5,2023-08-03,2023-06-30,$0.63,$0.62
6,2023-05-04,2023-03-31,$0.62,$0.62
7,2023-02-07,2022-12-31,$0.55,$0.61
8,2022-11-15,2022-09-30,$0.57,$0.54
9,2022-08-04,2022-06-30,$0.54,$0.51
10,2022-05-05,2022-03-31,$0.51,$0.54
11,2022-02-03,2021-12-31,$0.48,$0.51
12,2021-11-16,2021-09-30,$0.45,$0.48
13,2021-08-05,2021-06-30,$0.42,$0.57
14,2021-05-06,2021-03-31,$0.42,$0.42
15,2021-02-04,2020-12-31,$0.39,$0.42
16,2020-11-19,2020-09-30,$0.36,$0.51
17,2020-08-10,2020-06-30,$0.33,$0.36
18,2020-05-07,2020-03-31,$0.30,$0.36
19,2020-02-06,2019-12-31,$0.36,$0.30
20,2019-11-20,2019-09-30,$0.36,$0.36
21,2019-08-07,2019-06-30,$0.36,$0.36
22,2019-05-08,2019-03-31,$0.36,$0.39
23,2019-02-07,2018-12-31,$0.33,$0.36
24,2018-11-29,2018-09-30,$0.33,$0.36
25,2018-08-08,2018-06-30,$0.30,$0.30
26,2018-05-08,2018-03-31,$0.27,$0.33
27,2018-02-08,2017-12-31,$0.30,$0.27
28,2017-11-29,2017-09-30,$0.39,$0.24
29,2017-08-09,2017-06-30,$0.39,$0.42
30,2017-05-10,2017-03-31,$0.45,$0.39
31,2017-02-09,2016-12-31,$0.54,$0.48
32,2016-11-29,2016-09-30,$0.54,$0.54
33,2016-08-09,2016-06-30,$0.54,$0.60
34,2016-05-10,2016-03-31,$0.54,$0.54
35,2016-02-09,2015-12-31,$0.54,$0.54
36,2015-12-01,2015-09-30,$0.60,$0.54
37,2015-08-10,2015-06-30,$0.57,$0.63
38,2015-05-11,2015-03-31,$0.63,$0.57
39,2015-02-09,2014-12-31,$0.78,$0.63
