,Announcement Date,Fiscal Quarter End,Estimated EPS,Actual EPS
0,2024-11-07,2024-09-30,--,$0.14
1,2024-08-08,2024-06-30,--,$0.97
2,2024-05-16,2024-03-31,--,$0.71
3,2024-02-08,2023-12-31,--,$1.00
4,2023-11-08,2023-09-30,--,$-0.10
5,2023-08-08,2023-06-30,--,$0.30
6,2023-05-23,2023-03-31,--,$0.10
7,2023-03-08,2022-12-31,--,$3.60
8,2022-11-23,2022-09-30,--,$3.60
9,2022-08-09,2022-06-30,--,$2.90
10,2022-05-09,2022-03-31,--,$2.10
11,2022-02-07,2021-12-31,--,$1.80
12,2021-11-08,2021-09-30,--,$1.60
13,2021-08-05,2021-06-30,--,$0.70
14,2021-06-03,2021-03-31,--,$0.20
15,2021-03-30,2020-12-31,--,$-1.00
16,2020-11-11,2020-09-30,--,$0.00
17,2020-09-11,2020-06-30,--,$-1.00
18,2020-06-02,2020-03-31,--,$-7.00
19,2020-03-04,2019-12-31,--,$20.00
