Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,1186.00000,607.00000,579.00000,,-156.00000,262.00000,317.00000,317.00000,78.00000,239.00000,239.00000,231.00000,425.00000,367.00000,282.00000,284.00000,0.82000,0.81000,0.34190,0.55430,26.72850,30.94440,26.72850,19.47720,0.06770,3.68830,-8.92120,1.36380,2.42710,22.65730,1.5447,1.4704
2024-06-30,1178.00000,585.00000,593.00000,,-143.00000,247.00000,346.00000,346.00000,87.00000,259.00000,259.00000,254.00000,450.00000,395.00000,282.00000,283.00000,0.90000,0.90000,0.35970,0.68180,29.37180,33.53140,29.37180,21.56200,0.07390,4.29020,-8.75300,1.62440,2.74710,21.18250,1.2721,1.3852
2024-03-31,1258.00000,631.00000,627.00000,,-161.00000,263.00000,364.00000,364.00000,71.00000,293.00000,293.00000,293.00000,466.00000,412.00000,281.00000,283.00000,1.03000,1.02000,0.34210,0.67120,28.93480,32.75040,28.93480,23.29090,0.08500,5.06310,-9.18210,1.97890,3.33110,20.30530,0.04590,
2023-12-31,1026.10000,553.60010,472.50000,,-16.40000,116.39990,356.10010,356.10000,87.60000,268.50000,268.50000,261.20000,317.30010,403.10010,279.60000,280.80000,0.95000,0.93000,0.36650,0.68040,34.70420,39.28470,34.70420,25.45560,0.06890,4.81270,-7.93670,1.80410,3.04910,19.57540,1.0898,1.3307
2023-09-30,1068.00000,532.00000,536.00000,,-195.00000,294.00000,242.00000,242.00000,66.00000,176.00000,176.00000,173.00000,341.00000,290.00000,280.00000,281.00000,0.62000,0.62000,0.37690,0.71310,22.65920,27.15360,22.65920,16.19850,0.07640,3.38550,-5.53700,1.25870,2.10950,18.28600,1.1196,1.0807
2023-06-30,1047.00000,530.00000,517.00000,,-164.00000,263.00000,254.00000,254.00000,64.00000,190.00000,190.00000,187.00000,356.00000,302.00000,279.00000,280.00000,0.67000,0.67000,0.42590,0.75220,24.25980,28.84430,24.25980,17.86060,0.07440,3.74570,-5.66300,1.35020,2.15060,17.88610,1.1706,1.1244
2023-03-31,1116.00000,571.00000,545.00000,,-153.00000,251.00000,294.00000,294.00000,58.00000,236.00000,236.00000,236.00000,392.00000,341.00000,278.00000,279.00000,0.83000,0.83000,0.43170,0.81040,26.34410,30.55560,26.34410,21.14700,0.08330,4.87100,-6.80740,1.76120,2.76830,17.08390,0.21510,0.19350
2022-12-31,901.39980,475.50010,425.89970,,-136.90000,231.59990,194.29980,194.30000,49.10000,145.20000,145.20000,142.50000,286.39980,239.69990,277.50000,278.60000,0.52000,0.52000,0.44490,0.85580,21.55530,26.59200,21.55540,15.80870,0.06450,3.15200,-3.96420,1.03910,1.74980,16.26620,1.0116,1.1479
2022-09-30,927.60000,470.30000,457.30000,,-143.00000,239.30000,218.00000,218.00000,56.90000,161.10000,161.10000,158.20000,315.40000,259.50000,277.80000,278.70000,0.57000,0.57000,0.48380,0.95300,23.50150,27.97540,23.50150,17.05480,0.06790,3.73730,-4.23980,1.17950,1.92910,15.21570,0.9077,0.8493
2022-06-30,839.70000,412.10000,427.60000,,-150.30000,228.80000,198.80000,198.80000,53.60000,145.20000,145.20000,142.50000,278.60000,234.80000,277.20000,278.20000,0.51000,0.51000,0.49250,0.98610,23.67510,27.96240,23.67510,16.97040,0.06840,3.38980,-7.21920,1.18240,1.72040,15.17860,0.8725,0.8578
2022-03-31,904.70000,459.00000,445.70000,,-123.20000,180.70000,265.00000,265.00000,44.70000,220.30000,220.30000,215.90000,323.10000,283.30000,277.10000,278.60000,0.78000,0.77000,0.44650,0.81640,29.29150,31.31430,29.29150,23.86430,0.08030,5.08140,-11.14600,1.95420,2.81260,15.31400,0.37190,0.33670
2021-12-31,738.49980,416.80000,321.69980,,-125.80000,180.90010,140.79970,140.80000,39.10000,101.70000,101.70000,99.90000,189.49970,156.99990,276.00000,277.40000,0.36000,0.36000,0.32060,0.48200,19.06560,21.25930,19.06570,13.52740,0.07540,2.42320,-6.27240,1.03820,1.64640,14.85630,0.6533,0.6421
2021-09-30,770.30000,395.00000,375.30000,,-123.90000,178.80000,196.49990,196.50000,50.10000,146.40000,146.40000,143.30000,252.09990,212.69990,276.20000,277.50000,0.52000,0.52000,0.29940,0.49800,25.50950,27.61260,25.50950,18.60310,0.08000,3.56410,-9.74170,1.52040,2.49700,14.54380,0.8903,0.8599
2021-06-30,727.30000,395.60000,331.70000,,-90.80000,145.40000,186.30000,186.30000,47.00000,139.30000,139.30000,136.30000,241.70000,202.60000,275.70000,276.90000,0.49000,0.49000,0.30870,0.52260,25.61530,27.85650,25.61530,18.74060,0.07770,3.53020,-8.63630,1.48860,2.44030,14.01180,0.8738,0.8535
2021-03-31,815.30000,429.50000,385.80000,,-93.30000,146.60000,239.20000,239.20000,39.50000,199.70000,199.70000,194.70000,293.20000,255.50000,275.60000,277.00000,0.71000,0.70000,0.34400,0.54270,29.33890,31.33820,29.33890,23.88080,0.09150,5.21270,-11.73040,2.24110,3.41950,13.58610,0.49820,0.45780
2020-12-31,642.13700,377.49400,264.64290,,-81.28600,133.72490,130.91810,130.91800,33.58100,97.33700,97.33700,94.64900,183.21310,147.58390,274.30000,275.80000,0.35000,0.34000,0.35050,0.55830,20.38790,22.98320,20.38790,14.73970,0.07160,2.59270,-5.75500,1.08560,1.68400,13.26560,0.6368,0.5857
2020-09-30,673.96200,362.76700,311.19500,,-105.72700,152.66700,158.52800,158.52800,24.54900,133.97900,133.97900,130.23900,206.03200,171.76190,275.51500,276.93300,0.47000,0.47000,0.35560,0.56970,23.52180,25.48540,23.52180,19.32440,0.07660,3.61910,-9.57580,1.52330,2.33220,13.04700,0.4296,0.3891
2020-06-30,598.80600,346.51500,252.29100,,-76.17200,122.89000,129.40100,129.40100,32.61700,96.78400,96.78400,93.20400,176.68000,143.21000,273.10000,274.36200,0.34000,0.34000,0.30420,0.45460,21.60980,23.91590,21.60980,15.56500,0.07300,2.70080,-6.88780,1.18010,1.87930,12.63320,1.3958,1.3243
2020-03-31,698.49500,349.62400,348.87100,,-95.91500,143.61800,205.25300,205.25300,52.85300,152.40000,152.40000,147.20800,253.47500,220.54400,272.77600,274.86100,0.54000,0.54000,0.29890,0.44320,29.38500,31.57420,29.38500,21.07500,0.09210,4.37950,-11.41910,2.00990,3.07060,12.27710,0.12300,0.06460
2019-12-31,578.98890,334.59810,244.39080,,-93.70600,142.34200,102.04880,102.04900,25.53000,76.51900,76.51900,73.63900,151.22380,117.90380,272.47100,274.61600,0.27000,0.26000,0.30930,0.46420,17.62540,20.36370,17.62540,12.71860,0.07600,2.28400,-5.82960,1.00380,1.57750,11.89500,0.8442,0.816
2019-09-30,618.68300,331.12000,287.56300,,-87.32400,135.72500,151.83800,151.83800,36.33200,115.50600,115.50600,111.73400,200.77300,168.15200,272.96200,275.07500,0.41000,0.41000,0.31350,0.47320,24.54210,27.17900,24.54210,18.06000,0.08060,3.48480,-8.80940,1.50390,2.39240,11.73290,0.5113,0.4725
2019-06-30,575.21900,309.61000,265.60900,,-94.17400,142.08700,123.52200,123.52200,30.92900,92.59300,92.59300,89.57300,171.96200,139.81500,272.56300,274.40200,0.33000,0.33000,0.30970,0.46590,21.47390,24.30640,21.47390,15.57200,0.08030,2.91120,-7.28730,1.29230,2.00970,11.30060,1.0946,1.0582
2019-03-31,619.28000,332.83700,286.44300,,-90.49800,137.92300,148.52010,148.52000,34.62400,113.89600,113.89600,110.69500,196.39400,163.71800,272.67900,275.01400,0.41000,0.40000,0.31730,0.48250,23.98270,26.43680,23.98270,17.87480,0.09100,3.67590,-8.61270,1.67340,2.50960,10.98550,0.01950,-0.06470
2018-12-31,508.74800,278.01190,230.73610,,-88.22400,130.12500,100.61110,100.61100,27.15900,73.45200,73.45200,71.39100,142.91310,112.50510,270.97100,275.52100,0.26000,0.26000,0.32690,0.50220,19.77620,22.11410,19.77620,14.03270,0.07610,2.44790,-5.51850,1.09820,1.64780,10.73230,0.7683,0.7284
2018-09-30,530.85000,268.04500,262.80500,,-84.44600,120.30500,142.49990,142.50000,36.44700,106.05300,106.05300,103.33700,178.75490,151.46290,271.00800,275.28200,0.38000,0.38000,0.22070,0.29340,26.84370,28.53220,26.84370,19.46630,0.09150,3.60800,-15.81810,1.82760,2.81180,10.52710,0.2861,0.2531
2018-06-30,473.18700,251.95800,221.22900,,-83.88300,120.31900,100.91000,100.91000,26.98800,73.92200,73.92200,72.30400,137.75600,110.96200,270.08100,275.90800,0.27000,0.26000,0.22920,0.30620,21.32560,23.44990,21.32560,15.28020,0.08300,2.61070,-11.28710,1.29650,2.01230,10.25160,0.7171,0.6923
2018-03-31,501.46100,270.89900,230.56200,,-76.35900,112.12100,118.44100,118.44100,27.61300,90.82800,90.82800,88.92600,154.61300,128.11200,270.17200,275.71400,0.33000,0.32000,0.23510,0.35070,23.61920,25.54780,23.61920,17.73340,0.08930,3.27830,-14.96010,1.61760,2.50760,10.03570,0.28830,0.25340
2017-12-31,474.31610,258.20700,216.10910,,-73.90800,109.77500,106.33410,106.33400,-81.17100,187.50500,187.50500,182.93900,142.61510,115.70110,272.58000,277.58600,0.67000,0.65000,0.24900,0.37800,22.41840,24.39320,22.41840,38.56900,0.08250,7.26000,-24.21340,3.26230,5.45260,9.35050,0.4634,0.4227
2017-09-30,475.64600,246.06200,229.58400,,-68.84800,105.16500,124.41900,124.41900,48.50600,75.91300,75.91300,74.06100,161.14900,133.81200,272.69200,277.78600,0.27000,0.27000,0.25740,0.39490,26.15790,28.13270,26.15790,15.57060,0.06420,3.05650,-8.68670,1.02390,2.26990,8.90080,0.158,0.1557
2017-06-30,466.30500,244.51700,221.78800,,-76.91000,113.78600,108.00200,108.00200,41.90000,66.10200,66.10200,64.46000,145.48300,117.87600,273.38400,278.20200,0.24000,0.23000,0.28200,0.40090,23.16120,25.27870,23.16120,13.82360,0.08830,2.68900,-7.29810,1.25220,1.93080,8.77950,0.647,0.6264
2017-03-31,465.08000,245.86600,219.21400,,-70.84700,108.24700,110.96700,110.96700,40.85700,70.11000,70.11000,68.42400,148.79700,120.64900,273.48700,278.05200,0.25000,0.25000,0.29380,0.43880,23.85980,25.94160,23.85980,14.71230,0.08950,2.90210,-7.41470,1.34890,2.04950,8.61100,0.32380,0.31500
2016-12-31,433.66400,232.40300,201.26100,,-69.72200,106.35980,94.90110,94.90100,37.27500,57.62600,57.62600,56.14100,131.97910,104.76510,272.27800,275.60800,0.20500,0.20500,0.30140,0.45500,21.88360,24.15810,21.88350,12.94570,0.08240,2.44160,-5.63500,1.09500,1.70560,8.42310,0.3366,0.3253
2016-09-30,462.27400,237.65300,224.62100,,-70.76600,107.64900,116.97200,116.97200,45.42700,71.54500,71.54500,69.67200,154.28300,126.85500,272.92200,276.36400,0.25500,0.25000,0.30740,0.47840,25.30360,27.44150,25.30360,15.07160,0.08370,3.07750,-6.66320,1.29560,2.13160,8.28400,0.2874,0.2727
2016-06-30,446.51800,231.10200,215.41600,,-69.53800,106.33900,109.07700,109.07700,42.82700,66.25000,66.25000,64.35400,146.33400,118.91400,271.98400,275.16200,0.23500,0.23500,0.31690,0.49970,24.42840,26.63140,24.42840,14.41240,0.08580,2.94150,-5.71880,1.27240,2.00920,8.04950,0.7461,0.7321
2016-03-31,424.17300,224.05900,200.11400,,-60.74000,97.56500,102.54900,102.54900,40.47900,62.07000,62.07000,60.61900,139.85100,112.44600,271.09600,273.88000,0.22500,0.22000,0.32500,0.51800,24.17620,26.50950,24.17620,14.29110,0.08500,2.82320,-5.36630,1.24320,1.90580,7.84220,0.12130,0.11480
2015-12-31,404.59700,211.53300,193.06400,,-60.91300,98.02690,95.03710,95.03700,37.10200,57.93500,57.93500,56.60700,132.19010,104.88110,275.62000,280.22400,0.20500,0.20500,0.33270,0.53250,23.48930,25.92240,23.48930,13.99100,0.08080,2.69490,-4.90320,1.15770,1.79840,7.73380,0.3249,0.3256
2015-09-30,432.16700,216.15600,216.01100,,-65.92600,103.18100,112.83000,112.83000,45.40300,67.42700,67.42700,65.86200,149.32000,122.71200,275.36800,280.08200,0.24000,0.23500,0.33850,0.53060,26.10800,28.39460,26.10800,15.23990,0.08640,3.08490,-5.95980,1.34790,2.04060,7.75250,0.2246,0.2126
2015-06-30,419.44700,217.60100,201.84600,,-64.40100,100.93200,100.91400,100.91400,39.90900,61.00500,61.00500,59.56600,137.89900,110.58500,275.03600,279.65600,0.21500,0.21500,0.34890,0.55210,24.05880,26.36450,24.05880,14.20110,0.08350,2.88710,-5.00490,1.21500,1.87980,7.50260,0.6339,0.6175
2015-03-31,404.29800,211.66200,192.63600,,-62.19900,98.85800,93.77800,93.77800,36.82700,56.95100,56.95100,55.58800,130.86600,103.62900,278.72000,282.97400,0.20000,0.19500,0.35730,0.56930,23.19530,25.63180,23.19530,13.74930,0.08360,2.76270,-4.74100,1.17690,1.77560,7.31980,0.17920,0.17910
2014-12-31,393.02000,227.47900,165.54110,,-108.19400,127.09490,38.44610,38.44600,14.05100,24.39500,24.39500,23.79700,76.54210,48.48000,281.88800,285.78200,0.08500,0.08000,0.35290,0.56700,9.78220,12.33530,9.78220,6.05490,0.07930,1.15410,-2.15600,0.49220,0.74680,7.36570,0.3492,0.3685
2014-09-30,421.41800,203.12600,218.29200,5.64000,-65.23000,105.60700,112.68500,112.68500,44.35400,68.33100,68.33100,66.65000,147.42200,119.98300,281.83000,285.92800,0.23500,0.23500,0.35520,0.56920,26.73950,28.47130,26.73950,15.81570,0.08520,3.24570,-5.63360,1.38160,2.09280,7.32200,0.3772,0.3511
2014-06-30,397.76400,196.39700,201.36700,5.99400,-60.72300,99.58600,101.78100,101.78100,40.02600,61.75500,61.75500,60.22400,134.65000,108.78500,282.50000,286.06400,0.21500,0.21000,0.35950,0.56440,25.58830,27.34910,25.58830,15.14060,0.08070,2.96680,-4.91400,1.25250,1.90040,7.20030,0.3865,0.3674
2014-03-31,363.59400,184.11000,179.48400,7.51500,-58.54400,92.64700,86.83700,86.83700,34.42200,52.41500,52.41500,51.03900,113.42500,90.90900,283.22000,286.61800,0.18000,0.18000,0.18950,0.23380,23.88300,25.00290,23.88300,14.03740,0.09900,2.55330,-9.44070,1.42650,2.06940,7.05890,0.23430,0.22070
2013-12-31,343.16510,179.46000,163.70510,7.69900,-52.85900,87.26310,76.44200,76.44200,29.21700,47.22500,47.22500,45.87000,103.14700,80.76600,282.06600,285.24800,0.16000,0.16000,0.15920,0.23910,22.27560,23.53560,22.27560,13.36670,0.09400,2.35280,-7.64260,1.29400,1.97830,6.90120,0.2798,0.2802
2013-09-30,359.31000,180.52800,178.78200,7.43100,-49.43700,83.32700,95.45500,95.45500,37.70600,57.74900,57.74900,56.12300,121.91400,99.59000,282.27800,285.57800,0.20000,0.19500,0.16210,0.24430,26.56620,27.71700,26.56620,15.61970,0.10110,2.93920,-8.86460,1.62450,2.46290,6.75460,0.3095,0.2955
2013-06-30,325.79200,163.51400,162.27800,3.62300,-48.05300,76.05700,86.22100,86.22100,34.21400,52.00700,52.00700,50.85000,110.60200,90.21800,281.67200,286.04200,0.18000,0.18000,0.19130,0.23660,26.46500,27.69190,26.46510,15.60810,0.09790,2.73420,-14.46500,1.56350,2.21110,6.60230,0.2964,0.2828
2013-03-31,335.01200,159.49800,175.51400,3.85000,-47.86100,76.02300,99.49100,99.49100,39.36000,60.13100,60.13100,58.82300,123.80300,103.47500,281.59200,285.89400,0.21000,0.20500,0.19490,0.24210,29.69770,30.88700,29.69770,17.55850,0.10370,3.23410,-15.00600,1.86140,2.60390,6.45620,0.47930,0.46980
2012-12-31,302.83000,158.46700,144.36310,4.47200,-46.54700,75.13600,69.22710,69.22700,26.59000,42.63700,42.63700,41.49900,93.34410,73.23100,278.72800,284.02000,0.15000,0.14500,0.19940,0.24900,22.86000,24.18220,22.86000,13.70370,0.09680,2.35910,-9.05790,1.36310,1.88880,6.28080,0.1107,0.1239
2012-09-30,303.80000,149.69100,154.10900,3.90800,-44.63200,72.46000,81.64900,81.64900,32.14500,49.50400,49.50400,48.07600,105.56900,85.65500,278.93000,284.19400,0.17000,0.17000,0.20280,0.25450,26.87590,28.19450,26.87590,15.82490,0.09690,2.79870,-10.20420,1.57920,2.23110,6.14950,0.2675,0.2481
2012-06-30,290.91600,150.75200,140.16400,3.73800,-41.61600,69.01900,71.14500,71.14500,28.67400,42.47100,42.47100,41.22300,94.81000,75.14500,278.17200,283.65600,0.15000,0.14500,0.20760,0.26230,24.45550,25.83050,24.45550,14.17010,0.09390,2.47180,-7.95550,1.37120,1.95870,5.99610,0.3064,0.2839
2012-03-31,302.48600,149.59600,152.89000,3.74700,-43.01200,70.10000,82.79000,82.79000,33.35700,49.43300,49.43300,47.93400,106.13100,86.87700,278.00200,283.00000,0.17000,0.17000,0.21080,0.26740,27.36990,28.72100,27.36990,15.84670,0.10020,2.93360,-9.05970,1.63820,2.31530,5.87850,0.09110,0.08480
2011-12-31,244.09700,129.38900,114.70800,2.85600,-31.72800,55.01710,59.69090,59.69100,23.19700,36.49400,36.49400,35.34600,80.12390,63.04290,277.16400,280.52800,0.13000,0.12500,0.13200,0.15280,24.45380,25.82700,24.45380,14.48030,0.09360,2.21990,-20.77210,1.39980,1.92680,5.73400,0.1303,0.1241
2011-09-30,260.40100,126.87700,133.52400,2.85600,-37.62400,60.83200,72.69200,72.69200,28.51900,44.17300,44.17300,42.77800,93.04400,76.25700,277.38000,280.88600,0.15500,0.15000,0.13420,0.15570,27.91540,29.28450,27.91540,16.42770,0.10170,2.73250,-32.88490,1.72460,2.36580,5.63730,0.2748,0.2664
2011-06-30,246.81600,125.85200,120.96400,2.70900,-36.54400,59.49600,61.46800,61.46800,24.43300,37.03500,37.03500,35.87000,81.71100,65.07600,276.75800,279.88400,0.13000,0.13000,0.13720,0.16000,24.90440,26.36620,24.90440,14.53310,0.09780,2.35450,-20.91630,1.46680,2.03150,5.50270,0.2581,0.2474
2011-03-31,262.22800,126.55700,135.67100,2.77300,-35.97700,59.00100,76.67000,76.67000,30.37700,46.29300,46.29300,44.90200,96.92100,80.27700,276.70200,281.29600,0.16000,0.16000,0.13940,0.16270,29.23790,30.61340,29.23790,17.12330,0.10730,2.99750,-27.80780,1.89420,2.57970,5.41720,0.18350,0.17350
2010-12-31,229.93800,122.26400,107.67400,1.61500,-33.95700,55.70700,51.96700,51.96700,19.82100,32.14600,32.14600,31.09900,72.10200,55.59100,275.84800,278.63600,0.11500,0.10500,0.14240,0.16710,22.60040,24.17650,22.60040,13.52500,0.09580,2.13400,-18.86690,1.33900,1.83020,5.27450,0.2518,0.2419
2010-09-30,247.61600,122.00100,125.61500,1.49500,-31.49400,52.58100,73.03400,73.03400,28.74100,44.29300,44.29300,42.93200,92.62600,76.64100,276.18600,279.01400,0.15500,0.15500,0.09200,0.16990,29.49490,30.95160,29.49490,17.33810,0.10370,2.99000,-26.87330,1.85500,2.71500,5.19260,0.2114,0.205
2010-06-30,243.66500,121.37200,122.29300,1.78000,-33.08900,54.28000,68.01300,68.01300,26.82800,41.18500,41.18500,39.89000,87.42400,71.64500,275.37000,278.21000,0.14500,0.14500,0.14800,0.17770,27.91250,29.40310,27.91250,16.37080,0.10430,2.86190,-33.52650,1.76240,2.43830,5.05930,0.3315,0.3225
2010-03-31,252.27300,122.18300,130.09000,1.95500,-35.63700,57.00600,73.08400,73.08400,28.95600,44.12800,44.12800,42.73400,92.49800,76.69200,275.24600,275.58200,0.15500,0.15500,0.15100,0.18220,28.97020,30.40040,28.97020,16.93960,0.11210,3.13990,-29.09200,1.96170,2.66570,4.94410,0.26780,0.26120
2009-12-31,214.16200,115.10700,99.05500,2.11500,-36.38200,57.97790,41.07710,41.07700,17.42400,23.65300,23.65300,22.91100,60.55810,44.78810,274.34600,275.01400,0.08000,0.08000,0.15440,0.19520,19.18040,20.91320,19.18030,10.69800,0.09630,1.72670,-13.64190,1.06340,1.46000,4.82090,0.1183,0.1104
2009-09-30,243.76600,119.60700,124.15900,1.73200,-35.52300,56.66800,67.49100,67.49100,26.53000,40.96100,40.96100,39.65100,86.90400,71.11300,274.55800,275.34200,0.14500,0.14500,0.15610,0.19340,27.68680,29.17270,27.68680,16.26600,0.10890,3.02360,-21.99790,1.83020,2.55160,4.76850,0.0138,0.0058
2009-06-30,246.36900,122.62500,123.74400,1.69500,-35.62000,56.76500,66.97900,66.97900,26.31100,40.66800,40.66800,39.35100,86.42900,70.61100,273.87800,274.60800,0.14500,0.14500,0.16010,0.19370,27.18650,28.66070,27.18650,15.97240,0.11050,3.09690,-18.03010,1.82350,2.60110,4.64090,0.3341,0.325
2009-03-31,263.58000,127.34100,136.23900,1.81600,-35.86400,57.03200,79.20700,79.20700,31.19500,48.01200,48.01200,46.44400,98.55900,82.84100,273.87000,274.44000,0.17000,0.17000,0.16400,0.20130,30.05050,31.42920,30.05050,17.62050,0.12270,3.74670,-18.72340,2.23590,3.13220,4.52650,0.33950,0.32810
