Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,4.31300,1.13800,3.17500,3.09600,3.09600,0.07900,,0.07900,-0.05000,0.12900,0.12900,0.12900,2.89790,2.89790,0.04000,0.04000,,1.41780,2.55090,4.16530,0.00840,0.60960,0.60960,0.03500,0.60960,7.29400,0.1713,0.177
2024-06-30,4.13400,1.10700,3.02700,3.42000,3.42000,-0.39300,,-0.39300,-0.18900,-0.20400,-0.20400,-0.20400,2.89120,2.89120,-0.07000,-0.07000,,1.71710,-15.71370,-8.15670,0.00700,-1.16760,-1.16760,-0.05730,-1.16760,6.03700,0.0484,0.0092
2024-03-31,3.63400,0.83300,2.80100,3.03000,3.03000,-0.22900,,-0.22900,-0.23200,0.00300,0.00300,0.00300,2.88560,2.88560,0.00100,0.00100,,2.20640,-8.70060,0.11400,0.00710,0.01650,0.01650,0.00080,0.01650,6.27950,0.04120,0.02950
2023-12-31,3.73600,0.54400,3.19200,3.05100,3.05100,0.14100,,0.14100,-0.02600,0.16700,0.16700,0.16700,2.87350,2.87350,0.06000,0.06000,,1.55240,4.56460,5.40630,0.00880,0.86420,0.86420,0.04750,0.86420,6.70310,0.1989,0.1905
2023-09-30,3.66500,0.39800,3.26700,2.72900,2.72900,0.53800,,0.53800,-0.01300,0.55100,0.55100,0.55100,2.87530,2.87530,0.19000,0.19000,,1.89960,16.01670,16.40370,0.00950,4.18660,4.18660,0.15510,4.18660,4.57460,-0.0084,0.0429
2023-06-30,3.50600,0.15300,3.35300,3.05200,3.05200,0.30100,,0.30100,0.02500,0.27600,0.27600,0.27600,2.87100,2.87100,0.10000,0.10000,,0.86910,9.33040,8.55550,0.00890,1.59920,1.59920,0.07590,1.59920,6.00730,0.2162,0.1354
2023-03-31,3.53000,0.10700,3.42300,2.90200,2.90200,0.52100,,0.52100,0.08600,0.43500,0.43500,0.43500,2.86710,2.86710,0.15000,0.15000,,,15.03610,12.55410,0.00950,2.38550,2.38550,0.11970,2.38550,6.35590,0.08020,0.06520
2022-12-31,3.98100,0.12100,3.86000,2.86600,2.86600,0.99400,,0.99400,0.16400,0.83000,0.83000,0.83000,2.85920,2.85920,0.29000,0.29000,,,26.19240,21.87090,0.00990,5.17010,5.17000,0.21760,5.17010,5.60350,0.4345,0.4257
2022-09-30,3.62500,0.27100,3.35400,2.95900,2.95900,0.39500,,0.39500,0.02000,0.37500,0.37500,0.37500,2.86000,2.86000,0.13000,0.13000,,1.39470,11.91550,11.31220,0.00800,2.61510,2.61510,0.09020,2.61510,5.01050,0.1568,0.1292
2022-06-30,3.29000,0.22700,3.06300,2.71900,2.71900,0.34400,,0.34400,0.03500,0.30900,0.30900,0.30900,2.85760,2.85760,0.11000,0.11000,0.31980,0.94050,10.82100,9.72000,0.00740,1.45310,1.45310,0.07200,0.98830,7.43790,0.2675,0.2307
2022-03-31,3.17000,0.23400,2.93600,2.68400,2.68400,0.25200,,0.25200,0.02100,0.23100,0.23100,0.23100,2.85530,2.85530,0.08000,0.08000,0.26820,0.73310,8.30040,7.60870,0.00690,0.84680,0.84680,0.05280,0.61960,9.55180,-0.08060,-0.09700
2021-12-31,3.20300,0.25200,2.95100,2.25900,2.25900,0.69200,,0.69200,0.13800,0.55400,0.55400,0.55400,2.84850,2.84850,0.19000,0.19000,0.21870,0.56000,20.76210,16.62170,0.00750,1.55110,1.55110,0.12530,1.21180,12.51490,0.2744,0.2526
2021-09-30,3.96300,0.26400,3.69900,2.56900,2.56900,1.13000,,1.13000,0.24200,0.88800,0.88800,0.88800,2.85010,2.85010,0.31000,0.31000,,0.57200,29.57340,23.24000,0.00880,2.53970,2.53970,0.20520,2.53970,12.26410,0.4703,0.4493
2021-06-30,3.57000,0.27400,3.29600,2.72500,2.72500,0.57100,,0.57100,0.09100,0.48000,0.48000,0.48000,2.84720,2.84720,0.17000,0.17000,,0.71300,16.97890,14.27300,0.00780,1.35610,1.35610,0.11090,1.35610,12.42800,0.4393,0.4122
2021-03-31,3.40800,0.28400,3.12400,2.42400,2.42400,0.70000,,0.70000,0.10600,0.59400,0.59400,0.59400,2.84380,2.84380,0.21000,0.21000,,0.93340,19.84130,16.83670,0.00810,1.77450,1.77450,0.13600,1.77450,11.76630,0.09950,0.06860
2020-12-31,3.75400,0.31300,3.44100,2.72900,2.72900,0.71200,,0.71200,0.16500,0.54700,0.54700,0.54700,2.83500,2.83500,0.20000,0.20000,,0.80640,18.40740,14.14170,0.00920,1.47470,1.47470,0.13040,1.47470,13.05170,0.2588,0.2012
2020-09-30,3.60900,0.35300,3.25600,2.02400,2.02400,1.23200,,1.23200,0.28300,0.94900,0.94900,0.94900,2.83700,2.83700,0.33000,0.33000,0.21500,1.29750,31.38850,24.17830,0.00910,2.59960,2.59960,0.22020,2.04060,12.86290,-0.2062,-0.2138
2020-06-30,3.56400,0.39800,3.16600,3.29400,3.29400,-0.12800,,-0.12800,-0.03200,-0.09600,-0.09600,-0.09600,2.83300,2.83300,-0.03000,-0.03000,,1.04180,-4.77790,-3.58340,0.00640,-0.26770,-0.26770,-0.02300,-0.26770,12.65600,0.5634,0.5262
2020-03-31,3.75400,0.45100,3.30300,2.96000,2.96000,0.34300,,0.34300,0.07500,0.26800,0.26800,0.26800,2.82900,2.82900,0.09000,0.09000,,0.55780,10.13890,7.92200,0.00890,0.74740,0.74740,0.07040,0.74740,12.67030,-0.05090,-0.15060
2019-12-31,3.98100,0.46100,3.52000,2.84400,2.84400,0.67600,,0.67600,0.13700,0.53900,0.53900,0.53900,2.82200,2.82200,0.20000,0.20000,,0.70070,18.27520,14.57150,0.00960,1.51070,1.51070,0.14000,1.51070,12.62120,0.2961,0.2653
2019-09-30,3.98100,0.44600,3.53500,2.71700,2.71700,0.81800,,0.81800,0.21200,0.60600,0.60600,0.60600,2.82300,2.82300,0.21000,0.21000,,0.56550,22.26460,16.49430,0.00960,1.71340,1.71340,0.15800,1.71340,12.52410,0.3496,0.3099
