Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,2793.57600,2081.39500,712.18090,126.61400,-27.96200,238.92500,473.25590,29.30700,502.56300,115.17500,387.38800,387.38800,387.38800,557.60490,473.25590,1367.03800,1374.60500,0.28000,0.28000,1.61890,,25.49350,16.94090,16.94090,17.99000,13.86710,0.31000,41.75480,15.93700,5.64720,10.71940,10.78490,4.29870,10.71940,2.65020,0.3289,0.2206
2024-06-30,2973.11700,2113.71700,859.39990,175.02800,-14.75700,273.34700,586.05270,21.86100,607.91400,152.24300,455.67100,455.67100,455.67100,669.61470,586.05270,1372.80000,1381.51800,0.33000,0.33000,1.71240,,28.90570,19.71170,19.71170,20.44700,15.32640,0.33330,59.44090,17.58500,5.11800,12.27620,12.34920,5.10850,12.27620,2.70660,0.4072,0.3054
2024-03-31,2701.84800,1959.99800,741.85000,204.62500,-12.69000,300.55800,441.29200,19.36400,460.65600,101.36900,359.28700,359.28700,359.28700,524.53500,441.29200,1372.20000,1381.20000,0.26180,0.26020,1.65010,,27.45710,16.33300,16.33300,17.04970,13.29780,0.32120,51.65090,30.07530,2.99250,10.68880,10.75910,4.27150,10.68880,2.44750,0.41210,0.31610
2023-12-31,2516.32000,1878.01600,638.30410,169.24700,-20.11800,274.85700,363.44780,18.90600,382.35300,100.26700,282.08590,282.08590,282.08600,448.93980,363.44740,1377.75000,1385.50000,0.20060,0.19680,1.57260,,25.36660,14.44360,14.44360,15.19490,11.21030,0.31280,47.77570,14.93410,6.02650,9.21180,9.27830,3.50660,9.21180,2.23310,0.1904,0.0666
2023-09-30,2471.94800,1822.10500,649.84290,159.50100,-16.84600,254.89300,394.95000,18.39200,413.34200,100.12500,313.21700,313.21700,313.21700,473.49590,394.95000,1377.52500,1384.06200,0.23000,0.23000,1.53470,,26.28870,15.97730,15.97730,16.72130,12.67090,0.31250,45.35200,34.75650,2.58940,10.85180,10.93490,3.95900,10.85180,2.10030,0.349,0.2537
2023-06-30,2514.80100,1823.94600,690.85510,156.49600,-23.77800,259.04500,431.81010,16.44600,448.25600,106.46600,341.79000,341.79000,341.79000,510.58110,431.81010,1380.22200,1387.37200,0.25000,0.25000,1.58450,,27.47160,17.17080,17.17080,17.82470,13.59110,0.33300,50.65950,41.23640,2.18250,12.35290,12.45160,4.52560,12.35290,2.00530,0.4203,0.3213
2023-03-31,2368.58000,1761.49000,607.09000,148.34000,-14.55900,239.48400,367.60610,8.94900,376.55500,84.91100,291.64400,291.64400,291.64400,444.19110,367.60610,1381.20000,1389.40000,0.21120,0.21000,1.41090,,25.63100,15.52010,15.52010,15.89790,12.31300,0.33580,50.91160,35.95900,2.50290,11.75190,11.85670,4.13480,11.75190,1.79830,0.32750,0.24090
2022-12-31,2180.60000,1658.05700,522.54260,135.07300,-17.12600,226.21200,296.33110,7.05700,303.38800,79.66100,223.72700,223.72700,223.72700,370.34300,296.33090,1392.55000,1403.10000,0.16120,0.16000,1.27550,,23.96320,13.58940,13.58940,13.91310,10.25990,0.31480,46.48580,14.10290,6.38170,9.44780,9.53620,3.22950,9.44780,1.71430,0.2837,0.1822
2022-09-30,2220.17500,1657.62900,562.54600,140.89600,-13.98100,226.29300,336.25310,3.71200,339.96500,82.82700,257.13800,257.13800,257.13800,407.66910,336.25310,1388.65000,1397.80000,0.18520,0.18400,1.31740,,25.33790,15.14530,15.14530,15.31250,11.58190,0.32570,49.11200,12.10960,7.43210,11.04840,11.15350,3.77180,11.04840,1.67730,0.2537,0.1536
2022-06-30,2213.33900,1655.25400,558.08520,140.82000,-9.93400,220.48700,337.59830,10.57200,348.17000,88.22800,259.94200,259.94200,259.94200,407.33130,337.59830,1395.25000,1404.60000,0.18640,0.18500,1.25810,,25.21460,15.25290,15.25290,15.73050,11.74430,0.33820,56.19410,12.19400,7.38070,12.06680,12.19090,3.97140,12.06680,1.54960,0.2057,0.1337
