Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,92.48900,92.48900,12.50100,-77.43800,2.55000,-1.71100,0.83900,0.37300,0.46600,0.46600,0.46600,4.38900,2.55000,12.63930,13.93270,0.04000,0.03000,6.80640,0.32580,0.48540,100.00000,2.75710,2.75710,0.90710,0.50380,0.33970,0.29910,0.32860,0.17120,0.20160,12.26230,2.5623,2.4397
2024-06-30,80.11700,80.11700,10.74300,-63.70500,5.66900,-1.09300,4.57600,-1.78200,6.35800,6.35800,6.35800,7.43500,5.66900,12.41650,13.54370,0.51000,0.47000,8.67330,0.34720,0.53400,100.00000,7.07590,7.07590,5.71160,7.93590,0.32410,4.48510,4.97250,2.57240,2.92810,11.23820,2.0338,1.8664
2024-03-31,73.63000,73.63000,9.09700,-59.13400,5.39900,32.04700,37.44600,3.20300,34.24300,34.24300,34.24300,7.13300,5.39900,12.22020,13.18250,2.80000,2.60000,7.46560,0.37210,0.59510,100.00000,7.33260,7.33260,50.85700,46.50690,0.31250,26.89650,30.03980,14.53440,16.88730,10.32240,1.39150,1.26990
2023-12-31,73.11900,73.11900,10.02200,-61.32400,1.77300,-1.49800,0.27500,0.09600,0.17900,0.17900,0.17900,3.45400,1.77300,11.93470,11.93470,0.03000,0.03000,10.81420,0.67520,2.08230,100.00000,2.42480,2.42480,0.37610,0.24480,0.24870,0.20560,0.24240,0.06090,0.06680,7.16670,1.3131,1.1413
2023-09-30,65.81100,65.81100,13.91400,-62.47100,-10.57400,-1.47000,-12.04400,0.00900,-12.05300,-12.05300,-12.05300,-9.13300,-10.57400,11.96010,11.96010,-1.01000,-1.01000,7.98050,0.69450,2.27660,100.00000,-16.06720,-16.06720,-18.30090,-18.31460,0.22350,-15.22210,-18.13680,-4.09340,-4.65010,6.57010,1.2835,1.1285
2023-06-30,61.23500,61.23500,14.98500,-67.16700,-20.91700,-1.69400,-22.61100,0.00700,-22.61800,-22.61800,-22.61800,-19.69500,-20.91700,11.88450,11.88450,-1.90000,-1.90000,8.78930,0.68070,2.13450,100.00000,-34.15860,-34.15860,-36.92500,-36.93640,0.20690,-26.88840,-31.40390,-7.64090,-8.58670,7.04790,0.818,0.6128
2023-03-31,58.92800,58.92800,9.47100,-61.93900,-12.48200,-1.53500,-14.01700,0.00800,-14.02500,-14.02500,-14.02500,-11.28200,-12.48200,11.81550,11.81550,-1.19000,-1.19000,11.08160,0.64080,1.78700,100.00000,-21.18180,-21.18180,-23.78670,-23.80020,0.19290,-14.01380,-15.74940,-4.59170,-5.03310,8.43340,-0.58640,-0.77350
2022-12-31,59.67500,59.67500,11.95100,-68.50900,-20.78500,-0.84400,-21.62900,-0.13700,-21.49200,-21.49200,-21.49200,-19.20100,-20.78500,11.58790,11.58790,-1.81000,-1.81000,8.47320,0.62540,1.67180,100.00000,-34.83030,-34.83030,-36.24470,-36.01510,0.18560,-20.16890,-22.29530,-6.68510,-7.55600,9.03150,-0.3745,-0.584
2022-09-30,56.80700,56.80700,24.09000,-70.63900,-37.92200,-9.55600,-47.47800,0.02600,-47.50400,-47.50400,-47.50400,-35.40000,-37.92200,11.70220,11.70220,-4.06000,-4.06000,5.09750,0.54430,1.35880,100.00000,-66.75590,-66.75590,-83.57770,-83.62350,0.17000,-38.55060,-41.74520,-14.21310,-17.56880,10.45770,-1.2052,-1.3906
2022-06-30,45.80500,45.80500,20.79300,-78.02700,-53.01500,25.92200,-27.09300,0.02200,-27.11500,-27.11500,-27.11500,-51.14600,-53.01500,11.60950,11.60950,-2.34000,-2.34000,6.01870,0.45530,0.96610,100.00000,-115.74060,-115.74060,-59.14860,-59.19660,0.12780,-16.60730,-17.65710,-7.56350,-9.04610,14.00230,-1.1823,-1.3702
2022-03-31,42.55100,42.55100,12.20400,-53.02000,-22.67300,-10.10000,-32.77300,0.02200,-32.79500,-32.79500,-32.79500,-21.51500,-22.67300,11.25900,11.25900,-2.91000,-2.91000,6.37880,0.44860,0.94350,100.00000,-53.28430,-53.28430,-77.02050,-77.07220,0.10970,-19.66150,-20.79480,-8.45720,-10.84130,14.35960,-1.11130,-1.33210
2021-12-31,41.16000,41.16000,12.61000,-43.15200,-14.60200,-0.49200,-15.09400,0.09800,-15.19200,-15.19200,-15.19200,-13.63600,-14.60200,4.26680,4.26680,-2.45360,-2.45360,1.46000,0.48150,1.90090,100.00000,-35.47620,-35.47620,-36.67150,-36.90960,0.27960,-39.20820,-49.18410,-10.32160,-20.33540,3.58770,-1.0609,-1.6216
