Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,debt-equity-ratio,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,487.32900,169.64700,317.68200,217.53600,223.82300,93.85900,-14.19500,79.66400,16.45800,63.20600,63.20600,60.64400,181.90500,183.60900,0.33000,0.33000,0.64050,26.05500,19.83430,0.00950,2.09910,2.46690,0.19640,1.97280,17.60820,-0.2422,-0.229
2024-06-30,493.50000,158.78600,334.71400,213.05300,217.74100,116.97300,-13.80300,103.17000,8.19500,94.97500,94.97500,92.41300,175.30500,176.93400,0.53000,0.52000,0.70240,34.08800,30.53380,0.00950,3.26520,3.87090,0.29890,3.06210,17.05770,0.885,0.8758
2024-03-31,396.80600,132.72900,264.07700,187.95200,188.52500,75.55190,,75.55200,13.61100,61.94100,61.94100,59.37900,162.70600,164.52000,0.36000,0.36000,0.83260,29.84450,23.45590,0.00920,2.41500,2.81860,0.22410,2.24610,17.01360,0.92940,0.91860
2023-12-31,397.51200,126.12800,271.38390,189.76400,190.36100,81.02300,,81.02300,16.76100,64.26200,64.26200,61.70000,165.24100,166.76900,0.39000,0.37000,0.90120,30.97490,23.58780,0.00950,2.50310,2.92170,0.23310,2.32820,16.85060,-0.3555,-0.4456
2023-09-30,386.33200,116.52900,269.80300,180.35600,180.95700,88.84600,,88.84600,16.74900,72.09700,72.09700,69.53500,164.56600,166.02300,0.42000,0.42000,0.92340,34.18920,26.75800,0.00950,3.03720,3.59510,0.26340,2.80890,15.64260,1.2347,1.193
2023-06-30,375.49700,102.06000,273.43700,176.69300,177.76500,95.67200,,95.67200,16.06500,79.60700,79.60700,77.04500,165.85400,167.19100,0.46000,0.46000,1.02910,36.28200,29.21800,0.00960,3.25020,3.82680,0.29050,3.01300,15.90700,1.0245,0.973
2023-03-31,341.57300,74.23300,267.34000,183.48600,184.16000,83.18000,,83.18000,14.86600,68.31400,68.31400,65.75200,166.60500,168.40100,0.39000,0.39000,0.93420,34.25920,27.08120,0.00900,2.81580,3.32350,0.25200,2.60840,15.83430,0.27290,0.25850
2022-12-31,322.16800,41.93600,280.23200,180.39300,181.08100,99.15100,-1.89400,97.25700,15.42400,81.83300,81.83300,79.27100,164.11900,165.47200,0.48000,0.47000,1.11300,36.60150,29.83270,0.00990,3.42850,4.05330,0.30390,3.17210,15.39240,0.5351,0.4661
2022-09-30,292.85300,18.10900,274.74400,180.82000,181.51000,93.23400,-7.00600,86.22800,15.35700,70.87100,70.87100,68.30900,167.35300,168.78100,0.41000,0.40000,0.57650,33.71100,26.70550,0.00980,3.11070,3.71120,0.27110,2.86790,14.76200,3.1562,3.1353
2022-06-30,248.69000,11.46800,237.22200,150.02600,150.20300,87.01900,-1.02700,85.99200,16.00300,69.98900,69.98900,67.42700,160.92000,162.07500,0.42000,0.42000,0.41010,36.48030,28.60450,0.00930,3.07210,3.62000,0.27720,2.83230,15.33890,0.5689,0.5638
2022-03-31,228.25700,11.69100,216.56600,138.45100,138.62700,77.93900,-0.40100,77.53800,13.25000,64.28800,64.28800,61.72600,160.58800,161.91100,0.38000,0.38000,0.39270,34.69010,27.61590,0.00870,2.70500,3.16430,0.25110,2.50190,15.98960,-0.66570,-0.69910
2021-12-31,241.60500,12.11100,229.49400,148.87300,149.01900,80.47500,,80.47500,18.58800,61.88700,61.88700,59.32500,162.23300,163.30700,0.37000,0.36000,0.38270,34.31860,25.29920,0.00910,2.45600,2.84590,0.23990,2.28140,16.90140,0.1011,0.099
2021-09-30,246.65600,12.80900,233.84700,143.84600,143.99600,89.85100,,89.85100,14.26800,75.58300,75.58300,73.02100,162.50600,163.45600,0.45000,0.45000,0.40610,38.32470,31.14610,0.00890,3.01500,3.49420,0.28640,2.79960,16.72750,0.5455,0.5044
2021-06-30,228.56300,14.27400,214.28900,137.15300,137.33100,76.95800,,76.95800,11.99400,64.96400,64.96400,62.40200,162.78500,163.85800,0.38000,0.38000,0.43110,35.33600,28.65250,0.00840,2.59850,3.01300,0.24910,2.41240,16.52120,0.1832,0.1452
2021-03-31,280.33300,20.48800,259.84500,172.76900,172.88400,86.96100,,86.96100,13.89800,73.06300,73.06300,70.47200,162.44100,163.73700,0.43000,0.43000,0.43630,32.77280,26.55860,0.01020,2.99830,3.49060,0.28220,2.77840,16.18250,1.24230,1.21530
2020-12-31,239.21700,22.05400,217.16300,160.84400,160.97700,56.18600,,56.18600,5.36300,50.82300,50.82300,48.68800,162.37200,163.09000,0.30000,0.30000,0.73610,26.63820,23.08330,0.00810,2.09670,2.44320,0.19620,1.94220,16.11350,0.7658,0.7558
2020-09-30,242.40800,25.04300,217.36500,146.09300,146.22500,71.14000,,71.14000,9.52900,61.61100,61.61100,61.61100,162.06100,162.57900,0.38000,0.38000,0.79810,33.83030,29.29880,0.00820,2.57760,3.32070,0.24120,2.57760,14.74560,0.3992,0.3706
2020-06-30,236.61900,27.94200,208.67700,162.44400,162.57600,46.10100,,46.10100,6.54200,39.55900,39.55900,39.55900,161.71500,162.26700,0.24000,0.24000,0.79800,24.37830,20.91880,0.00770,1.69020,2.19110,0.16070,1.69020,14.45650,0.085,0.024
2020-03-31,254.02200,38.63200,215.39000,186.45000,186.58200,28.80800,,28.80800,2.76100,26.04700,26.04700,26.04700,163.47500,164.41700,0.16000,0.16000,1.20980,16.81140,15.20020,0.00750,1.13950,1.48790,0.11360,1.13950,14.16200,-0.28510,-0.30960
2019-12-31,257.43910,42.88900,214.55010,159.36200,159.50400,55.04610,,55.04700,7.25800,47.78900,47.78900,47.78900,166.90200,167.79200,0.29000,0.30000,0.75360,28.37170,24.63080,0.00890,2.04040,2.64480,0.21840,2.04040,14.26420,0.499,0.4414
2019-09-30,268.22700,47.15300,221.07400,147.86900,148.94000,72.13400,,72.13300,10.02500,62.10800,62.10800,62.10800,165.32400,166.12600,0.38000,0.37000,0.67110,32.95200,28.37240,0.01010,2.67240,3.47000,0.28620,2.67240,14.16220,-0.204,-0.2131
2019-06-30,264.34900,45.49000,218.85900,149.08600,149.19300,69.66600,,69.66600,9.88700,59.77900,59.77900,59.77900,168.34300,169.16800,0.36000,0.35000,0.94240,32.57950,27.95580,0.01000,2.58920,3.37060,0.28050,2.58920,13.83340,0.2422,0.1745
2019-03-31,251.45100,41.38500,210.06600,142.81700,142.92400,67.14200,,67.14200,10.47900,56.66300,56.66300,56.66300,169.88400,170.90900,0.33000,0.33000,0.82330,32.75760,27.64510,0.00980,2.46250,3.20920,0.27010,2.46250,13.54340,0.22390,0.15740
2018-12-31,250.13190,37.66500,212.46690,148.88500,148.88500,63.58200,,63.58200,5.49900,58.08300,58.08300,58.08300,175.39500,176.54300,0.34000,0.33000,0.77730,31.12690,28.43490,0.00990,2.58430,3.38480,0.28080,2.58430,13.20550,0.3676,0.3103
2018-09-30,245.08100,33.92100,211.16000,137.03300,137.03300,74.12700,,74.12700,8.49400,65.63300,65.63300,65.63300,175.94200,177.12800,0.37000,0.37000,0.64720,35.37610,31.32240,0.01030,2.87480,3.74730,0.32230,2.87480,12.97170,0.5513,0.5069
2018-06-30,235.26400,30.10300,205.16100,166.46200,166.46200,38.69900,,38.69900,3.50200,35.19700,35.19700,35.19700,175.76400,176.84400,0.20000,0.20000,0.87980,22.49370,20.45810,0.00850,1.56720,2.05320,0.17450,1.56720,12.76740,0.3556,0.3155
2018-03-31,223.56200,26.36900,197.19300,140.63100,140.63100,56.56200,,56.56200,7.08200,49.48000,49.48000,49.48000,175.30300,176.56800,0.28000,0.28000,0.83930,29.27290,25.60770,0.00970,2.21340,2.90390,0.24800,2.21340,12.74510,0.40680,0.32270
