Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-07-31,319.55010,177.07300,142.47710,184.36500,184.36500,-41.88790,3.97800,-37.91000,-2.16900,-35.74100,-35.74100,-0.75700,-36.49800,-33.86090,-41.88800,120.21400,120.21400,-0.29000,-0.29000,1.80160,44.58680,-13.10840,-13.10840,-11.86360,-11.42170,0.65630,1.80870,,,-19.11060,-19.11060,-7.34110,-19.11060,1.49910,0.0696,0.0385
2024-04-30,322.73100,175.75300,146.97800,171.81800,171.81800,-24.84000,2.99300,-21.84700,0.17000,-22.01700,-22.01700,0.68900,-21.32800,-14.97100,-24.84000,121.26800,121.26800,-0.18000,-0.18000,1.75250,45.54200,-7.69680,-7.69680,-6.76940,-6.60860,0.60100,1.53540,,,-10.54010,-10.54010,-4.10030,-10.54010,1.70740,0.1796,0.1597
2024-01-31,330.40200,186.92200,143.48000,181.51800,181.51800,-38.03800,3.25100,-34.78700,0.16900,-34.95600,-34.95600,-0.56800,-35.52400,-25.22900,-38.03800,119.04500,119.04500,-0.30000,-0.30000,1.80480,43.42590,-11.51260,-11.51260,-10.52870,-10.75180,0.61380,1.48310,,,-16.39040,-16.39040,-6.49360,-16.39040,1.77470,-0.1909,-0.2219
2023-10-31,364.78500,205.68200,159.10300,187.76400,187.76400,-28.66100,2.65900,-26.00200,0.16900,-26.17100,-26.17100,-9.31900,-35.49000,-14.87700,-28.66100,116.64500,116.64500,-0.30000,-0.30000,1.66220,43.61560,-7.85700,-7.85700,-7.12800,-9.72900,0.58460,1.27980,,,-11.34220,-11.34220,-4.19380,-11.34220,1.95720,0.17630,0.14510
2023-07-31,364.73900,203.86700,160.87200,183.81500,183.81510,-22.94300,3.04500,-19.89800,0.42100,-20.31900,-20.31900,-8.34000,-28.65900,-12.14900,-22.94300,114.68500,114.68500,-0.23000,-0.23000,1.78680,44.10610,-6.29030,-6.29030,-5.45540,-7.85740,0.59360,1.56160,,,-8.21600,-8.21600,-3.30670,-8.21600,2.13900,0.1995,0.1639
2023-04-30,383.41900,219.74400,163.67500,184.19500,184.19500,-20.52000,2.23100,-18.28900,0.13200,-18.42100,-18.42100,-3.40400,-21.82500,-10.65600,-20.52000,115.44500,115.44500,-0.19000,-0.19000,1.68740,42.68830,-5.35190,-5.35190,-4.77000,-5.69220,0.58100,1.44940,14.19440,6.34050,-7.25860,-7.25860,-2.79120,-7.25860,2.23070,0.2566,0.2351
2023-01-31,400.62200,236.86600,163.75600,227.03800,227.03800,-63.28200,-0.03100,-63.31300,0.13100,-63.44400,-63.44400,-2.12700,-65.57100,-51.66400,-63.28200,113.92800,113.92800,-0.58000,-0.58000,1.58810,40.87540,-15.79590,-15.79590,-15.80370,-16.36730,0.60650,1.49040,434.98590,0.20690,-24.85300,-24.85300,-9.60400,-24.85300,2.26900,0.1964,0.1488
2022-10-31,443.74100,256.43100,187.31000,235.84600,235.84600,-48.53600,0.57100,-47.96500,0.18700,-48.15200,-48.15200,-7.76600,-55.91800,-38.69000,-48.53600,112.36000,112.36000,-0.50000,-0.50000,1.56890,42.21160,-10.93790,-10.93790,-10.80920,-12.60150,0.59590,1.16470,481.80350,0.18680,-16.33560,-16.33560,-6.46610,-16.33560,2.60600,-0.01400,-0.06640
2022-07-31,426.89490,256.03400,170.86090,245.90300,245.90290,-75.04200,0.92700,-74.11500,-3.28900,-70.82600,-70.82600,,-96.34200,-66.52000,-75.04200,108.76300,108.76300,-0.88000,-0.88000,1.61470,40.02410,-17.57860,-17.57860,-17.36140,-22.56810,0.55840,1.29800,15.48910,5.81050,-21.95130,-21.95130,-9.26390,-21.95130,2.89130,-0.1769,-0.2346
2022-04-30,492.94100,282.85100,210.09000,286.97000,286.97000,-76.88000,-0.74800,-77.62800,0.41200,-78.04000,-78.04000,,-78.04000,-67.06900,-76.88000,108.75900,108.75900,-0.72000,-0.72000,1.68400,42.61970,-15.59620,-15.59620,-15.74790,-15.83150,0.57080,1.32790,17.88550,5.03200,-20.03560,-20.03560,-9.03610,-20.03560,3.52580,-0.2758,-0.3485
