Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-07-31,25114.50000,14430.94000,10683.56000,6449.12600,6760.19000,3923.36500,3923.36500,647.68740,3275.67700,3275.67700,,3196.08500,1414.19400,1416.14900,2.25630,2.25630,0.09740,2.55850,38.45550,31.32690,0.00670,3.90090,4.60880,0.21610,3.25240,64.30380,12.0615,11.699
2024-04-30,24514.40000,14089.98000,10424.42000,6521.70700,6796.42000,3628.00000,3627.99900,718.82400,2909.17500,2909.17500,,2858.35600,1412.65100,1414.16600,2.02540,2.01800,0.09970,2.48590,37.22230,29.32600,0.00650,3.52160,4.18250,0.19450,2.92450,63.32540,-8.1179,-8.3286
2024-01-31,24247.16000,14266.91000,9980.24900,6501.77800,6762.29000,3217.95500,3217.95500,566.91660,2651.03800,2651.03800,,2606.63200,1406.32400,1407.64100,1.85030,1.85030,0.09000,3.11490,34.31190,27.79360,0.00640,3.30270,3.64510,0.18140,2.79820,61.21950,-0.86380,-1.11250
2023-10-31,22810.42000,13228.88000,9581.53400,6316.01100,6587.83000,2993.70900,2993.70000,-49.94690,3043.64700,3043.64700,,2992.73200,1391.02000,1392.52900,2.13700,2.13910,0.08820,3.12810,33.07700,33.06630,0.00610,3.71700,4.13590,0.20480,3.17880,62.33960,-6.0985,-6.5062
2023-07-31,23256.02000,12399.42000,10856.61000,7108.60900,7385.10000,3471.50600,3471.50700,570.21730,2901.29000,2901.29000,,2856.33200,1393.51500,1394.93900,2.05310,2.04560,0.09060,3.24720,33.39580,27.47780,0.00710,3.68410,4.10870,0.19780,3.13190,60.38940,5.0488,5.6595
2023-04-30,20446.42000,10480.83000,9965.59100,6427.51200,6707.61000,3257.98000,3257.98200,568.30410,2689.67800,2689.67800,,2639.55500,1388.38800,1390.14900,1.90100,1.89900,0.09410,2.90380,34.21050,27.71670,0.00670,3.50750,3.92960,0.18810,2.96860,59.06110,5.3545,4.9839
2023-01-31,20965.68000,9755.36400,11210.31000,6968.75400,7242.81600,3967.50200,3967.50300,1580.46600,2387.03800,2387.03800,,2352.87400,1382.75400,1384.53600,1.70100,1.70100,0.09660,2.97890,36.68450,21.75530,0.00750,3.19910,3.58550,0.16630,2.69340,57.89800,9.58000,9.20560
2022-10-31,16083.09000,6632.83800,9450.25200,5544.95500,5811.29200,3638.95900,3638.96000,730.47920,2908.47900,2908.47900,,2853.40700,1403.65400,1406.03400,2.06340,2.05540,0.08480,2.79030,39.76410,31.18010,0.00610,3.71240,4.16880,0.19530,3.16770,60.76340,-0.2641,-0.6835
2022-07-31,13196.08000,3767.08800,9428.99000,5622.26500,5888.06800,3540.92300,3540.92300,760.87880,2780.04400,2780.04400,,2733.41200,1396.38100,1398.66700,1.95700,1.95400,0.08860,2.96780,38.63640,29.82530,0.00640,3.70020,4.03350,0.19420,3.13470,58.12280,7.26,6.7111
2022-04-30,10820.68000,1961.36600,8859.31200,4402.81000,4668.11500,4191.19600,4191.19700,833.02800,3358.16900,3358.16900,,3302.10700,1409.70200,1412.55200,2.34200,2.33800,0.08960,2.93270,45.90900,36.17020,0.00630,4.37970,4.77820,0.23010,3.70850,58.80880,0.4536,0.1947
2022-01-31,11976.05000,1663.05500,10312.99000,5797.40800,6063.40300,4249.59100,4249.59100,1017.40800,3232.18400,3232.18400,,3187.98300,1421.80700,1424.60200,2.24160,2.24160,0.09380,2.88730,41.54000,31.16270,0.00740,4.33030,4.73200,0.23370,3.63780,56.86000,4.67290,4.34600
2021-10-31,11402.95000,1557.88300,9845.06800,5628.28900,5890.71800,3954.35000,3954.35100,867.30470,3087.04600,3087.04600,,2968.57400,1424.34300,1426.73500,2.13120,2.11530,0.08850,2.95320,39.48980,29.64540,0.00740,4.21560,4.65210,0.22750,3.58230,55.13800,4.8452,4.5033
2021-07-31,11966.61000,1583.23000,10383.38000,5587.29600,5847.77600,4535.60800,4535.60800,1038.66400,3496.94400,3496.94400,,3448.91800,1424.61400,1427.19800,2.42000,2.42000,0.08590,3.11090,41.90730,31.86670,0.00790,4.83270,5.31060,0.25370,4.07740,55.03570,15.6775,15.3158
2021-04-30,10854.46000,1623.95800,9230.50100,4857.57300,5110.22400,4120.27700,4120.27700,930.35950,3189.91700,3189.91700,,3189.12300,1424.88900,1427.10700,2.19280,2.19280,0.08850,0.64400,44.27180,34.26670,0.00730,4.68920,5.18010,0.24860,3.94260,51.76230,-3.3016,-3.5392
2021-01-31,11772.95000,1711.05700,10061.89000,6016.29800,6264.28900,3797.59900,3797.59900,806.94120,2990.65800,2990.65800,,2944.01400,1423.35000,1425.28000,2.06790,2.06790,0.09240,3.35710,38.06590,29.50990,0.00770,4.63300,5.16160,0.23020,3.86890,49.26650,16.80650,16.57260
2020-10-31,10226.90000,1843.25600,8383.64800,5039.19900,5289.26000,3094.38900,3094.39000,670.33120,2424.05800,2424.05800,,2368.97300,1423.91500,1428.77000,1.66350,1.65620,0.10210,3.48880,38.60000,29.55100,0.00660,4.03180,4.60820,0.20060,3.37210,45.37590,0.2429,-0.0798
2020-07-31,11505.32000,2059.50900,9445.81200,6225.31700,6462.92500,2982.88700,2982.88800,642.63690,2340.25100,2340.25100,,2289.80500,1422.70500,1427.77700,1.61000,1.61000,0.10280,3.49660,33.31970,25.57780,0.00730,4.05560,4.54830,0.19020,3.32490,44.40170,15.0501,14.7693
2020-04-30,10247.75000,2734.62300,7513.12400,6020.38900,6249.42600,1263.69800,1263.70000,186.86470,1076.83500,1076.83500,,1032.48200,1422.75400,1427.87100,0.72710,0.72710,0.10310,3.62100,23.16410,18.92580,0.00450,1.86660,2.15530,0.08840,1.56200,37.48350,46.4072,46.037
2020-01-31,13568.28000,3812.92000,9755.35900,6162.08000,6392.36000,3362.99900,3363.00000,696.16000,2666.84000,2666.84000,,2613.64000,1427.59900,1433.06000,1.83160,1.82400,0.09930,3.36070,35.63660,27.69590,0.00840,4.47790,5.15030,0.23770,3.75980,44.88890,10.57700,10.18190
2019-10-31,12708.04000,4123.22200,8584.81500,5408.43800,5641.69200,2943.12300,2943.11900,522.63310,2420.48700,2420.48700,,2570.77500,1434.77900,1440.68200,1.79870,1.77840,0.10500,3.04330,35.85620,31.31990,0.00760,4.12870,4.75080,0.22510,3.44290,43.99670,5.7834,5.5393
2019-07-31,12877.40000,4187.07400,8690.32200,5393.05900,5618.14700,3072.17600,3072.17700,615.79040,2456.38600,2456.38600,,2406.70200,1434.27600,1440.13000,1.67870,1.67120,0.10650,2.99800,36.70290,28.75260,0.00790,4.25570,4.90470,0.23190,3.53920,43.24700,1.6389,1.3846
