Date,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.03000,-0.16580,-0.19580,0.36850,0.17270,0.17270,0.17270,0.17270,-0.19580,-0.19580,2.08700,2.08700,-0.08000,-0.08000,0.00450,,-0.51390,-2.25800,-2.25800,0.59730,-2.25800,-3.66530,-0.0449,-0.0449
2024-06-30,0.03000,-0.59260,-0.62260,0.36830,-0.25430,-0.25430,-0.25430,-0.25430,-0.62260,-0.62260,2.08700,2.08700,-0.17000,-0.17000,0.00930,,-0.50520,3.48210,3.48210,-0.89480,3.48210,-3.49960,-0.3004,-0.3004
2024-03-31,0.03000,-0.67020,-0.70020,0.37270,-0.32750,-0.32750,-0.32750,-0.32750,-0.70020,-0.70020,2.08700,2.08700,-0.20000,-0.20000,0.08610,,-0.49150,5.03390,5.03390,-1.11040,5.03390,-3.11750,-0.27910,-0.27910
2023-12-31,0.03290,-0.46090,-0.49380,0.39210,-0.10170,-0.10170,-0.10170,-0.10170,-0.49380,-0.49380,2.08700,2.08700,-0.09000,-0.09000,0.01790,-0.00900,-0.38190,1.82310,1.82310,-0.35620,1.83960,-2.67420,-0.2076,-0.2076
2023-09-30,0.03000,-0.30120,-0.33120,0.35770,0.02650,0.02650,0.02650,0.02650,-0.33120,-0.33120,2.08700,2.08700,-0.12000,-0.12000,0.04240,,-0.30640,-0.54340,-0.54340,0.09470,-0.54340,-2.33920,-0.1318,-0.1318
2023-06-30,0.03000,-0.40940,-0.43940,0.54620,0.10680,0.10680,0.10680,0.10680,-0.43940,-0.43940,2.08700,2.08700,-0.10000,-0.10000,0.10730,,-0.24750,-2.46880,-2.46880,0.38750,-2.46880,-2.07280,-0.1392,-0.1392
2023-03-31,0.03000,-0.35680,-0.38680,0.83860,0.45190,0.45190,0.45190,0.45190,-0.38680,-0.38680,2.08700,2.08700,-0.04000,-0.04000,0.08950,,-0.14180,-12.09260,-12.09260,0.55080,-12.09260,-1.79040,-0.19510,-0.19510
2022-12-31,,-0.63250,-0.73380,0.65190,-0.08180,-0.08180,-0.08180,-0.08180,-0.73380,-0.73380,2.01700,2.01700,-0.11000,-0.11000,0.34880,,-0.14410,2.45700,2.45700,-0.10030,2.45700,-1.59560,-0.1355,-0.1355
2022-09-30,,-0.76150,-0.76150,0.35360,-0.40790,-0.40790,-0.40790,-0.40790,-0.76150,-0.76150,2.08700,2.08700,-0.08000,-0.08000,0.71810,,-0.06980,15.80700,15.80690,-0.50410,15.80700,-1.23650,-0.0465,-0.0465
2022-06-30,,-0.27170,-0.27170,0.08670,-0.18490,-0.18490,-0.18490,-0.18490,-0.27170,-0.27170,2.01500,2.01500,-1.80000,-1.80000,17.82900,,,10.16650,10.16650,-0.22950,10.16650,-0.87160,-0.2564,-0.2564
2022-03-31,,-0.00120,-0.00120,,-0.00120,-0.00120,-0.00120,-0.00120,-0.00120,-0.00120,1.87500,1.87500,0.00000,0.00000,1.08730,,10.07920,-6.29260,-6.29260,-0.50520,-6.29260,0.00880,-0.00010,-0.00010
2021-12-31,,,,,,,,,,,,,,0.00000,,,,,,,,,0,0
2021-06-30,0.27300,,-0.27300,0.08670,-0.18610,-0.18610,-0.18610,-0.18610,-0.27300,-0.27300,,,,0.00000,,,,,,,,,0,0
