,Announcement Date,Fiscal Quarter End,Estimated EPS,Actual EPS
0,2024-11-07,2024-09-30,--,$-0.18
1,2024-08-08,2024-06-30,--,$-0.60
2,2024-05-08,2024-03-31,--,$-0.47
3,2024-02-27,2023-12-31,--,$-0.29
4,2023-11-09,2023-09-30,--,$-0.29
5,2023-08-09,2023-06-30,--,$-0.28
6,2023-05-09,2023-03-31,--,$-0.16
7,2023-03-08,2022-12-31,--,$-0.33
8,2022-11-02,2022-09-30,--,$-0.94
9,2022-08-03,2022-06-30,--,$-0.27
10,2022-05-04,2022-03-31,--,$-0.17
11,2022-03-24,2021-12-31,--,$-0.97
