Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,22.16890,15.32730,6.84160,14.44700,14.44710,-7.60540,-1.01590,-8.62130,-8.62130,-8.62130,-8.62130,-5.43160,-7.60540,103.50760,103.50760,-0.08000,-0.08000,0.61720,0.68990,4.27600,30.86120,-34.30670,-34.30670,-38.88920,-38.88920,0.34120,3.37750,7.57730,11.87750,-224.83150,48.07890,-13.26960,-69.71980,0.03750,-0.0205,-0.0229
2024-06-30,21.44620,14.86950,6.57660,12.81190,12.81200,-6.23530,-1.22770,-7.46290,-7.46290,-7.46290,-7.46290,-4.52000,-6.23530,99.44530,99.44530,-0.08000,-0.08000,0.76720,0.46790,1.90620,30.66580,-29.07420,-29.07420,-34.79860,-34.79860,0.31010,3.52310,7.10060,12.67490,-78.68920,53.98390,-10.79010,-41.86840,0.09370,-0.0396,-0.0418
2024-03-31,18.97780,13.39980,5.57810,14.46640,14.46640,-8.88830,-0.78790,-9.67620,-9.67620,-9.67620,-9.67620,-7.59930,-8.88830,95.09100,95.09100,-0.10000,-0.10000,1.04740,0.45560,1.31610,29.39250,-46.83550,-46.83550,-50.98690,-50.98690,0.25580,3.54700,4.82650,18.64710,-71.69360,94.05440,-13.04330,-39.02800,0.13900,-0.06500,-0.06560
2023-12-31,22.17410,15.54230,6.63180,18.44440,18.44440,-11.81260,-0.49780,-12.31040,-12.31040,-12.31040,-12.31040,-10.52750,-11.81260,88.37090,88.37090,-0.13000,-0.13000,1.12920,0.31680,0.88890,29.90780,-53.27210,-53.27210,-55.51700,-55.51700,0.29050,4.53690,6.55070,13.73890,-75.88700,152.43140,-16.12550,-51.84930,0.17350,-0.0363,-0.0349
2023-09-30,21.61760,14.91750,6.70010,13.22170,13.22170,-6.52160,-0.66220,-7.18380,-7.18380,-7.18380,-7.18380,-5.10720,-6.52160,91.08130,91.08130,-0.08000,-0.08000,0.90440,0.29530,0.70790,30.99370,-30.16810,-30.16810,-33.23120,-33.23120,0.27590,2.77020,7.12370,12.63380,-42.11950,100.04680,-9.16960,-29.68180,0.18570,-0.0341,-0.0354
2023-06-30,14.98410,10.28860,4.69540,16.94680,16.94680,-12.25130,-0.01690,-12.26820,-12.26820,-12.26820,-12.26820,-11.33990,-12.25130,86.62100,86.62100,-0.14000,-0.14000,0.88490,0.20330,0.88130,31.33610,-81.76250,-81.76250,-81.87510,-81.87510,0.18640,2.13290,6.03900,14.90310,-58.46570,348.07420,-15.26270,-46.58180,0.23150,-0.0271,-0.027
2023-03-31,0.01000,0.00150,0.00860,7.24820,7.24820,-7.23960,-0.73060,-7.97030,-7.97030,-7.97030,-7.97030,-6.59900,-7.23960,82.96520,82.96520,-0.10000,-0.10000,2.55950,0.53480,1.34420,85.35660,-72215.95000,-72215.95000,-79503.93000,-79503.93000,0.00020,0.00070,,,-93.45960,-98.81220,-16.20250,-42.38300,0.10520,-0.04960,-0.04970
2022-12-31,0.00910,0.00120,0.00790,4.51660,4.51670,-4.50880,-0.36440,-4.87320,-4.87320,-4.87320,-4.87870,-3.82020,-4.50880,79.49220,79.49220,-0.04000,-0.04000,2.19950,0.37460,0.80880,86.41560,-49514.35000,-49514.36000,-53516.05000,-53577.06000,0.00020,0.00060,,,-61.63010,-65.28520,-11.28650,-37.50260,0.09800,-0.0548,-0.0556
2022-09-30,0.00860,0.00590,0.00260,5.60910,5.60910,-5.60650,-0.05220,-5.65870,-5.65870,-5.65870,-5.66330,-5.45880,-5.60650,81.56270,81.56270,-0.07000,-0.07000,3.71070,0.33940,0.54600,30.87890,-65526.85000,-65526.85000,-66136.81000,-66190.89000,0.00020,0.00400,,,-46.13730,-47.77250,-11.84840,-29.93940,0.15120,-0.0423,-0.0422
2022-06-30,0.00740,0.00610,0.00130,4.56510,4.56510,-4.56380,-0.08190,-4.64570,-4.64570,-4.64570,-4.65240,-4.53870,-4.56380,80.57600,80.57600,-0.06000,-0.06000,5.19040,0.30060,0.45610,17.14710,-61765.05000,-61765.05000,-62873.71000,-62963.62000,0.00030,0.00490,,,-31.14590,-31.41500,-15.81860,-21.11710,0.18980,-0.0309,-0.0315
2022-03-31,0.00700,0.00560,0.00130,11.94740,11.94750,-11.94610,0.08770,-11.85840,-11.85840,-11.85840,-16.60610,-11.92420,-11.94610,72.81810,72.81810,-0.23000,-0.23000,6.30880,0.27380,0.40010,19.09340,-171368.70000,-171368.70000,-170109.90000,-238216.30000,0.00020,0.00610,,,-70.92550,-69.90560,-38.61560,-49.09750,0.22140,-0.04610,-0.04870
2021-12-31,-0.05710,0.00600,-0.06300,1.88380,1.88380,-1.94680,-0.13490,-2.08180,-2.08180,-2.08180,-2.11360,-1.92590,-1.94680,64.94370,64.94370,-0.03000,-0.03000,4.32270,1.01660,-65.00320,110.43000,3410.95900,3410.95900,3647.36400,3703.07800,-0.00480,0.00650,,,60.78240,319.90090,-17.41510,-31.15560,-0.00170,-0.0277,-0.0277
2021-09-30,,,,1.42890,,-1.42890,-0.13420,-1.56310,-1.56310,-1.56310,-1.59560,-1.40760,-1.42890,65.01690,65.01690,-0.02000,-0.02000,,,,,,,,,,,,,,,,,,-0.0158,-0.0158
2021-06-30,,,,0.96230,,-0.96230,-0.13630,-1.09860,-1.09860,-1.09860,-1.13120,-0.94100,-0.96230,64.84890,64.84890,-0.02000,-0.02000,,,,,,,,,,,,,,,,,,-0.016,-0.016
2021-03-31,0.10020,0.08250,0.01770,0.86770,0.86770,-0.85000,-0.13690,-0.98690,-0.98690,-0.98690,-1.01950,-0.82920,-0.85000,64.55960,64.55960,-0.02000,-0.02000,,,,17.64440,-848.43350,-848.43350,-985.11660,-1017.60800,,,,,,,,,,-0.01180,-0.01180
2018-09-30,1.01180,0.92880,0.08300,2.28480,2.75450,-2.67150,-0.91520,-3.58670,-3.58670,-3.58670,-3.58670,-2.20180,-2.67150,53.60100,53.60100,-0.06800,-0.06800,0.24290,,-0.25530,8.20190,-264.03390,-264.03390,-354.48460,-354.48460,0.14470,0.38850,1.35350,66.49630,5.22490,15.31900,-51.30490,15.66730,-0.42620,-0.1024,-0.1024
2018-06-30,2.26280,1.87540,0.38750,2.38610,2.85570,-2.46830,-1.39790,-3.86620,-3.86620,-3.86620,-3.86620,-1.99860,-2.46830,53.56500,53.56500,-0.07300,-0.07300,0.21660,,-0.18180,17.12340,-109.07860,-109.07860,-170.85660,-170.85660,0.24240,0.76230,1.33320,67.50480,5.21780,13.18840,-41.41950,13.64090,-0.52910,-0.0323,-0.0323
2018-03-31,3.13810,2.42930,0.70880,2.00460,2.47420,-1.76550,0.16990,-1.59560,-1.59560,-1.59560,-1.59560,-1.29590,-1.76550,53.19620,53.19620,-0.03100,-0.03100,0.24750,,-0.16410,22.58590,-56.25970,-56.25970,-50.84580,-50.84580,0.29830,1.07230,1.72770,52.09380,2.24320,5.95530,-15.16590,6.28810,-0.46630,-0.00930,-0.00930
2017-12-31,1.16710,1.21150,-0.04440,1.38240,2.61350,-2.65790,-2.60490,-5.26270,-5.26270,-5.26270,-5.26270,-2.02680,-2.65790,48.94300,48.94300,-0.02000,-0.02000,0.26390,-0.16310,-0.15120,-3.80460,-227.72690,-227.72700,-450.90680,-450.90680,0.11200,0.51500,1.11160,80.96490,7.47530,19.86500,-50.49280,24.83500,-0.46350,-0.0231,-0.0229
2017-09-30,1.41520,1.19340,0.22190,1.16960,1.80240,-1.58050,-0.54720,-2.12780,-2.12780,-2.12780,-2.12780,-0.94770,-1.58050,49.04300,49.04300,-0.04000,-0.04000,0.26860,,-0.11290,15.67760,-111.67780,-111.67780,-150.34610,-150.34610,0.10480,0.42250,1.33430,67.45270,2.61910,5.52860,-15.75360,5.99590,-0.72360,-0.0216,-0.0231
2017-06-30,2.50480,1.97000,0.53480,1.42560,2.04830,-1.51360,-0.40200,-1.91550,-1.91550,-1.91550,-1.91550,-0.89090,-1.51360,48.99700,48.99700,-0.04000,-0.04000,0.29920,-0.00040,-0.11000,21.35040,-60.42830,-60.42830,-76.47640,-76.47640,0.16740,0.74980,1.95260,46.09290,2.42230,5.18760,-12.80120,5.75020,-0.67950,-0.021,-0.0224
2017-03-31,2.61380,2.00480,0.60900,1.14870,1.75950,-1.15050,-16.26220,-17.41270,-17.41270,-17.41270,-17.41270,-0.53970,-1.15050,38.46220,38.46220,-0.45000,-0.45000,0.27130,-0.00110,-0.07840,23.29830,-44.01670,-44.01670,-666.17870,-666.17870,0.15830,0.86790,1.51680,59.33710,20.89230,40.99090,-105.44980,45.54860,-0.78200,-0.02320,-0.02320
