Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,212.71400,212.71400,199.74500,-0.22000,10.45400,4.93600,15.39000,2.90400,12.48600,,12.48600,5.25200,14.52600,10.45400,16.53200,16.53200,0.32000,0.34000,0.08930,0.20570,4.91460,4.91460,7.23510,2.46900,0.30370,2.97700,3.81420,1.78250,2.71120,13.17020,-0.342,-4.6821
2024-06-30,205.47900,205.47900,191.15900,-0.91500,12.17100,3.89000,16.06100,3.65700,12.40400,,12.40400,4.85900,15.64900,12.17100,16.54200,16.54200,0.29000,0.29000,,0.01140,5.92320,5.92320,7.81640,2.36470,0.34120,2.94170,3.75370,2.05940,2.94170,13.28930,2.9443,2.8449
2024-03-31,217.74900,217.74900,202.15100,-2.62800,11.74700,3.08600,14.83300,2.12000,12.71300,,12.71300,5.78400,15.25800,11.74700,16.51500,31.53900,0.35000,0.34000,,0.01120,5.39470,5.39470,6.81200,2.65630,0.37300,2.99720,3.82850,2.17800,2.99720,13.36740,0.1604,0.1367
2023-12-31,261.67100,261.67100,246.65400,-3.98700,10.60700,7.55700,18.16400,2.63800,15.52600,,15.52600,6.91200,13.29500,10.60700,16.50800,31.51200,0.42000,0.41000,,0.01110,4.05360,4.05360,6.94150,2.64150,0.41840,3.65630,4.68130,2.48240,3.65630,13.39080,0.94980,0.91420
2023-09-30,222.93190,222.93190,204.84200,-3.02500,14.78400,5.46100,20.24500,3.18700,17.05800,,17.05800,7.61800,17.30900,14.78400,16.42600,16.42600,0.47000,0.48000,,,6.63160,6.63160,9.08120,3.41720,0.38280,4.02630,4.04570,2.92880,4.02630,13.35970,-0.2688,-0.3149
2023-06-30,280.22500,280.22500,217.85900,-1.19600,60.88900,3.49600,64.38500,9.21400,55.17100,,55.17100,24.36800,63.43600,60.88900,16.43500,16.43500,1.48000,1.48000,,,21.72860,21.72860,22.97620,8.69590,0.46600,12.97030,13.03260,9.17400,12.97030,13.45500,5.5777,5.4411
2023-03-31,208.41900,208.41900,190.36000,,17.78700,30.39800,48.18500,6.88300,41.30200,,41.30200,18.25400,20.36600,17.78700,16.40800,31.43000,1.11000,1.11000,,,8.53430,8.53430,23.11930,8.75830,0.35190,10.43970,10.49390,6.97360,10.43970,12.51180,0.4455,0.4149
2022-12-31,250.74000,250.74000,230.20400,,20.26800,-3.54400,16.72400,2.48400,14.24000,,14.24000,6.25600,22.79000,20.26800,16.40400,31.41300,0.38000,0.37000,,,8.08330,8.08330,6.66990,2.49500,0.44420,3.85600,3.87760,2.52240,3.85600,11.68460,0.89450,0.86530
2022-09-30,242.19300,242.19300,220.47500,,21.32400,10.78300,32.10700,4.78500,27.32200,,27.32200,11.88300,23.83500,21.32400,16.33800,31.34800,0.72000,0.70000,,,8.80450,8.80460,13.25680,4.90640,0.44650,7.38950,7.43090,5.03720,7.38950,11.69840,0.3646,0.3579
2022-06-30,211.08800,211.08800,185.41700,,25.41800,-5.21000,20.20800,2.94300,17.26500,,17.26500,7.49800,27.92900,25.41800,16.34300,31.35300,0.46000,0.46000,,,12.04140,12.04140,9.57330,3.55210,0.39750,4.83600,4.86420,3.25120,4.83600,11.33320,1.2595,1.2498
2022-03-31,197.65400,197.65400,175.87800,,21.53400,-4.49400,17.04000,2.45100,14.58900,,14.58900,6.33000,24.04500,21.53400,16.32900,31.33100,0.39000,0.39000,,,10.89480,10.89480,8.62110,3.20260,0.37390,4.11460,4.13880,2.76000,4.11460,11.25540,0.4901,0.476
2021-12-31,181.56800,181.56800,161.23900,,20.09300,1.25300,21.34600,3.05400,18.29200,,18.29200,7.96400,22.61700,20.09300,16.32500,31.32500,0.49000,0.49000,,,11.06640,11.06640,11.75650,4.38620,0.34760,5.16900,5.19960,3.50150,5.16900,11.23950,1.11630,1.11100
2021-09-30,173.48400,173.48400,151.61300,-0.51000,21.12190,14.67200,35.79400,5.04300,30.75100,,30.75100,13.74800,23.65790,21.12190,16.26600,31.28200,0.84000,0.84000,,,12.17510,12.17510,20.63250,7.92470,0.34840,8.84370,8.89730,6.17600,8.84370,11.04380,-0.0165,-0.023
2021-06-30,145.24400,145.24400,124.06700,-0.06100,20.87100,1.51900,22.39000,3.36100,19.02900,,19.02900,8.23200,23.48300,20.87100,16.26900,31.30800,0.50000,0.50000,,,14.36960,14.36960,15.41540,5.66770,0.20050,3.45510,3.46830,2.62620,3.45510,17.53540,1.1573,1.1516
