Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,,,,3.17000,6.20300,,-9.37300,-5.62800,-15.00100,-15.00100,-15.00100,-15.00100,-9.22000,-9.37300,154.02900,154.02900,-0.09700,-0.09700,6.10380,,0.07650,,,,,,,-20.68080,-20.91110,-16.90330,-20.68080,0.46880,-0.0403,-0.0403
2024-06-30,,,,4.94600,7.86800,,-12.81400,0.55900,-12.25500,-12.25500,-12.25500,-12.25500,-12.68300,-12.81400,142.35400,142.35400,-0.08600,-0.08600,6.07400,,0.06270,,,,,,,-15.58170,-15.75520,-12.74850,-15.58170,0.51150,-0.0546,-0.0546
2024-03-31,,,,3.99400,5.90600,,-9.90000,0.94900,-8.95100,-8.95100,-8.95100,-8.95100,-9.75100,-9.90000,140.05300,140.05300,-0.06400,-0.06400,4.86150,,0.10810,,,,,,,-20.89500,-21.38010,-16.00190,-20.89500,0.30540,-0.05710,-0.05710
2023-12-31,1.00000,-0.27400,1.27400,4.80500,3.59700,8.40200,-7.12800,-2.51200,-9.64000,-9.10800,-9.10800,-9.10800,-6.97100,-7.12800,131.89100,131.89100,-0.04100,-0.04100,6.72150,0.08000,0.08690,127.40000,-712.79980,-712.79980,-963.99990,-910.80000,0.01500,-18.02250,-18.41940,-13.69650,-16.58080,0.36080,-0.0555,-0.0555
2023-09-30,,-0.23500,0.23500,3.59400,5.70800,9.30200,-9.06700,2.53600,-6.53100,-6.53100,-6.53100,-6.53100,-8.91100,-9.06700,136.99500,136.99500,-0.04800,-0.04800,,,,,,,,,,,,,,,-0.0306,-0.0306
2023-06-30,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,
2023-03-31,,-0.34700,0.34700,5.30700,6.45000,11.75700,-11.41000,-0.66600,-12.07600,-12.07600,-12.07600,-12.07600,-11.30400,-11.41000,124.78500,124.78500,-0.09700,-0.09700,,,,,,,,,,,,,,,-0.07410,-0.07410
