Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-12-31,3653.00000,,3653.00000,3362.00000,,278.00000,,1472.00000,315.00000,1157.00000,1157.00000,,1130.00000,726.56800,733.72000,1.56000,1.54000,,,,,,,,,,,,
2024-09-30,10252.00000,5604.00000,4648.00000,3111.00000,3123.00000,1525.00000,,1525.00000,336.00000,1189.00000,1189.00000,,1110.00000,736.54700,742.08000,1.51000,1.50000,0.44280,1.25410,32.97300,24.00000,0.01080,3.13390,5.14250,0.27820,1.56690,58.15470,-0.4298,-0.9468
2024-06-30,9959.00000,5362.00000,4597.00000,3057.00000,3070.00000,1527.00000,,1527.00000,357.00000,1170.00000,1170.00000,,1143.00000,746.90400,751.59600,1.53000,1.52000,0.43220,1.23330,33.21730,24.86400,0.01070,3.18920,5.32160,0.27300,1.61920,55.59810,2.7827,2.2689
2024-03-31,9583.00000,5056.00000,4527.00000,3191.00000,3203.00000,1324.00000,,1324.00000,297.00000,1027.00000,1027.00000,,953.00000,756.93700,762.26800,1.26000,1.25000,0.44560,1.25160,29.42220,21.17780,0.01040,2.82630,4.75180,0.23620,1.39950,54.39840,-3.51580,-3.90810
2023-12-31,9220.00000,4862.00000,4358.00000,4065.00000,4079.00000,279.00000,,279.00000,73.00000,206.00000,206.00000,,162.00000,767.14600,772.10200,0.21000,0.21000,0.43740,1.28540,6.52780,3.79040,0.01040,0.56470,0.94910,0.05030,0.28390,53.75690,-2.5505,-2.9141
2023-09-30,8923.00000,4503.00000,4420.00000,3077.00000,3092.00000,1328.00000,,1328.00000,285.00000,1043.00000,1043.00000,,958.00000,777.81300,781.78100,1.23000,1.23000,0.42190,1.26910,30.06570,21.68890,0.01090,2.88250,4.74000,0.25740,1.46990,53.33950,6.4894,6.0507
2023-06-30,8628.00000,4124.00000,4504.00000,3102.00000,3116.00000,1388.00000,,1388.00000,315.00000,1073.00000,1073.00000,,1036.00000,787.71800,790.72500,1.32000,1.31000,0.45210,1.49860,30.85130,23.02730,0.01050,2.96740,4.90600,0.24930,1.43390,52.64380,1.4995,1.0448
2023-03-31,7229.00000,2814.00000,4415.00000,3113.00000,3127.00000,1288.00000,,1288.00000,306.00000,982.00000,982.00000,,911.00000,803.34000,807.71800,1.13000,1.13000,0.44790,1.60350,29.35280,20.76120,0.01030,2.73780,4.54130,0.23100,1.33180,51.58310,2.21860,1.89550
2022-12-31,6059.00000,2141.00000,3918.00000,3217.00000,3233.00000,685.00000,,685.00000,142.00000,543.00000,543.00000,,509.00000,811.66900,815.84600,0.63000,0.62000,0.43100,1.19230,17.57310,13.05800,0.00960,1.51240,2.50350,0.13380,0.75840,50.39430,3.5597,3.124
2022-09-30,5337.00000,1058.00000,4279.00000,2952.00000,3649.00000,630.00000,,630.00000,242.00000,388.00000,388.00000,,319.00000,811.30400,814.51600,0.39000,0.39000,0.41480,1.18280,14.62060,7.40310,0.01010,1.11160,1.89920,0.09070,0.57130,49.17110,4.5615,4.4178
2022-06-30,4589.00000,335.00000,4254.00000,3142.00000,3159.00000,1095.00000,,1095.00000,231.00000,864.00000,864.00000,,835.00000,810.90300,813.59000,1.03000,1.03000,0.40700,1.10170,26.02810,19.84790,0.00930,2.38980,4.15660,0.19090,1.25000,50.72500,6.1354,5.3977
2022-03-31,4006.00000,80.00000,3926.00000,2991.00000,3008.00000,918.00000,,918.00000,153.00000,765.00000,765.00000,,699.00000,809.46900,813.98600,0.86000,0.86000,0.37830,1.05550,23.39450,17.81350,0.00830,2.05870,3.54710,0.16150,1.13240,51.98950,4.21260,3.93500
2021-12-31,4067.00000,52.00000,4015.00000,2931.00000,2950.00000,1065.00000,,1065.00000,196.00000,869.00000,869.00000,,822.00000,811.46300,817.34500,1.01000,1.01000,0.38160,1.01120,26.41370,20.38690,0.00910,2.26350,3.82360,0.19550,1.24300,53.75890,3.8149,3.3205
2021-09-30,4087.00000,52.00000,4035.00000,2854.00000,2873.00000,1162.00000,,1162.00000,219.00000,943.00000,943.00000,,881.00000,844.08800,849.02800,1.04000,1.04000,0.37040,0.97860,28.48040,21.59310,0.00870,2.39750,4.01050,0.20040,1.35330,53.12770,0.0523,-0.3968
2021-06-30,4000.00000,40.00000,3960.00000,2672.00000,2692.00000,1268.00000,,1268.00000,241.00000,1027.00000,1027.00000,,991.00000,869.46000,873.47500,1.14000,1.13000,0.36370,0.98530,31.33960,24.49330,0.00870,2.49980,4.07960,0.21990,1.43230,52.85730,3.1888,2.9358
2021-03-31,4004.00000,83.00000,3921.00000,2744.00000,2768.00000,1153.00000,,1153.00000,221.00000,932.00000,932.00000,,858.00000,882.55800,885.65500,0.97000,0.97000,0.36240,1.00440,28.79620,21.42860,0.00860,2.29130,3.76350,0.20040,1.31430,51.64700,-3.58380,-3.83220
2020-12-31,3939.00000,96.00000,3843.00000,2914.00000,2940.00000,903.00000,,903.00000,148.00000,755.00000,755.00000,,702.00000,889.92800,891.84600,0.79000,0.79000,0.36430,0.95050,23.58930,18.33860,0.00820,1.82350,2.96820,0.16080,1.04460,51.81090,-0.9756,-1.273
2020-09-30,3964.00000,117.00000,3847.00000,2664.00000,2690.00000,1157.00000,,1157.00000,213.00000,944.00000,944.00000,,876.00000,889.49900,891.06900,0.98000,0.98000,0.37010,1.08930,30.14590,22.82440,0.00900,2.32310,3.80880,0.22040,1.31640,50.97190,0.8698,0.4966
2020-06-30,4173.00000,163.00000,4010.00000,2803.00000,2829.00000,1181.00000,,1181.00000,216.00000,965.00000,965.00000,,901.00000,889.02000,890.56100,1.01000,1.01000,0.39990,1.14050,30.54050,23.29970,0.00870,2.45690,4.10450,0.21820,1.32190,49.45350,7.6339,7.2288
2020-03-31,4864.00000,756.00000,4108.00000,2855.00000,2881.00000,1227.00000,,1227.00000,265.00000,962.00000,962.00000,,944.00000,894.12200,896.68900,1.05000,1.05000,0.41320,1.21030,31.15000,23.96550,0.00840,2.55190,4.59650,0.20550,1.36890,46.57440,-1.87910,-2.17360
2019-12-31,5684.00000,906.00000,4778.00000,2928.00000,2956.00000,1822.00000,,1822.00000,373.00000,1449.00000,1449.00000,,1385.00000,911.32400,914.73900,1.52000,1.52000,0.40320,1.16150,38.06940,28.93860,0.01250,3.80880,6.86990,0.37980,2.07940,46.17050,-2.6386,-2.7728
2019-09-30,5073.00000,1212.00000,3861.00000,2544.00000,2574.00000,1287.00000,,1287.00000,246.00000,1041.00000,1041.00000,,999.00000,933.26400,935.67700,1.07000,1.07000,0.40980,1.18050,33.19580,25.76740,0.01040,2.75540,4.96870,0.27900,1.48680,44.80920,5.3789,4.942
2019-06-30,5087.00000,1163.00000,3924.00000,2609.00000,2639.00000,1285.00000,,1285.00000,264.00000,1021.00000,1021.00000,,965.00000,951.28100,953.92800,1.01000,1.01000,0.41940,1.30800,32.68060,24.54220,0.01030,2.67580,4.81560,0.26790,1.42160,44.25400,-1.653,-2.1313
2019-03-31,4978.00000,1079.00000,3899.00000,2677.00000,2706.00000,1193.00000,,1193.00000,237.00000,956.00000,956.00000,,905.00000,962.39700,965.96000,0.94000,0.94000,0.43480,1.21490,30.65260,23.25280,0.01120,2.52880,4.59900,0.27620,1.30690,43.18150,-0.98240,-1.25570
2018-12-31,4986.00000,979.00000,4007.00000,2952.00000,2987.00000,1020.00000,,1020.00000,150.00000,870.00000,870.00000,,827.00000,984.34300,988.65000,0.84000,0.84000,0.44290,1.27770,25.45550,20.63890,0.01100,2.33890,4.31360,0.23980,1.18970,42.41760,3.2631,2.9588
2018-09-30,4812.00000,743.00000,4069.00000,2687.00000,2735.00000,1334.00000,,1334.00000,220.00000,1114.00000,1114.00000,,1068.00000,999.80800,1003.66500,1.07000,1.06000,0.42710,1.09190,32.76030,26.22790,0.01160,2.92330,5.30430,0.31850,1.53240,42.12280,1.2559,0.9606
2018-06-30,4775.00000,637.00000,4138.00000,2696.00000,2744.00000,1394.00000,,1394.00000,286.00000,1108.00000,1108.00000,,1048.00000,1010.17900,1014.35700,1.04000,1.03000,0.42970,1.21760,33.66340,25.30790,0.01170,2.91460,5.31900,0.31390,1.52050,41.55930,2.3797,2.0512
2018-03-31,4640.00000,462.00000,4178.00000,2685.00000,2734.00000,1444.00000,,1444.00000,282.00000,1162.00000,1162.00000,,1127.00000,1016.79700,1021.73100,1.11000,1.10000,0.41280,1.39220,34.52070,26.94240,0.01120,3.02620,5.54020,0.31100,1.62680,41.49700,-0.83390,-1.00320
2017-12-31,4096.00000,368.00000,3728.00000,2948.00000,3000.00000,728.00000,,728.00000,-453.00000,1181.00000,1181.00000,,1118.00000,1024.82800,1030.40400,1.09000,1.08000,0.42720,1.28060,19.49650,29.94110,0.01000,3.10590,5.73520,0.31770,1.62730,41.01570,1.2867,1.0211
