Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,326.32200,226.79400,99.52800,28.73300,-18.42400,50.14100,49.38700,49.38700,8.31400,41.07300,41.07300,22.15000,56.31500,49.38700,25.37260,44.64270,0.87000,0.79000,1.74970,,,30.49990,15.13440,15.13440,15.13440,6.78780,0.20920,0.94980,94.75760,4.66460,5.87990,2.63370,4.66460,37.11680,3.9176,3.8753
2024-06-30,360.18100,250.32600,109.85500,26.18300,-16.16100,45.45600,64.39900,64.39900,11.36800,53.03100,53.03100,28.31600,71.46900,64.39900,25.37600,43.09200,1.12000,1.06000,2.52200,,,30.49990,17.87960,17.87960,17.87960,7.86160,0.25400,1.04790,85.88960,6.25540,7.98000,3.74040,6.25540,35.54720,4.9684,4.9619
2024-03-31,329.39300,228.92800,100.46500,25.28800,-17.77600,46.56200,53.90300,53.90300,0.53100,53.37200,53.37200,32.62300,61.34200,53.90300,25.69050,28.16850,1.27000,1.22000,5.06770,,,30.50010,16.36440,16.36440,16.36430,9.90400,0.25300,1.01360,88.78850,6.44440,8.29100,4.09980,6.44440,33.95500,-1.37670,-1.39230
2023-12-31,328.55400,232.27100,96.28300,23.41700,-17.71300,44.59000,51.69300,51.69300,6.20200,45.49100,45.49100,24.91200,60.25000,51.69300,25.25530,41.88200,0.98000,0.91000,3.04550,,,29.30510,15.73350,15.73350,15.73350,7.58230,0.22900,1.24670,72.18790,5.28250,6.73460,3.17020,5.28250,35.60720,-1.3837,-1.3489
2023-09-30,278.36300,193.45700,84.90600,24.59100,-14.21400,42.35200,42.55400,42.55400,11.40100,31.15300,31.15300,17.41000,51.74600,42.55400,25.19340,26.64430,0.69000,0.68000,1.98800,,,30.50190,15.28720,15.28720,15.28720,6.25440,0.23300,0.85880,104.79540,3.83790,4.98600,2.60710,3.83790,33.48660,5.5608,5.5414
2023-06-30,346.27700,246.61400,99.66300,25.13500,-16.76200,45.49400,54.16900,54.16900,13.11700,41.05200,41.05200,22.14100,63.97000,54.16900,25.23800,26.33300,0.88000,0.86000,3.18340,,,28.78130,15.64330,15.64330,15.64330,6.39400,0.31850,1.03970,86.56450,5.36490,7.11420,3.77630,5.36490,31.59320,7.2192,7.1898
2023-03-31,199.98800,133.04300,66.94500,21.01500,-13.29400,37.75200,29.19300,29.19300,1.20700,27.98600,27.98600,17.33600,38.30300,29.19300,25.23180,26.91850,0.69000,0.67000,8.91050,,,33.47450,14.59740,14.59740,14.59740,8.66850,0.20840,0.62580,143.81020,3.79140,5.09970,2.91580,3.79140,29.76390,-0.85400,-0.93370
2022-12-31,279.95300,180.24200,99.71100,19.04800,-17.35100,39.71790,59.99310,59.99300,13.92300,46.07000,46.07000,24.57400,68.79110,59.99310,25.07780,26.61660,0.98000,0.95000,4.37780,,,35.61710,21.42970,21.42970,21.42970,8.77790,0.26650,0.88100,102.15140,6.06540,8.09730,4.38490,6.06540,31.02840,-1.3704,-1.4049
2022-09-30,266.09200,179.08000,87.01200,19.76100,-15.85400,39.37000,47.64200,47.64200,8.60100,39.04100,39.04100,21.08800,56.32600,47.64200,24.96650,26.51920,0.84000,0.82000,2.70120,,,32.70000,17.90430,17.90430,17.90430,7.92510,0.24950,0.92890,96.88430,5.49500,7.52750,3.66050,5.49500,29.07710,6.0436,6.0154
2022-06-30,233.14100,150.58700,82.55400,20.12500,-14.64700,38.86600,43.68800,43.68800,8.49500,35.19300,35.19300,19.16800,52.74700,43.68800,25.14100,26.42100,0.76000,0.74000,3.94400,,,35.40950,18.73890,18.73890,18.73890,8.22160,0.23780,0.76920,117.01110,5.19340,7.26630,3.58890,5.19340,27.79800,6.0371,6.0012
