Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,13.70110,15.41880,-1.71770,0.95040,4.06590,,5.01630,-6.73400,0.08570,-6.64830,0.16710,-6.81540,-6.81540,-6.81540,-6.37630,-6.73400,21.04900,21.04900,-0.32000,-0.32000,3.32070,,0.03640,-12.53720,-49.14960,-49.14960,-48.52380,-49.74340,0.31370,1.00770,1.46890,61.26960,-22.25480,-23.39280,-15.60520,-22.25480,1.45040,0.0432,0.0387
2024-06-30,13.20130,9.86810,3.33330,0.92560,4.66250,,5.58810,-2.25490,0.12130,-2.13350,0.21100,-2.34450,-2.34450,-2.34450,-1.87450,-2.25490,20.93200,20.93200,-0.11000,-0.11000,4.52270,,0.03120,25.24950,-17.08060,-17.08060,-16.16140,-17.75990,0.27850,0.48980,1.56650,57.45360,-6.41530,-6.68800,-4.94540,-6.41530,1.74050,-0.0401,-0.0417
2024-03-31,12.65180,8.92850,3.72330,0.97090,4.01440,,4.98530,-1.26200,0.11370,-1.14840,0.19130,-1.33960,-1.33960,-1.33960,-0.87230,-1.26200,20.70900,20.70900,-0.06000,-0.06000,5.16180,,0.03540,29.42900,-9.97500,-9.97500,-9.07660,-10.58840,0.26190,0.41560,1.70810,52.68890,-3.49120,-3.63230,-2.77270,-3.49120,1.83830,0.09870,0.09060
2023-12-31,13.15520,8.72060,4.43460,1.12720,3.63850,0.00000,4.76580,-0.33110,0.09540,-0.23580,0.04180,-0.27760,-0.27760,-0.27760,-1.37710,-0.33110,20.85500,20.85500,0.00000,0.00000,6.17550,,0.05250,33.70960,-2.51720,-2.51720,-1.79220,-2.10990,0.27260,0.40200,1.58150,56.90840,-0.70120,-0.72860,-0.57510,-0.70120,1.91580,-0.0321,-0.0533
2023-09-30,13.74820,10.09680,3.65140,1.05390,3.64880,-2.93080,7.63350,-3.98210,0.57050,-3.41160,0.22700,-3.63860,-3.63860,-3.63860,-2.56850,-3.98210,20.56900,20.56900,-0.18000,-0.18000,4.23690,,0.05770,26.55880,-28.96470,-28.96470,-24.81530,-26.46610,0.26690,0.45430,1.53120,58.77590,-9.29330,-9.66090,-7.06330,-9.29330,1.90030,-0.0895,-0.093
2023-06-30,17.21150,12.41360,4.79790,0.95470,4.55680,-2.70000,8.21150,-3.41360,1.41090,-2.00260,0.39690,-2.39950,-2.39950,-2.39950,-3.09450,-3.41360,20.39800,20.39700,-0.12000,-0.12000,4.15450,,0.06980,27.87630,-19.83300,-19.83300,-11.63540,-13.94120,0.31390,0.57830,1.86570,48.23980,-5.56170,-6.19830,-4.37670,-5.56170,2.10010,0.0993,0.0888
2023-03-31,16.78190,11.71110,5.07080,1.19530,4.07180,,5.26710,-0.19630,0.05730,-0.13900,0.26150,-0.40050,-0.40050,-0.40050,0.19450,-0.19630,20.25200,20.25200,-0.02000,-0.02000,3.64830,0.00460,0.07210,30.21570,-1.17000,-1.17000,-0.82830,-2.38660,0.28860,0.49530,1.66040,54.20530,-0.90160,-1.07440,-0.68870,-0.89740,2.18200,0.00120,-0.00300
2022-12-31,18.24950,13.27070,4.97880,1.08760,3.53830,,4.62590,0.35290,0.52010,0.87300,4.13660,-3.26360,-3.26360,-3.26360,0.61810,0.35290,19.73100,19.73100,-0.17000,-0.17000,4.13140,0.00910,0.07580,27.28170,1.93370,1.93380,4.78370,-17.88350,0.32380,0.63880,1.61110,55.86200,-7.36320,-8.78240,-5.79020,-7.29580,2.20680,0.0148,0.0014
2022-09-30,18.81580,13.73800,5.07790,1.15990,3.75460,,4.91450,0.16340,0.00530,0.16870,0.03620,0.13250,0.13250,0.13250,0.42420,0.16340,20.02000,21.13900,0.01000,0.01000,3.69980,0.01190,0.07000,26.98720,0.86830,0.86830,0.89650,0.70440,0.31550,0.68370,1.65190,54.48220,0.28600,0.33840,0.22220,0.28260,2.31450,-0.0527,-0.0595
2022-06-30,18.30330,13.10300,5.20030,1.25200,3.54640,,4.79840,0.40190,0.00640,0.40830,0.08550,0.32280,0.32280,0.32280,0.65640,0.40190,19.94090,21.18050,0.02000,0.02000,3.52280,0.01700,0.07970,28.41190,2.19590,2.19590,2.23080,1.76370,0.30270,0.64020,1.82770,49.24180,0.70210,0.83230,0.53390,0.69010,2.29810,-0.1038,-0.1061
