Date,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,33.90300,12.50200,,-46.40500,4.44700,-41.95800,0.60800,-42.56600,-42.56600,-42.56600,-46.16900,-46.40500,116.25400,116.25400,-0.37000,-0.37000,21.52410,0.13170,0.15170,-8.52790,-8.52790,-6.98130,-7.40490,3.79110,-0.1426,-0.1429
2024-06-30,32.81500,11.16500,,-43.98000,0.86900,-43.11100,0.70500,-43.81600,-43.81600,-43.81600,-43.74400,-43.98000,109.48900,109.48900,-0.40000,-0.40000,13.28730,0.21050,0.26660,-15.26880,-15.26880,-10.98570,-12.05510,2.53550,-0.3379,-0.3379
2024-03-31,22.65200,13.43800,,-36.09000,-1.47500,-37.56500,0.48100,-38.04600,-38.04600,-38.04600,-35.85000,-36.09000,99.88800,99.88800,-0.38000,-0.38000,10.36910,0.26300,0.35690,-17.68240,-17.68240,-11.59340,-13.03110,2.14130,-0.37330,-0.37330
2023-12-31,29.71600,12.31500,,-42.03100,-0.51500,-35.69300,1.14400,-36.83700,-36.83700,-36.83700,-41.78500,-35.17800,96.17800,96.17800,-0.38000,-0.38000,8.00030,0.24270,0.32040,-15.59280,-15.59280,-10.22550,-11.80890,2.39170,-0.3293,-0.3297
2023-09-30,28.19000,12.01900,,-40.20900,-1.26500,-41.47400,-2.82600,-38.64800,-38.64800,-38.64800,-39.97100,-40.20900,96.64800,96.64800,-0.40000,-0.40000,9.51120,0.22200,0.28530,-14.89960,-14.89960,-10.24160,-11.59240,2.65860,-0.3721,-0.3725
2023-06-30,33.67300,13.34600,,-47.01900,-1.91800,-48.93700,-24.05100,-24.88600,-24.88600,-24.88600,-46.78200,-47.01900,95.16300,95.16300,-0.26000,-0.26000,10.34670,0.20950,0.26500,-8.99690,-8.99690,-6.33360,-7.11220,2.90250,-0.4618,-0.4619
2023-03-31,32.82600,16.05100,,-48.87700,-1.16000,-50.03700,0.67700,-50.71400,-50.71400,-50.71400,-48.78800,-48.87700,94.93800,94.93800,-0.53000,-0.53000,12.94650,0.19620,0.24420,-17.29310,-17.29310,-12.55730,-13.89950,3.08360,-0.50390,-0.50480
2022-12-31,27.83500,13.76800,,-41.60300,-2.23400,-43.83700,-0.66400,-43.17300,-43.17300,-43.17300,-41.56700,-41.60300,93.40100,93.40100,-0.45000,-0.45000,11.41810,0.17190,0.20760,-12.84270,-12.84270,-9.71690,-10.63460,3.54450,-0.5678,-0.5748
2022-09-30,36.74400,12.28400,,-49.02800,-4.98800,-54.01600,-0.14100,-53.87500,-53.87500,-53.87500,-48.99300,-49.02800,94.32800,94.32800,-0.57000,-0.57000,12.48960,0.15460,0.18290,-14.44680,-14.44680,-11.23910,-12.21320,3.94330,-0.4117,-0.4118
2022-06-30,53.65100,14.76300,,-68.41400,3.73100,-64.68300,-0.02200,-64.66100,-64.66100,-64.66100,-68.38200,-68.41400,94.10900,94.10900,-0.69000,-0.69000,15.47550,0.13830,0.16050,-15.39410,-15.39400,-12.40970,-13.26550,4.45560,-0.6151,-0.6174
2022-03-31,36.85300,14.38500,-1.98000,-53.21800,-1.20000,-54.41800,0.08000,-54.49800,-54.49800,-54.49800,-53.19000,-53.21800,90.50500,90.50500,-0.60000,-0.60000,21.37220,0.13480,0.15580,-11.35020,-11.35020,-9.36090,-9.82030,5.10680,-0.55260,-0.55530
2021-12-31,41.53400,12.98800,-3.77000,-58.29200,-2.37700,-61.48900,,-61.60300,-61.60300,-61.60300,-58.28000,-58.29200,75.16600,75.16600,0.98900,0.98900,25.52050,0.13340,0.15400,-12.53230,-12.53230,-9.78390,-10.85990,5.46240,-0.9245,-0.9257
2021-09-30,25.85000,12.46400,,-38.31400,-1.84100,-40.15500,,-40.15500,-40.15500,-40.15500,-38.30100,-38.31400,89.89950,89.89950,-0.45000,-0.45000,20.98700,,,-7.31240,-7.31240,-6.55910,-7.31240,6.10830,-0.1538,-0.154
2021-06-30,18.13400,11.84100,-11.31200,-41.28700,-0.16400,-41.45100,,-41.45100,-41.45100,-41.45100,-41.28000,-41.28700,63.51670,63.51670,-0.65000,-0.65000,26.61490,,,-7.07790,-7.07790,-6.43890,-7.07790,6.51440,-0.4691,-0.4695
2021-03-31,231.25800,5.71600,,-236.97400,-2.53700,-238.69100,,-238.69100,-238.69100,-238.69100,-236.97200,-236.97400,48.05010,48.05010,-4.97000,-4.97000,16.52720,0.00100,0.00100,-775.29820,-85.66470,-74.46990,-85.57530,5.79480,-0.26400,-0.26470
2020-12-31,,,,,,,,,,,,,,,,0.00000,,,,,,,,,0,0
