Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2023-09-30,,,,1.91230,1.93030,,,-3.84260,7.88560,4.04300,4.04300,4.04300,,2.88490,-3.84260,-3.84260,1.49680,1.49680,1.80180,1.80180,1.70940,,,,,,,,,,,,26.32820,80.82520,18.52420,26.08270,9.90400,-1.5082,-10.4194
2023-06-30,,,,2.22440,3.55720,,,-5.78160,1.61400,-4.16770,-4.16770,-4.16770,,-4.54140,-5.78160,-5.78160,1.34370,1.34370,-3.30330,-3.30330,5.41060,,,,,,,,,,,,-39.32770,-1713.45600,-16.50610,-38.79860,7.67540,-2.8752,-2.8752
2023-03-31,,,,0.77040,1.05710,-0.76280,,-2.59030,1.07860,-1.51170,-1.51170,-1.51170,,-1.67010,-2.59030,-2.59030,1.32490,1.32490,-1.20120,-1.20120,10.01940,,,,,,,,,,,,-11.67400,-58.24380,-5.32130,-11.54520,9.96240,-2.99770,-2.99770
2022-12-31,,,,2.47050,1.33760,,,-3.80800,0.05960,-3.74550,-3.74550,-3.74550,,-3.74550,-3.80800,-3.80800,1.29290,1.29290,-3.00300,-3.00300,1.95080,,,,,,,,,,,,-25.74150,-89.25300,-21.35420,-25.48830,11.18050,-1.783,1.8889
2022-09-30,,,,1.80320,1.90670,,,-3.70990,0.01620,-3.69370,-3.69370,-3.69370,,-3.69370,-3.70990,-3.70990,1.30030,1.30030,-2.70270,-2.70270,4.53550,,,,,,,,,,,,-20.31480,-47.18320,-18.25770,-20.15460,13.94380,-3.0576,-6.7295
2022-06-30,,,,2.16400,1.47900,,,-3.64300,0.00690,-3.63600,-3.63600,-3.63600,,-3.63600,-3.64300,-3.64300,1.27620,1.27620,-2.70270,-2.70270,2.40860,,,,,,,,,,,,-22.76250,-64.70050,-18.97610,-22.55840,12.71830,-2.7859,-2.7859
2022-03-31,,,,2.62970,1.49210,,,-4.12190,-0.00020,-4.12200,-4.12200,-4.12200,,-4.12200,-4.12190,-4.12190,1.26950,1.26950,-3.30330,-3.30330,4.08310,,,,,,,,,,,,-21.16290,-45.17990,-18.56480,-21.00710,15.48300,-1.86390,-1.86390
2021-12-31,,,,0.75350,2.37270,,,-3.03360,-0.19980,-3.23970,-3.23970,-3.23970,,-3.23970,-3.03360,-3.73470,1.16610,1.16610,-2.70270,-2.70270,12.17980,,,,,,,,,,,,-13.78450,-24.63930,-13.05660,-13.70030,18.84970,-5.0041,-5.0041
2021-09-30,,,,2.97940,1.42880,,,-4.40820,-1.05910,-5.46730,-5.46730,-5.46730,,-5.46730,-4.40820,-4.40820,1.25320,1.25320,-4.50450,-4.50450,7.62140,,,,,,,,,,,,-21.23430,-39.35170,-19.51880,-21.11580,20.77860,-4.826,-4.826
2021-06-30,,,,1.66130,16.57640,,,-18.27820,0.18590,-18.09230,-18.09230,-18.09230,,-18.09230,-18.23770,-18.23770,1.19570,1.19570,-15.01500,-15.01500,6.68280,,,,,,,,,,,,-58.49480,-87.93020,-52.52020,-58.22280,24.98030,-5.3238,-5.3238
2021-03-31,,,,1.35100,1.07820,,,-3.08970,,-3.08970,-3.08970,-3.08970,,-3.08970,-1.82070,-2.42910,0.95080,0.95080,-3.30330,-3.30330,14.44690,,,,,,,,,,,,-9.28420,-9.24400,-8.63100,-9.24400,120.53770,-1.58300,-1.58300
2020-12-31,,,,-1.28980,3.21760,-0.96700,,-1.60660,-0.00970,-1.61660,-1.61660,-1.61660,,-1.61250,-3.13830,-2.90400,0.93870,0.93870,89.78980,89.78980,0.06370,-2.05100,-0.68570,,,,,,,,,,30.75130,30.75130,-238.89620,93.82230,-5.52900,-1.3402,-1.3402
2020-09-30,,,,0.90810,1.03190,0.00000,,-3.24200,-0.00010,-3.24180,-3.24180,-3.24180,,-3.24180,-0.68240,-1.94460,0.94140,0.94140,-3.30330,-3.30330,9.22100,,,,,,,,,,,,-15.41930,-15.31400,-13.66440,-15.31400,143.50130,-1.3464,-1.3464
2020-06-30,,,,0.36550,0.49990,-0.22490,,-1.09490,,-1.09490,-1.09490,-1.09490,,-1.09490,-1.09490,-1.09490,0.93360,0.93360,-1.20120,-1.20120,6.82950,,,,,,,,,,,,-7.03710,-6.85510,-5.86210,-6.85510,156.61850,50.7548,50.7548
