Date,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.20000,-0.20000,0.94350,0.74350,0.74350,0.74350,0.74350,-0.20000,-0.20000,2.12600,2.12600,0.08000,0.08000,0.53690,-93.30160,-93.30140,1.02150,-93.30160,-0.37480,-0.0253,-0.0253
2024-06-30,0.30910,-0.30910,0.91820,0.60910,0.60910,0.60910,0.60910,-0.30910,-0.30910,2.12600,2.12600,0.07000,0.07000,1.83740,-102.04770,-102.04760,0.84690,-102.04770,-0.28070,-0.1206,-0.1206
2024-03-31,0.15360,-0.15360,0.90910,0.75550,0.75550,0.75550,0.75550,-0.15360,-0.15360,2.12600,2.12600,0.08000,0.08000,6.12600,-262.54880,-262.54710,1.05990,-262.54880,-0.13540,-0.07850,-0.07850
2023-12-31,,,,,,,,,,,,,0.00000,,,,,,,0,0
2023-09-30,,,,,,,,,,1.25000,1.25000,0.00000,0.00000,,,,,,,0,0
