Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,4.47500,0.23400,4.24100,143.07300,202.88100,,345.95400,-341.71300,117.33000,-224.38300,12.45800,-236.84100,-236.84100,-43.08300,-230.18400,-336.87100,-341.71300,735.47100,735.47100,-0.31000,-0.31000,10.42900,,,94.77090,-7636.04400,-7636.04400,-5014.14600,-5143.77700,0.00070,-4.24440,-4.24440,-3.81630,-4.24440,7.60920,-0.3783,-0.3797
2024-06-30,55.13200,3.97800,51.15400,133.20800,148.51900,110.38700,171.34000,-120.18600,190.33100,70.14500,12.65500,57.49000,57.49000,,95.29700,-115.30300,-120.18600,735.81650,781.62760,0.13000,0.12000,27.90810,0.05020,0.05490,92.78460,-217.99680,-217.99680,127.23100,172.85240,0.00850,0.97520,0.99820,0.88490,0.92620,7.97680,-0.24670,-0.24790
2024-03-31,62.38300,7.45500,54.92800,138.09590,245.39500,,383.49100,-328.56300,51.15500,-277.40770,-8.43600,-268.97200,-268.97200,,-151.11530,-323.33800,-328.56320,783.24900,831.04900,-0.04000,-0.02000,25.23570,,,88.04960,-526.68680,-526.68710,-444.68490,-242.23790,0.00860,-4.17110,-4.17110,-3.72410,-4.17110,7.99390,-0.143,-0.1435
2023-12-31,37.14000,3.66800,33.47200,123.71700,197.28200,5348.41000,-5027.41100,5060.88300,37.45400,5098.33700,25.67200,5072.66500,5072.66500,,5096.18400,5066.26800,5060.88300,800.58800,844.46200,6.37000,6.03000,27.79400,0.05770,0.06820,90.12390,13626.50000,13626.50000,13727.35000,13721.55000,0.00510,77.03850,78.83950,69.36810,72.59190,8.18070,-0.1983,-0.1986
2023-09-30,3.64800,0.22300,3.42500,128.74000,88.57600,,217.31600,-213.89100,-27.51500,-241.40600,3.23600,-244.64200,-244.64200,-86.47600,-304.32700,-208.30400,-213.89100,770.22800,770.22800,-0.40000,-0.40000,5.84320,0.22710,0.33070,93.88710,-5863.24000,-5863.24000,-6617.48900,-8342.29700,0.00180,-18.45470,-20.64470,-11.84400,-14.26420,1.65540,-0.2503,-0.2507
2023-06-30,21.62400,4.21400,17.41000,137.63300,156.19000,,293.82300,-276.41300,-49.68000,-326.09300,1.75200,-327.84500,-327.84500,,-291.81600,-270.57400,-276.41300,759.27360,759.27360,-0.38000,-0.38000,6.37200,0.22400,0.32190,80.51240,-1278.27000,-1278.27000,-1508.01400,-1349.50100,0.01010,-24.57350,-27.57080,-15.34390,-19.06950,1.73910,-0.32920,-0.32970
2023-03-31,27.37600,4.17500,23.20100,131.85710,125.51000,,257.36700,-234.16600,54.95000,-179.21600,-3.79300,-175.42290,-175.42300,,-33.61700,-228.21300,-234.16600,712.79100,712.79100,-0.03000,-0.03000,6.60160,0.18940,0.25890,84.74940,-855.36980,-855.36980,-654.64640,-122.79740,0.01150,-10.91220,-11.99310,-7.34110,-8.84590,2.11480,-0.2519,-0.2542
2022-12-31,17.05200,3.58600,13.46600,223.28200,168.26100,,391.54300,-378.07700,-4.00000,-382.07700,2.81900,-384.89600,-384.89600,,-352.01400,-372.92600,-378.07700,713.31900,713.31900,-0.49000,-0.49000,6.73980,0.20810,0.28930,78.97020,-2217.20000,-2217.20000,-2240.65800,-2064.35600,0.00770,-26.96980,-30.04580,-17.47180,-21.35630,1.96360,-0.3002,-0.3006
2022-09-30,12.53300,3.64100,8.89200,131.99500,157.66300,,289.65800,-280.76600,-32.99000,-313.75600,2.16500,-315.92100,-315.92100,,-291.59000,-275.69100,-280.76600,699.88810,699.88810,-0.42000,-0.42000,7.43190,0.19900,0.27200,70.94870,-2240.21400,-2240.21400,-2503.43900,-2326.57800,0.00570,-20.86460,-22.99530,-14.25940,-16.71360,2.14960,-0.2689,-0.2732
2022-06-30,4.31900,1.72600,2.59300,135.83000,149.07200,,284.90200,-282.30900,-67.47600,-349.78500,3.99900,-353.78400,-353.78400,,-331.80900,-279.63100,-282.30900,695.87880,695.87880,-0.48000,-0.48000,6.20050,0.17940,0.23760,60.03710,-6536.44400,-6536.44400,-8098.75000,-7682.54200,0.00170,-20.15410,-21.97470,-13.60500,-16.53880,2.50350,-0.36220,-0.37300
2022-03-31,9.22300,0.45900,8.76400,136.59400,138.97310,,275.56690,-266.80290,-24.67300,-291.47600,-0.16300,-291.31300,-291.31300,,-270.06200,-265.09700,-266.80290,669.75300,669.75300,-0.40000,-0.40000,11.64270,0.09340,0.10300,95.02330,-2892.80000,-2892.80000,-3160.31700,-2928.13600,0.00360,-14.28750,-14.28750,-11.26880,-12.95320,2.93380,-0.2396,-0.2493
