Date,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-03-31,0.16500,2.31700,-2.48200,0.47300,-2.00900,,-2.00900,-2.00900,-2.00900,-2.46300,-2.48200,14.50110,14.50110,-0.14000,-0.14000,23.19420,,,-5.71960,-5.71960,-5.47320,-5.71960,2.42220,-0.10540,-0.10540
2023-12-31,0.04700,1.54300,-1.59000,0.50100,-1.08900,,-1.08900,-1.08900,-1.08900,-1.56700,-1.59000,14.41590,14.41590,-0.08000,-0.08000,59.01410,,,-2.94170,-2.94170,-2.87630,-2.94170,2.55290,-0.0731,-0.0731
2023-09-30,0.32200,1.61500,-1.93700,0.51300,-1.42400,,-1.42400,-1.42400,-1.42400,-1.90700,-1.93700,14.41010,14.41010,-0.10000,-0.10000,39.20560,,,-3.75050,-3.75050,-3.63410,-3.75050,2.63480,-0.1159,-0.1159
2023-06-30,0.25400,1.71900,-1.97300,0.49300,-1.48000,,-1.48000,-1.48000,-1.48000,-1.94400,-1.97300,14.41010,14.41010,-0.10000,-0.10000,25.44010,,,-3.77190,-3.77190,-3.60250,-3.77190,2.72300,-0.0481,-0.0481
2023-03-31,0.39000,1.40600,-1.79600,0.45000,-1.34600,,-1.34600,-1.34600,-1.34600,-1.76700,-1.79600,14.41010,14.41010,-0.09000,-0.09000,32.94000,,,-3.32090,-3.32090,-3.20030,-3.32090,2.81270,-0.11070,-0.11070
2022-12-31,0.06100,1.48700,-1.54800,0.37400,-1.17400,,-1.17400,-1.17400,-1.17400,-1.51900,-1.54800,14.41010,14.41010,-0.08000,-0.08000,37.72000,,,-2.81720,-2.81720,-2.72480,-2.81720,2.89200,-0.1036,-0.1037
2022-09-30,1.02400,1.52800,-2.55200,0.21900,-2.33300,,-2.33300,-2.33300,-2.33300,-2.52400,-2.55200,14.41010,14.41010,-0.16000,-0.16000,22.99950,,,-5.46020,-5.46020,-5.18850,-5.46020,2.96510,-0.1734,-0.1733
2022-06-30,1.48500,1.73400,-3.21900,0.07200,-3.14700,,-3.14700,-3.14700,-3.14700,-3.19000,-3.21900,14.41010,14.41010,-0.22000,-0.22000,16.96510,,,-6.99910,-6.99910,-6.54250,-6.99910,3.12030,-0.1819,-0.182
2022-03-31,2.17900,1.09800,-3.27700,0.00500,-3.27200,,-3.27200,-3.27200,-3.27200,-3.24900,-3.27700,14.41010,14.41010,-0.23000,-0.23000,18.58740,,,-6.82550,-6.82550,-6.41390,-6.82550,3.32670,-0.29830,-0.29840
2021-12-31,3.94100,1.73900,-5.68000,0.00400,-5.67600,,-5.67600,-5.67600,-5.67600,-5.65200,-5.68000,13.90390,13.90390,-0.39000,-0.39000,15.55780,,,-11.12000,-11.12000,-10.33430,-11.12000,3.54220,-0.3907,-0.3913
2021-09-30,3.43800,1.27800,-4.71600,0.00400,-4.71200,,-4.71200,-4.71200,-4.71200,-4.68900,-4.71600,14.41010,14.41010,-0.33000,-0.33000,18.75110,,,-8.32510,-8.32510,-7.82830,-8.32510,3.92780,-0.338,-0.3389
2021-06-30,3.57700,1.26000,-4.83700,0.00300,-4.83400,,-4.83400,-4.83400,-4.83400,-4.81800,-4.83700,14.41010,14.41010,-0.34000,-0.34000,17.53530,,,-7.89770,-7.89770,-7.39850,-7.89770,4.24760,-0.1979,-0.199
