Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2023-09-30,86.98200,54.73700,32.24500,27.69600,27.69600,4.54900,19.72500,24.27400,2.20800,22.06600,,22.03500,,23.39600,4.54900,4.54900,53.64240,53.67400,0.44000,0.44000,2.44480,0.08300,37.07090,5.22980,5.22980,27.90690,26.89750,0.15840,0.90390,99.56890,6.67540,8.32270,4.01370,6.67540,,0.0328,0.0328
2023-06-30,156.19800,111.64000,44.55800,32.69400,32.69400,11.86400,2.38700,14.25100,2.78600,11.46500,,11.43600,,10.55100,11.86400,11.86400,54.01000,54.01000,0.20000,0.20000,2.07440,0.09030,28.52660,7.59550,7.59550,9.12370,6.75490,0.27270,1.03290,87.13350,3.69000,4.69630,1.99620,3.69000,,0.1367,0.1367
2023-03-31,120.52800,80.54000,39.98800,31.19900,31.19900,8.78900,2.70000,11.48900,2.63400,8.85500,,8.80700,,8.80300,8.78900,8.78900,53.69910,53.72000,0.16000,0.16000,1.98320,0.09630,33.17740,7.29210,7.29210,9.53220,7.30370,0.21200,0.77880,115.56600,2.78830,3.58350,1.54940,2.78830,,-0.05080,-0.05080
2022-12-31,102.22400,65.69700,36.52700,24.47400,24.47400,12.05300,-0.16500,11.88800,2.60100,9.28700,,10.05300,,10.73900,12.05300,12.05300,53.70980,53.72290,0.13000,0.13000,2.40930,0.02060,35.73230,11.79080,11.79080,11.62940,10.50540,0.22820,1.12870,79.73520,4.00490,4.27660,2.24430,4.00490,4.67950,0.4167,0.2171
2022-09-30,87.82500,55.30500,32.52000,27.99800,27.99800,4.52200,1.43600,5.95800,1.20400,4.75400,,4.66700,,4.97200,4.52200,4.52200,53.71500,53.72500,0.09000,0.09000,2.62710,,37.02820,5.14890,5.14890,6.78390,5.66130,0.21860,0.72430,124.25480,1.98360,2.12310,1.16190,1.98360,,0.0578,0.0578
2022-06-30,104.97200,68.24100,36.73100,32.09900,32.09900,4.63200,0.42100,5.05300,1.14100,3.91200,,4.28500,,4.79600,4.63200,4.63200,53.71500,53.71500,0.09000,0.09000,2.56870,,34.99120,4.41260,4.41260,4.81370,4.56880,0.25010,0.92230,97.58170,1.75590,1.88250,1.02070,1.75590,,0.1531,0.1531
2022-03-31,108.27500,71.09500,37.18000,33.93200,33.93200,3.24800,2.31900,5.56700,1.00100,4.56600,,-6.57600,,-5.96900,3.24800,3.24800,53.70000,53.70000,-0.11000,-0.11000,2.74390,,34.33850,2.99980,2.99980,5.14150,-5.51280,0.22230,0.96710,93.06050,-2.23860,-2.37900,-1.35020,-2.23860,,-0.25580,-0.25580
2021-12-31,133.23800,84.03500,49.20300,35.52700,35.52700,13.67600,2.97900,16.65500,5.31500,11.34000,,3.68300,,2.50900,13.67600,13.67600,53.69460,53.71460,0.12000,0.12000,2.49380,,36.92870,10.26440,10.26440,12.50020,1.88310,0.26190,1.88230,47.81470,1.19720,1.26830,0.72390,1.19720,5.72910,0.2009,0.1139
2021-09-30,106.08300,68.42400,37.65900,33.28800,33.28800,4.37100,2.39500,6.76600,1.44600,5.32000,,5.70600,,5.31600,4.37100,4.37100,53.69460,53.71460,0.10000,0.10000,2.66790,,35.49960,4.12040,4.12040,6.37800,5.01120,0.22010,1.08530,82.92270,1.84690,1.95480,1.18380,1.84690,,0.0514,0.0514
2021-06-30,106.85500,66.86800,39.98700,32.08700,32.08700,7.90000,3.61500,11.51500,2.46100,9.05400,,10.75200,,10.44000,7.90000,7.90000,53.69500,53.71500,0.19000,0.19000,2.74720,,37.42170,7.39320,7.39320,10.77630,9.77020,0.22560,1.14020,78.93600,3.46850,3.67000,2.26980,3.46850,,-0.1122,-0.1122
2021-03-31,167.13400,112.58900,54.54500,33.11600,33.11600,21.42900,1.86700,23.29600,4.99100,18.30500,,20.65000,,21.12100,21.42900,21.42900,53.69500,53.71500,0.39000,0.39000,2.40420,,32.63550,12.82150,12.82150,13.93850,12.63720,0.33860,1.68210,53.50600,6.80150,7.19920,4.18390,6.80150,,0.22860,0.22860
2020-12-31,154.44100,105.34200,49.09900,35.78900,35.78900,13.31000,-0.36600,12.94400,2.76800,10.17600,,9.49700,,9.49400,13.31000,13.31000,53.69460,53.71460,0.18000,0.18000,2.48790,,31.79140,8.61820,8.61820,8.38120,6.14730,0.32710,1.59110,56.56550,3.17030,3.35910,2.01130,3.17030,5.57900,0.3202,0.2776
2020-09-30,119.59500,79.73400,39.86100,29.06100,29.06100,10.80000,2.86600,13.66600,3.13500,10.53100,,11.89800,,11.09400,10.80000,10.80000,53.69500,53.71500,0.21000,0.21000,2.92410,,33.33000,9.03050,9.03050,11.42690,9.27630,0.24450,1.18900,75.69650,4.05990,4.29730,2.43290,4.05990,,0.3676,0.3676
