Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,50.73200,26.52200,24.21000,9.97300,21.36000,31.33300,-7.12300,6.72000,-0.40300,0.50500,-0.90800,-0.90800,-0.90800,-3.90400,-7.12300,47.60400,47.60400,-0.02000,-0.02000,16.50420,47.72140,-14.04050,-14.04050,-0.79440,-1.78980,0.05960,0.39990,0.49910,180.31400,,-0.11980,-0.10670,-0.11440,,0.2844,0.2683
2024-06-30,48.62100,26.33700,22.28400,10.47200,22.50800,32.98000,-10.69600,6.43500,-4.26100,0.64800,-4.90900,-4.90900,-4.90900,-7.50500,-10.69600,47.53520,47.53520,-0.10000,-0.10000,13.84440,45.83210,-21.99870,-21.99870,-8.76370,-10.09650,0.05750,0.37310,0.45640,197.17960,,-0.65490,-0.58040,-0.62510,,0.0945,0.0642
2024-03-31,43.77600,29.63700,14.13900,11.35200,21.07300,32.42500,-18.28600,5.34600,-12.94000,0.25900,-13.19900,-13.19900,-13.19900,-14.96200,-18.28600,47.61100,47.61100,-0.28000,-0.28000,13.45490,32.29850,-41.77180,-41.77180,-29.55960,-30.15120,0.05190,0.44220,0.40250,223.59990,,-1.76390,-1.56570,-1.68230,,0.08450,0.05750
2023-12-31,56.58500,42.01300,14.57200,12.03300,30.35800,42.39100,-27.81900,5.42400,-22.39500,0.53900,-22.93400,-22.93400,-22.93400,-24.53200,-27.81900,49.16000,49.16000,-0.47000,-0.47000,10.42650,25.75240,-49.16320,-49.16320,-39.57760,-40.53020,0.06540,0.62050,0.46310,194.32750,,-3.02220,-2.64960,-2.88240,,0.0557,0.0372
2023-09-30,59.22400,38.60400,20.62000,12.03800,23.24000,35.27800,-14.65800,6.30400,-8.35400,-0.19300,-8.16100,-8.16100,-8.16100,-10.77200,-14.65800,48.96800,48.96800,-0.17000,-0.17000,10.02810,34.81700,-24.75010,-24.75010,-14.10580,-13.77990,0.06590,0.46450,0.50770,177.25700,,-1.04180,-0.90870,-0.99440,,-0.1649,-0.1866
2023-06-30,56.19900,37.50600,18.69300,12.90700,26.69900,39.60600,-20.91300,7.01800,-13.89500,0.43000,-14.32500,-14.32500,-14.32500,-17.25900,-20.91300,49.55440,49.55440,-0.29000,-0.29000,9.07030,33.26220,-37.21240,-37.21240,-24.72460,-25.48980,0.06110,0.42520,0.52500,171.41300,,-1.80070,-1.55740,-1.71890,,-0.3156,-0.3522
2023-03-31,47.77800,34.70600,13.07200,13.08200,24.13100,37.21300,-24.14100,5.40400,-18.73700,0.19400,-18.93100,-18.93100,-18.93100,-20.26800,-24.14100,49.88800,49.88800,-0.38000,-0.38000,8.51400,27.35990,-50.52750,-50.52750,-39.21680,-39.62280,0.05040,0.37430,0.50770,177.26860,,-2.32390,-1.99890,-2.21930,,-0.28070,-0.34640
2022-12-31,63.29800,42.16500,21.13300,13.25100,24.59100,37.84200,-16.70900,5.05200,-11.65700,23.70300,-35.36000,-35.36000,-35.36000,-12.31000,-16.70900,49.79200,49.79200,-0.72000,-0.72000,8.85480,33.38650,-26.39740,-26.39740,-18.41610,-55.86280,0.06610,0.47160,0.70790,127.13290,-4.06990,-4.26140,-3.69230,-4.06990,17.39240,-0.7958,-0.9121
2022-09-30,66.79100,45.35800,21.43300,14.68400,28.11800,42.80200,-21.36900,2.20700,-19.16200,-0.13000,-19.03200,-19.03200,-19.03200,-18.10500,-21.36900,49.83400,49.83400,-0.38000,-0.38000,7.32710,32.08970,-31.99380,-31.99380,-28.68950,-28.49490,0.06650,0.49180,0.81570,110.33760,,-2.22370,-1.89530,-2.12520,,-0.1013,-0.1572
2022-06-30,58.13600,37.60400,20.53200,14.08100,31.35000,45.43100,-24.89900,4.32400,-20.57500,-1.09900,-19.47600,-19.47600,-19.47600,-21.57700,-24.89900,49.75700,49.75700,-0.39000,-0.39000,8.52680,35.31720,-42.82890,-42.82890,-35.39120,-33.50080,0.05770,0.41980,0.78630,114.46300,,-2.24900,-1.93330,-2.14870,18.20270,-0.15,-0.1885
2022-03-31,83.29300,49.89100,33.40200,14.01000,26.29700,40.30700,-6.90500,1.79900,-5.10600,0.09100,-5.19700,-5.19700,-5.19700,-4.32500,-6.90500,49.65800,49.65800,-0.10000,-0.10000,8.93690,40.10180,-8.29000,-8.29000,-6.13020,-6.23940,0.08120,0.69910,0.85820,104.86580,,-0.58650,-0.50650,-0.56420,,-0.94810,-1.09840
2021-12-31,87.54800,45.16100,42.38700,12.99300,29.70100,42.69400,-0.30700,-0.03600,-0.34300,-1.29700,0.95400,0.95400,0.95400,1.84400,-0.30700,47.07900,48.60000,0.02000,0.01000,8.02000,48.41570,-0.35070,-0.35070,-0.39180,1.08970,0.08410,0.71660,1.37890,65.26920,0.10370,0.10790,0.09170,0.10370,18.53190,0.2074,0.1054
