Date,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-06-30,,,,,,,,,,,,,,,0.00000,,,,,,,,,
2018-12-31,0.36600,1.20300,,-1.72900,0.19600,-1.53300,-1.53300,-1.53300,-3.52200,-1.59200,-1.72900,0.00190,0.00220,-1816.36500,-1816.36500,0.54200,13.71430,-1990.86100,-1990.90500,-33.61840,-1990.90900,0.02200,-3250.4107,-3238.0983
2018-09-30,0.69900,1.02900,,-1.72800,-0.01100,-1.73900,-1.73900,-1.73900,-1.73900,-1.72400,-1.72800,0.00190,0.00190,-908.18270,-908.18270,3.40840,,-48.15840,-48.15840,-34.38120,-48.15840,,-0.1135,-0.1129
2018-06-30,0.65000,1.00000,,-1.65000,0.43600,-1.21400,-1.21400,-1.21400,-1.21400,-1.64700,-1.65000,0.00170,0.00170,-635.72790,-635.72790,5.09660,,-23.55910,-23.55910,-19.01330,-23.55910,,-0.6727,-0.6741
2018-03-31,0.99500,1.13900,,-2.13400,0.08600,-2.04800,-2.04800,-2.04800,-2.04800,-2.13100,-2.13400,0.00190,0.00190,-1071.65600,-1071.65600,5.09230,,-31.53200,-31.53200,-25.42520,-31.53200,,-0.47010,-0.47270
2017-12-31,0.91000,1.65900,,-2.57000,-0.14200,-2.71200,-2.71200,-2.71200,-2.71200,-2.56900,-2.57000,0.00160,0.00160,-363.27310,-363.27310,8.06880,,-32.32810,-32.32810,-28.35040,-32.32810,2.40610,-0.6679,-0.6759
2017-09-30,0.33800,0.77500,,-1.11300,0.08000,-1.03300,-1.03300,-1.03300,-1.03300,-1.11100,-1.11300,0.00190,0.00190,-544.90970,-544.90970,15.72170,,-10.03690,-10.03690,-9.40030,-10.03690,,0.4477,0.4459
2017-06-30,0.45500,0.97100,,-1.42600,-0.43700,-1.86300,-1.86300,-1.86300,-1.86300,-1.42500,-1.42600,0.00090,0.00090,-1998.00200,-1998.00200,18.57870,,-16.33070,-16.33070,-15.45290,-16.33070,,-1.1852,-1.1898
2017-03-31,0.24000,0.40500,,-0.64500,0.00900,-0.63600,-0.63600,-0.63600,-0.63600,-0.64400,-0.64500,0.00060,0.00060,-980.83740,-980.83740,,,,,,,,-0.16490,-0.16490
2016-12-31,,,,,,,,,,,,,,,0.00000,,,,,,,,1.5505,1.5558
2016-09-30,0.21900,0.34000,0.03300,-0.52600,-0.01000,-0.53600,-0.53600,-0.53600,-0.53600,-0.52500,-0.52600,0.00050,0.00050,-1035.32800,-1035.32800,,,,,,,,-0.6743,-0.6751
2016-06-30,0.22700,0.29900,-0.02600,-0.55200,0.00900,-0.54300,-0.54300,-0.54300,-0.53300,-0.55200,-0.55200,0.00050,0.00050,-1107.98300,-1107.98300,,,,,,,,-0.8762,-0.8807
