Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.79100,0.79100,27.22800,8.35200,,-34.78900,3.55500,-31.23400,-0.00800,-31.22600,-31.22600,-31.22600,-32.81200,-34.78900,84.70440,84.70440,-0.37000,-0.37000,10.39400,0.00010,0.00120,100.00000,-4398.10400,-4398.10400,-3948.67200,-3947.66100,0.00200,-15.95720,-19.86910,-8.03520,-15.95560,2.31440,-0.3129,-0.3028
2024-06-30,0.77100,0.77100,27.22000,8.30600,,-34.75500,3.57000,-31.18500,0.02200,-31.20700,-31.20700,-31.20700,-32.63600,-34.75500,82.09200,82.09200,-0.38000,-0.38000,10.61830,0.00010,0.00170,100.00000,-4507.78200,-4507.78200,-4044.74700,-4047.60100,0.00190,-14.05060,-16.98680,-7.49360,-14.04940,2.62680,-0.2159,-0.217
2024-03-31,0.85500,0.85500,23.42100,8.74300,,-31.30900,3.24800,-28.06100,0.00100,-28.06200,-28.06200,-28.06200,-29.19800,-31.30900,62.29700,62.29700,-0.45000,-0.45000,12.43780,0.00010,0.00290,100.00000,-3661.87100,-3661.87100,-3281.98800,-3282.10500,0.00250,-15.77550,-15.77550,-8.05210,-15.77380,2.74470,-0.48550,-0.49420
2023-12-31,0.26800,0.26800,23.29600,8.58900,-12.14500,-43.76200,3.49500,-40.26700,-0.86900,-39.39800,-39.39800,-39.39800,-44.19400,-43.76200,59.31440,59.31440,-0.66000,-0.66000,9.91790,0.00030,0.00350,100.00000,-16329.11000,-16329.11000,-15025.01000,-14700.75000,0.00070,-21.32500,-21.32500,-10.92290,-21.31860,3.06200,-0.4446,-0.4616
2023-09-30,0.14800,0.14800,26.78800,8.98600,,-35.62600,3.49800,-32.12800,0.59200,-32.72000,-32.72000,-32.72000,-32.27600,-35.62600,59.44820,59.44820,-0.55000,-0.55000,8.50030,0.00090,0.00410,100.00000,-24071.62000,-24071.62000,-21708.11000,-22108.11000,0.00040,-14.92500,-14.92500,-8.23040,-14.91130,3.68360,-0.2269,-0.2813
2023-06-30,0.09900,0.09900,22.72700,8.22900,-4.22000,-35.07700,2.73600,-32.34100,0.95000,-33.29100,-33.29100,-33.29100,-31.80500,-35.07700,59.25100,59.25100,-0.56000,-0.56000,8.41710,0.00150,0.00450,100.00000,-35431.31000,-35431.31000,-32667.68000,-33627.27000,0.00020,-13.44710,-13.44710,-7.98040,-13.42750,4.17430,-0.3195,-0.3945
2023-03-31,1.72000,1.72000,24.89900,8.90200,,-32.08100,2.02500,-30.05600,1.20800,-31.26400,-31.26400,-31.26400,-29.11700,-32.08100,58.61000,58.61000,-0.53000,-0.53000,9.24480,0.00160,0.04190,100.00000,-1865.17400,-1865.17400,-1747.44200,-1817.67400,0.00380,-11.27950,-11.27950,-6.85270,-11.26190,4.68940,-0.49850,-0.58370
2022-12-31,0.52100,0.52100,25.58500,8.24200,,-33.30600,1.65600,-31.65000,0.03200,-31.68200,-31.68200,-31.68200,-30.39900,-33.30600,57.75580,57.75580,-0.54000,-0.54000,10.72280,0.01450,0.03910,100.00000,-6392.70600,-6392.70500,-6074.85700,-6081.00000,0.00110,-10.46520,-10.46520,-6.51160,-10.31330,5.50370,-0.3942,-0.5043
2022-09-30,2.22400,2.22400,25.89800,8.06400,,-31.73800,1.01400,-30.72400,0.02500,-30.74900,-30.74900,-30.74900,-28.88600,-31.73800,57.97400,57.97400,-0.53000,-0.53000,13.44040,0.02110,0.03640,100.00000,-1427.06800,-1427.06800,-1381.47500,-1382.59900,0.00430,-9.31210,-9.31210,-6.00860,-9.11590,5.67510,-0.4234,-0.5914
2022-06-30,1.39600,1.39600,24.49400,8.25300,,-31.35100,0.38100,-30.97000,0.01800,-30.98800,-30.98800,-30.98800,-29.60700,-31.35100,57.68500,57.68500,-0.54000,-0.54000,17.79370,0.02640,0.03400,100.00000,-2245.77400,-2245.77400,-2218.48100,-2219.77100,0.00260,-8.65700,-8.65700,-5.81840,-8.42810,6.18670,-0.4597,-0.6402
