Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.01440,0.02130,-0.00690,0.19580,1.09320,1.28910,-1.29600,-0.07020,-1.36620,-1.36620,-1.36620,-1.37830,-1.18570,-1.29600,9.43790,9.43790,-0.15000,-0.15000,2.79730,,-48.06690,-8995.33500,-8995.33500,-9482.72400,-9567.00200,0.00450,0.84990,105.89230,-54.43400,-111.98660,-42.85300,-54.43400,0.24990,-0.06,-0.06
2024-06-30,0.01100,0.02330,-0.01230,0.20210,0.92110,1.12320,-1.13560,-0.10250,-1.23810,-1.23810,-1.23810,-1.23810,-0.98290,-1.13560,8.21700,8.21700,-0.15000,-0.15000,1.28000,0.47320,-112.32340,-10350.57000,-10350.57000,-11285.00000,-11285.00000,0.00360,0.55650,161.71450,-75.39260,-304.71840,-40.08250,-75.39240,0.20000,0.0105,0.0105
2024-03-31,0.01010,0.01950,-0.00940,0.23900,1.02690,1.26590,-1.27530,-1.12380,-2.39910,-2.39910,-2.39910,-2.39910,-0.89480,-1.27530,5.44260,5.44260,-0.44000,-0.44000,2.07750,0.26750,-92.56480,-12609.32000,-12609.32000,-23720.60000,-23720.60000,0.00270,0.58760,153.17080,-95.75540,-182.02830,-64.36630,-95.75530,0.35030,-0.41130,-0.41130
2023-12-31,0.01380,0.01940,-0.00560,0.22070,0.90000,1.12070,-1.12630,-0.13900,-1.26530,-1.26530,-1.26530,-1.26530,-0.74310,-1.12630,0.55680,0.55680,-1.73000,-1.73000,0.40450,-1.54630,-40.72620,-8163.66600,-8163.66600,-9171.17400,-9171.17400,0.00560,1.03970,86.56230,173.81310,66.71600,-51.44160,173.81260,-0.88190,-1.0834,-1.0834
2023-09-30,0.01910,0.01960,-0.00050,0.19830,0.96340,1.16160,-1.16220,0.16420,-0.99800,-0.99800,-0.99800,-0.99800,-0.99350,-1.16220,0.53290,0.53290,-1.87000,-1.87000,0.15390,-0.87870,-2.58590,-6095.85600,-6095.85600,-5234.77500,-5234.77500,0.01240,0.89980,100.02670,120.53550,49.79620,-64.67070,120.53550,-1.60950,-1.6811,-1.6811
2023-06-30,0.01710,0.01930,-0.00220,0.25000,1.15400,1.40400,-1.40620,-0.05840,-1.46460,-1.46460,-1.46460,-1.46460,-1.33720,-1.40620,0.51800,0.51800,-2.83000,-2.83000,0.40020,11.62460,-13.05650,-8236.88000,-8236.88000,-8578.70900,-8578.70900,0.00850,1.64710,54.64210,-14330.90000,122.67890,-73.06470,-14326.10000,0.01990,-1.7433,-1.7433
2023-03-31,0.02550,0.01750,0.00800,0.20440,0.98490,1.18920,-1.18130,-0.00220,-1.18350,-1.18350,-1.18350,-1.18350,-1.14190,-1.18130,0.49620,0.49620,-2.39000,-2.39000,0.91730,,31.47630,-4637.86800,-4637.86800,-4646.48600,-4646.48600,0.01370,1.48490,60.61130,-105.19360,2039.36000,-63.57780,-105.19360,2.28960,-2.04190,-2.04190
2022-12-31,0.02250,0.01730,0.00520,0.21900,0.72870,0.94770,-0.94250,-0.00220,-0.94460,-0.94460,-0.94460,-0.94460,-0.90320,-0.94250,0.38160,0.38160,12.71000,12.71000,2.47010,,23.22820,-4184.99000,-4184.99000,-4194.53900,-4194.53800,0.00770,1.21280,74.21000,-42.43610,-92.99630,-32.40930,-42.43610,4.53030,-5.1672,-5.1667
2022-09-30,0.01820,0.01700,0.00120,0.29100,1.34350,1.63450,-1.63330,0.00020,-1.63300,-1.63300,-1.63300,-1.63300,-1.59860,-1.63330,0.48880,0.48880,-3.20000,-3.20000,2.46480,,6.55250,-8963.12100,-8963.12100,-8961.87600,-8961.87600,0.00440,0.71460,125.94170,-55.68290,-95.19120,-39.81880,-55.68290,5.99890,-2.2463,-2.2463
2022-06-30,0.01070,0.01420,-0.00360,0.35320,1.85590,2.20920,-2.21270,-1.34210,-3.55490,-3.55490,-3.55490,-3.68310,-2.17790,-2.21270,0.48880,0.48880,-7.52000,-7.52000,3.17740,,-33.46760,-20726.38000,-20726.38000,-33297.70000,-34498.59000,0.00190,2.11950,42.46250,-83.84970,-117.92260,-63.24270,-83.84960,8.67100,-0.0895,-0.0874
2022-03-31,0.00900,0.01670,-0.00770,0.20480,0.56060,0.76540,-0.77310,-0.16300,-0.93610,-0.93610,-0.93610,-1.22340,-0.73820,-0.77310,0.05660,0.05660,-21.60000,-21.60000,0.06470,-0.28860,-85.37560,-8565.25500,-8565.25500,-10371.02000,-13554.21000,0.00500,0.72090,124.83940,6.67110,11.47000,-51.77510,13.50850,-122.37700,-5.46640,-5.46640
2021-12-31,0.01200,0.01620,-0.00420,0.18250,0.88200,1.06450,-1.06870,0.05480,-1.01400,-1.01400,-1.01400,-1.01400,-1.01910,-1.06870,0.05660,0.05660,-23.04000,-23.04000,0.09610,-0.34910,-35.00000,-8905.83400,-8905.83400,-8450.00100,-8450.00100,0.00640,1.91080,47.10000,7.90220,14.75140,-53.66600,17.69840,-101.21520,-13.8204,-13.8204
2021-09-30,0.01090,0.01610,-0.00520,0.27530,0.51680,0.79200,-0.79730,-2.15520,-2.95240,-2.95240,-2.95240,-3.24320,-0.75150,-0.79730,0.05660,0.05660,-57.28000,-57.28000,,,-48.05340,-7337.82800,-7337.82800,-27173.66000,-29849.54000,,,,,,,,,-14.6456,-14.6456
2021-06-30,0.02560,0.02030,0.00530,0.16270,0.46920,0.63190,-0.62660,0.16080,-0.46580,-0.46580,-0.46580,-0.67880,-0.57740,-0.62660,0.05660,0.05660,-12.00000,-12.00000,,,20.74940,-2445.83900,-2445.83900,-1818.28200,-2649.34800,,,,,,,,,-8.6954,-8.6954
2021-03-31,0.01180,0.01660,-0.00470,0.16780,0.28810,0.45580,-0.46050,-0.05730,-0.51790,-0.51790,-0.51790,-0.73080,-0.41570,-0.46050,0.05660,0.05660,-12.96000,-12.96000,,,-40.02540,-3893.00100,-3893.00100,-4377.51500,-6177.33700,,,,,,,,,-4.35410,-4.35410
2020-12-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
