Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,,,,17.74100,6.01300,,-23.75400,2.55100,-21.20300,-21.20300,-21.20300,-21.20300,-24.67500,-23.75400,60.71500,60.71500,-0.35000,-0.35000,7.32620,,,,,,,,,-13.79690,-16.30240,-10.85600,-13.79690,2.58500,-0.2402,-0.2401
2024-06-30,,,,13.95300,6.07900,,-20.03200,2.73100,-17.30100,-17.30100,-17.30100,-17.30100,-21.08300,-20.03200,60.49600,60.49600,-0.29000,-0.29000,9.53060,,,,,,,,,-10.18940,-11.84040,-8.30230,-10.18940,2.88200,0.0118,0.0124
2024-03-31,16.14600,0.47500,15.67100,13.02900,8.24700,21.27600,-5.60500,2.34900,-3.25600,-3.25600,-3.25600,-3.25600,-5.77700,-5.60500,51.28900,51.28900,-0.06000,-0.06000,12.19000,97.05810,-34.71450,-34.71450,-20.16600,-20.16600,0.07330,2.01830,44.59310,-1.76810,-2.02960,-1.47850,-1.76810,3.13170,-0.40380,-0.40840
2023-12-31,,,,11.60700,6.16000,,-17.76700,2.17000,-15.59700,-15.59700,-15.59700,-15.59700,-18.51800,-17.76700,39.90500,39.90500,-0.34000,-0.34000,4.83730,,,,,,,,,-12.40770,-15.38230,-8.97790,-12.40770,2.80870,-0.4302,-0.4361
2023-09-30,,,,14.68700,10.66700,,-25.35400,2.30500,-23.04900,-23.04900,-23.04900,-23.04900,-26.31100,-25.35400,41.33200,41.33200,-0.56000,-0.56000,4.90940,,,,,,,,,-16.70870,-19.92960,-12.34600,-16.70870,3.11430,-0.3552,-0.3442
2023-06-30,,,,11.39100,6.73000,,-18.12100,2.22000,-15.90100,-15.90100,-15.90100,-15.90100,-18.85700,-18.12100,38.38900,38.38900,-0.41000,-0.41000,16.18470,,,,,,,,,-10.94550,-10.94550,-9.07440,-10.94550,3.68930,-0.2273,-0.2763
2023-03-31,,,,11.90100,9.05300,,-20.95400,1.71100,-19.24300,-19.24300,-19.24300,-19.24300,-21.37100,-20.95400,35.35200,35.35200,-0.54000,-0.54000,13.46280,,,,,,,,,-12.64630,-12.64630,-10.52660,-12.64630,4.12160,-0.75920,-0.88390
2022-12-31,,,,29.85400,8.11900,,-37.97300,1.87200,-36.10100,-36.10100,-36.10100,-36.10100,-37.78100,-37.97300,33.03300,33.03300,-1.04000,-1.04000,5.89910,,,,,,,,,-22.44750,-22.44750,-17.07880,-22.44750,4.60040,-0.4948,-0.549
2022-09-30,,,,19.03400,9.35900,,-28.39300,0.71900,-27.67400,-27.67400,-27.67400,-27.67400,-28.19300,-28.39300,32.56100,32.56100,-0.85000,-0.85000,10.62100,,,,,,,,,-14.66200,-14.66200,-12.36030,-14.66200,5.79190,-0.626,-0.757
2022-06-30,,,,17.17000,8.55600,,-25.72600,0.16400,-25.56200,-25.56200,-25.56200,-25.56200,-25.56700,-25.72600,32.45200,32.45200,-0.79000,-0.79000,15.19140,,,,,,,,,-12.05950,-12.05950,-10.53830,-12.05950,6.52520,-0.7271,-0.7311
2022-03-31,,,,20.07100,11.31800,,-31.38900,0.00900,-31.38000,-31.38000,-31.38000,-31.38000,-31.23100,-31.38900,32.31700,32.31700,-0.97000,-0.97000,13.09520,,,,,,,,,-13.43820,-13.43820,-12.41780,-13.43820,7.21280,-0.85650,-0.86100
2021-12-31,,,,7.22600,9.20000,,-16.42600,-0.40300,-16.82900,-16.82900,-16.82900,-16.82900,-16.26800,-16.42600,8.49300,8.49300,32.81000,32.81000,14.89590,,,,,,,,,-6.44020,-6.44020,-6.00990,-6.44020,8.10950,10.4784,10.7561
2021-09-30,,,,7.84900,3.77200,,-11.62100,-2.55400,-14.17500,-14.17500,-14.17500,-14.17500,-11.46200,-11.62100,1.58200,1.58200,-8.96000,-8.96000,7.97860,,,,,,,,,19.84210,19.84210,-10.16220,19.84210,-43.56040,-3.8499,-3.8241
2021-06-30,,,,3.20500,2.73600,,-5.94100,-2.20500,-8.14600,-8.14600,-8.14600,-8.14600,-5.72400,-5.94100,1.47100,1.47100,-5.54000,-5.54000,,,,,,,,,,,,,,,3.0767,2.8346
2021-03-31,,,,32.77400,2.95500,,-35.72900,-1.09600,-36.82500,-36.82500,-36.82500,-36.82500,-35.61600,-35.72900,1.35100,1.35100,-27.26000,-27.26000,,,,,,,,,,,,,,,-13.86460,-13.98960
2020-12-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,6.3575,7.7206
2020-09-30,,,,2.42500,0.76700,,-3.19200,0.00100,-3.19100,-3.19100,-3.19100,-3.19100,-3.19200,-3.19200,1.08800,1.08800,-2.93000,-2.93000,,,,,,,,,,,,,,,-6.3575,-7.7206
