Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,,,44.74400,10.64800,0.00000,-55.39200,-13.61800,-69.01000,0.01800,-69.02800,-69.02800,-69.02800,-55.39200,-55.39200,50.88900,50.88900,-1.06000,-1.06000,7.31820,,,,,,,,,-40.23310,-21.08430,-16.39270,-21.08430,6.37000,-0.3587,-0.3587
2024-06-30,,,32.63600,11.51100,,-44.14700,5.31000,-38.83700,,-38.83700,-38.83700,-38.83700,-44.14700,-44.14700,45.31630,45.31630,-0.59000,-0.59000,19.69700,,,,,,,,,-17.76910,-10.37360,-8.90620,-10.37360,7.37230,-1.2218,-1.2218
2024-03-31,,,34.92800,12.84600,,-47.77400,3.94900,-43.82500,0.03200,-43.85700,-43.85700,-43.85700,-47.77400,-47.77400,36.51270,36.51270,-0.72000,-0.72000,11.38010,,,,,,,,,134.29180,-28.80230,-8.99440,-28.80230,4.22630,-0.78170,-0.78170
2023-12-31,0.00000,0.00000,33.68200,14.07200,1.84000,-45.91400,-17.26600,-63.18000,0.01400,-63.19400,-63.19400,-63.18000,-48.23200,-45.91400,6.89710,6.89710,32.13000,32.13000,10.68010,,,,,,0.00000,,,6936.67800,-34.34160,-18.48540,-34.34160,5.10350,1.5574,1.5157
2023-09-30,,,24.66000,8.58400,14.60900,-18.33700,-21.76700,-40.10400,0.00300,-40.10700,-40.10700,-40.10700,-18.33700,-18.33700,4.29300,4.29300,-0.86000,-0.86000,4.58970,,,,,,,,,16.34340,16.34340,-19.35060,16.34340,-60.60810,-7.0764,-7.09
2023-06-30,0.68800,0.68800,17.38600,12.06200,,-159.24600,-57.82800,-217.07400,-0.00700,-217.06700,-217.06700,-217.08100,-158.83000,-159.24600,3.82260,3.82260,-40.14000,-40.14000,1.03300,100.00000,-23146.22000,-23146.22000,-31551.45000,-31552.47000,0.00280,0.41800,215.31980,104.67670,104.67670,-89.13390,104.67670,-64.00120,-4.2901,-4.1659
2023-03-31,0.19800,0.19800,13.77600,5.22800,,-18.80600,0.34800,-18.45800,-0.03600,-18.42200,-18.42200,-18.42200,-18.25800,-18.80600,3.77050,3.77050,-4.89000,-4.89000,3.51150,100.00000,-9497.97900,-9497.97900,-9322.22200,-9304.04100,0.00380,0.60000,150.00000,-54.74260,-54.74270,-35.12100,-54.74270,12.86490,-4.67680,-4.67680
2022-12-31,0.16800,0.16800,14.25100,5.07900,,-19.16200,0.40400,-18.75800,0.06400,-18.82200,-18.82200,-18.82200,-18.82400,-19.16200,3.37120,3.37120,-4.02000,-4.02000,4.24800,100.00000,-11405.95000,-11405.95000,-11165.47000,-11203.57000,0.00240,0.44800,200.89290,-37.41570,-37.41580,-26.45620,-37.41580,19.24450,-7.3175,-7.3187
2022-09-30,0.17400,0.17400,11.97700,6.95200,,-18.75500,0.31200,-18.44300,-0.20900,-18.23400,-18.23400,-18.23400,-18.40500,-18.75500,3.76800,3.76800,-4.84000,-4.84000,4.65090,100.00000,-10778.74000,-10778.74000,-10599.43000,-10479.31000,0.00190,0.26010,346.03450,-26.99130,-26.99130,-19.91350,-26.99130,27.45650,-2.182,-2.1809
2022-06-30,0.62500,0.62500,15.37300,7.67500,,-22.42300,0.10900,-22.31400,0.00900,-22.32300,-22.32300,-22.32300,-21.98600,-22.42300,3.28840,3.28840,-6.75000,-6.75000,6.09290,100.00000,-3587.68000,-3587.68000,-3570.24000,-3571.68000,0.00590,1.30480,68.97600,-26.52540,-26.52540,-20.91990,-26.52540,34.39300,-4.3247,-4.3219
