Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,,,2.22390,2.21950,-4.45030,0.42890,-4.02140,-4.02140,-4.02140,-4.02140,-4.44340,-4.45030,15.22100,15.22100,-0.26000,-0.26000,15.31080,,,,,,,,,-12.56290,-12.56290,-11.31140,-12.56290,2.10300,-0.3555,-0.3555
2024-06-30,3.42530,3.42530,4.56620,2.08840,-3.23610,0.34440,-2.89170,-2.89170,-2.89170,-2.89170,-3.22930,-3.23610,14.91500,14.91500,-0.19000,-0.19000,10.42680,,,100.00000,-94.47790,-94.47790,-84.42190,-84.42190,0.08580,-8.20180,-8.20180,-7.24030,-8.20180,2.31630,-0.3105,-0.3105
2024-03-31,0.12680,0.12680,3.13820,2.43980,-5.48300,0.43110,-5.05190,-5.05190,-5.05190,-5.05190,-5.47620,-5.48300,14.45800,14.45800,-0.35000,-0.35000,8.64390,,,100.00000,-4322.83800,-4322.83800,-3982.96500,-3982.96500,0.00340,-15.59570,-15.59570,-13.51020,-15.59570,2.21670,0.14840,0.14670
2023-12-31,,,1.60960,2.37740,-4.18710,0.17470,1.98980,1.26600,1.26600,1.26600,-4.18020,1.81520,10.16390,10.16390,0.14000,0.14000,8.15450,,,,,,,,,3.55260,3.55260,3.06810,3.55260,2.47380,-0.2013,-0.2197
2023-09-30,,,1.59220,1.96500,-3.56410,0.14210,-3.42200,-3.42200,-3.42200,-3.42200,-3.55720,-3.56410,9.94800,9.94800,-0.34000,-0.34000,6.54400,,,,,,,,,-33.91850,-33.91850,-28.76720,-33.91850,1.01420,-0.2228,-0.2227
2023-06-30,,,1.06800,1.82960,-3.25430,0.15900,-3.09540,-3.09540,-3.09540,-3.09540,-3.24750,-3.25430,9.94800,9.94800,-0.31000,-0.31000,11.78310,,,,,,,,,-23.36480,-23.36480,-21.39280,-23.36480,1.33170,-0.2793,-0.3145
2023-03-31,,,1.23170,1.66150,-2.90010,0.16360,-2.73650,-2.73650,-2.73650,-2.73650,-2.89330,-2.90010,9.72200,9.72200,-0.28000,-0.28000,13.68580,,,,,,,,,-16.94160,-16.94160,-15.70990,-16.94160,1.62370,-0.39740,-0.39740
2022-12-31,,,1.09800,0.89800,-2.00280,-1.10430,-3.10800,-3.10800,-3.10800,-3.10800,-1.99590,-2.00280,2.59020,2.59020,-1.20000,-1.20000,1.87910,2.83590,-1.54470,,,,,,,18.08320,37.02850,-37.01950,-67.98000,-3.24080,-0.858,-1.0086
2022-09-30,,,1.27830,1.23610,-2.66190,-1.35900,-4.02080,-4.02080,-4.02080,-4.02080,-2.64940,-2.66190,2.59000,2.59000,-1.55000,-1.55000,,,,,,,,,,,,,,,-0.6145,-0.6666
2022-06-30,,,1.44740,1.99480,-3.44620,0.03330,-3.41290,-3.41290,-3.41290,-3.41290,-3.44220,-3.44620,2.59000,2.59000,-1.32000,-1.32000,,,,,,,,,,,,,,,-0.556,-0.556
2022-03-31,,,0.97880,0.71750,-1.70040,-0.00300,-1.70340,-1.70340,-1.70340,-1.70340,-1.69630,-1.70040,2.59000,2.59000,-0.66000,-0.66000,,,,,,,,,,,,,,,-0.76630,-0.76630
2021-12-31,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,0,0
