Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,3.64300,1.73500,1.90800,5.86500,7.00600,12.87100,-10.96300,0.63700,-10.32600,-10.32600,-10.32600,-10.32600,-10.70400,-10.96300,72.67900,72.67900,-0.14000,-0.14000,6.43580,52.37440,-300.93330,-300.93330,-283.44770,-283.44770,0.05250,0.24630,0.40190,223.92540,-17.70520,-17.70520,-14.88200,-17.70520,0.79950,-0.1145,-0.1167
2024-06-30,3.63100,1.82800,1.80300,5.95900,6.69000,12.64900,-10.84600,0.69000,-10.15600,-10.15600,-10.15600,-10.15600,-10.59300,-10.84600,72.04100,72.04100,-0.14000,-0.14000,8.08480,49.65570,-298.70560,-298.70560,-279.70260,-279.70260,0.04740,0.24490,0.48480,185.62660,-15.21250,-15.21250,-13.25680,-15.21250,0.92480,-0.13,-0.131
2024-03-31,3.29500,1.94100,1.35400,5.57000,6.43400,12.00400,-10.65000,0.80200,-9.84800,-9.84800,-9.84800,-9.84800,-10.38700,-10.65000,71.93400,71.93400,-0.14000,-0.14000,9.08980,41.09260,-323.21700,-323.21700,-298.87710,-298.87710,0.03860,0.26600,0.52820,170.38540,-13.01990,-13.01990,-11.52580,-13.01990,1.05040,-0.17390,-0.17590
2023-12-31,2.68600,1.65200,1.03400,5.96200,6.70100,12.66300,-11.62900,0.94500,-10.68400,-10.68400,-10.68400,-10.68400,-11.36600,-11.62900,71.31600,71.31600,-0.15000,-0.15000,10.14010,38.49590,-432.94850,-432.94870,-397.76620,-397.76620,0.02850,0.25100,0.65020,138.41770,-12.65890,-12.65890,-11.34190,-12.65890,1.17390,-0.1402,-0.1439
2023-09-30,2.33000,1.20600,1.12400,5.73900,7.14400,12.88300,-11.75900,1.00200,-10.75700,-10.75700,-10.75700,-10.75700,-11.48100,-11.75900,71.46400,71.46400,-0.15000,-0.15000,11.96140,48.24030,-504.67810,-504.67810,-461.67380,-461.67380,0.02260,0.17380,0.74700,120.47640,-11.47210,-11.47210,-10.43720,-11.47210,1.30970,-0.1209,-0.1245
2023-06-30,3.38100,1.93700,1.44400,5.33100,7.80500,13.13600,-11.69200,1.05500,-10.63700,-10.63700,-10.63700,-10.63700,-11.43300,-11.69200,71.20100,71.20100,-0.15000,-0.15000,13.41920,42.70930,-345.81480,-345.81480,-314.61110,-314.61110,0.03000,0.32380,0.73320,122.74180,-10.29810,-10.29810,-9.44620,-10.29810,1.44790,-0.1347,-0.1379
2023-03-31,2.63500,1.48000,1.15500,5.46100,8.72900,14.19000,-13.03500,0.87500,-12.16000,-12.16000,-12.16000,-12.16000,-12.78100,-13.03500,70.86400,70.86400,-0.17000,-0.17000,14.64040,43.83300,-494.68690,-494.68690,-461.48010,-461.48010,0.02160,0.25770,0.70620,127.43450,-10.78620,-10.78620,-9.95890,-10.78620,1.58660,-0.19040,-0.19120
2022-12-31,1.42400,1.12400,0.30000,5.21900,8.71000,13.92900,-13.62900,0.57000,-13.05900,-13.05900,-13.05900,-13.05900,-13.36800,-13.62900,70.44900,70.44900,-0.18000,-0.18000,14.61590,21.06740,-957.09330,-957.09310,-917.06480,-917.06480,0.01060,0.24320,0.54660,164.64180,-10.55510,-10.55510,-9.74180,-10.55510,1.75050,-0.2185,-0.2207
2022-09-30,2.34800,1.66000,0.68800,7.33800,6.63200,13.97000,-13.28200,0.11100,-13.17100,-13.17100,-13.17100,-13.17100,-13.04400,-13.28200,70.51000,70.51000,-0.19000,-0.19000,11.53510,29.30150,-565.67290,-565.67290,-560.94540,-560.94540,0.01580,0.41480,0.56210,160.10650,-9.75750,-9.75750,-8.87950,-9.75750,1.91270,-0.18,-0.1825
2022-06-30,1.53300,1.69800,-0.16500,7.26500,15.76200,23.02700,-23.19200,0.03300,-23.15900,-23.15900,-23.15900,-23.15900,-22.92900,-23.19200,70.35000,70.35000,-0.33000,-0.33000,15.01970,-10.76320,-1512.85000,-1512.85000,-1510.69800,-1510.69800,0.00950,0.36550,0.49340,182.40700,-15.38720,-15.38720,-14.32150,-15.38720,2.13890,-0.2403,-0.2395
