Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,67.82600,46.62000,21.20600,17.47100,17.47100,3.73500,-0.02200,3.71300,0.42700,3.28600,3.28600,3.28600,8.13500,3.73500,9.16000,9.28200,0.36000,0.35000,3.58830,0.00230,0.01120,31.26530,5.50670,5.50670,5.47430,4.84480,0.20960,2.99830,1.36850,65.76370,1.22270,3.09220,1.01560,1.21990,29.21590,0.7274,0.3046
2024-06-30,66.70700,44.05200,22.65500,17.55600,17.55600,5.09900,0.12900,5.22800,0.82000,4.40800,4.40800,4.40800,9.21200,5.09900,9.06400,9.19600,0.49000,0.48000,2.96370,0.00460,0.01360,33.96200,7.64390,7.64390,7.83730,6.60800,0.20610,2.43010,1.37830,65.29780,1.68060,4.50310,1.36200,1.67280,28.68100,0.97040,0.57090
2024-03-31,70.91300,46.87800,24.03500,14.83100,14.83100,9.20400,0.40000,9.60400,2.71400,6.89000,6.89000,6.89000,12.90700,9.20400,8.23900,8.35200,0.82000,0.81000,3.13910,0.00800,0.01850,33.89370,12.97930,12.97930,13.54340,9.71610,0.24660,2.69140,1.46860,61.28140,3.05990,6.91790,2.39610,3.03540,25.47450,0.8329,0.2824
2023-12-31,65.16600,44.23000,20.93600,16.64200,16.64200,4.29400,-0.02300,4.27100,0.92300,3.34800,3.34800,3.34800,8.05700,4.29400,8.61500,8.75200,0.39000,0.38000,3.36590,0.01090,0.02160,32.12720,6.58930,6.58930,6.55400,5.13760,0.23180,2.73400,1.47680,60.94190,1.53250,3.66660,1.19110,1.51570,24.74460,1.0627,0.7081
2023-09-30,62.80400,42.67900,20.12500,18.48200,18.48200,1.64300,-0.84100,0.80200,0.34200,0.46000,0.46000,0.46000,4.93100,1.64300,7.81900,7.94800,0.06000,0.06000,2.31840,0.26950,0.38550,32.04410,2.61610,2.61610,1.27700,0.73240,0.25300,2.72100,1.40450,64.08080,0.33270,5.26920,0.18530,0.24310,17.32920,1.0387,0.7102
2023-06-30,60.59800,41.88800,18.71000,14.07000,14.07000,4.64000,-0.87800,3.76200,0.81300,2.94900,2.94900,2.94900,7.43000,4.64000,7.62200,7.76200,0.39000,0.38000,2.68080,0.29390,0.43680,30.87560,7.65700,7.65700,6.20810,4.86650,0.29800,2.76000,1.41310,63.68970,2.66350,15.91900,1.45040,1.88060,14.48650,0.97090,0.61440
2023-03-31,62.06700,42.91700,19.15000,13.29500,13.29500,5.85500,-1.02900,4.82600,1.16800,3.65800,3.65800,3.65800,8.56700,5.85500,7.55100,7.64500,0.49000,0.48000,2.38710,0.31990,0.49300,30.85380,9.43330,9.43330,7.77550,5.89360,0.31710,2.53510,1.37300,65.54790,3.67160,22.20880,1.86870,2.49690,13.17330,0.3943,0.0955
2022-12-31,57.40200,41.00200,16.40000,13.23700,13.23700,3.16300,-1.03900,2.12400,0.52300,1.60100,1.60100,1.60100,5.98700,3.16300,7.55900,7.66600,0.21000,0.21000,2.41980,0.33000,0.51600,28.57040,5.51030,5.51030,3.70020,2.78910,0.30460,2.42850,1.50740,59.70370,1.68020,13.78390,0.84950,1.12570,12.60370,1.1383,0.8298
2022-09-30,56.43900,39.67200,16.76700,13.14100,13.14100,3.62600,-0.53700,3.08900,0.73200,2.35700,2.35700,2.35700,6.40400,3.62600,7.55000,7.64600,0.31000,0.31000,2.51570,0.34490,0.55040,29.70820,6.42460,6.42460,5.47320,4.17620,0.30230,2.36650,1.39270,64.62130,2.55290,20.80320,1.26230,1.67240,12.21590,0.4169,0.1073
2022-06-30,54.66100,38.62300,16.03800,12.43400,12.43400,3.60400,-0.15600,3.44800,0.37600,3.07200,3.07200,3.07200,6.24500,3.60400,7.53500,7.62900,0.41000,0.40000,2.47730,0.35640,0.57820,29.34090,6.59340,6.59340,6.30800,5.62010,0.30030,2.58590,1.41740,63.49610,3.43040,44.70960,1.68760,2.20770,11.86590,0.26780,-0.04540
