Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,48.00000,48.00000,123.00000,30.00000,,-105.00000,13.00000,-92.00000,0.00000,-92.00000,-92.00000,-92.00000,-109.00000,-105.00000,91.40000,91.40000,-1.00000,-1.00000,5.24190,0.07680,0.08320,100.00000,-218.75000,-218.75000,-191.66670,-191.66670,0.03830,3.00000,30.00000,-16.28320,-16.28320,-7.34820,-15.03270,6.17490,0.2879,0.2771
2024-06-30,39.00000,39.00000,115.00000,30.00000,,-106.00000,13.00000,-93.00000,,-93.00000,-93.00000,-93.00000,-111.00000,-106.00000,91.10000,91.10000,-1.02000,-1.02000,5.13570,,,100.00000,-271.79490,-271.79490,-238.46150,-238.46150,0.03290,1.39290,64.61540,-14.64570,-14.64570,-7.84150,-14.64570,6.95510,-1.0306,-1.0281
2024-03-31,145.00000,145.00000,109.00000,32.00000,-20.00000,-16.00000,12.00000,-4.00000,0.00000,-4.00000,-4.00000,-4.00000,-19.00000,-16.00000,86.20000,86.20000,-0.05000,-0.05000,5.21570,,,100.00000,-11.03450,-11.03450,-2.75860,-2.75860,0.11210,4.14290,21.72410,-0.56580,-0.56580,-0.30940,-0.56580,7.77780,-0.02320,-0.06960
2023-12-31,31.00000,31.00000,93.00000,29.00000,,-91.00000,11.00000,-80.00000,1.00000,-81.00000,-81.00000,-81.00000,-94.00000,-91.00000,74.00000,74.00000,-1.08000,-1.08000,4.51630,,,100.00000,-293.54840,-293.54840,-258.06450,-261.29030,0.02830,0.81580,110.32260,-17.53250,-17.53250,-7.39730,-17.53250,6.11920,-1.2128,-1.296
2023-09-30,32.00000,32.00000,82.00000,30.00000,,-80.00000,11.00000,-69.00000,2.00000,-71.00000,-71.00000,-71.00000,-84.00000,-80.00000,74.60000,74.60000,-0.94000,-0.94000,4.41000,,,100.00000,-250.00000,-250.00000,-215.62500,-221.87500,0.02690,0.61540,146.25000,-13.65390,-13.65390,-5.96140,-13.65390,6.95190,-0.8048,-0.9367
2023-06-30,29.00000,29.00000,84.00000,28.00000,,-83.00000,9.00000,-74.00000,1.00000,-75.00000,-75.00000,-75.00000,-85.00000,-83.00000,73.20000,73.20000,-1.04000,-1.04000,5.47780,,,100.00000,-286.20690,-286.20690,-255.17240,-258.62070,0.02380,0.85290,105.51720,-13.25090,-13.25090,-6.14750,-13.25090,7.59730,-0.775,-0.8432
2023-03-31,25.00000,25.00000,81.00000,30.00000,,-86.00000,8.00000,-78.00000,2.00000,-80.00000,-80.00000,-80.00000,-88.00000,-86.00000,73.00000,73.00000,-1.09000,-1.09000,5.67040,,,100.00000,-344.00000,-344.00000,-312.00000,-320.00000,0.01990,0.75760,118.80000,-13.33330,-13.33330,-6.37960,-13.33330,8.20790,-1.34250,-1.38360
2022-12-31,34.00000,34.00000,80.00000,28.00000,,-74.00000,7.00000,-67.00000,,-67.00000,-67.00000,-67.00000,-75.00000,-74.00000,72.00000,72.00000,-0.92000,-0.92000,5.52850,,,100.00000,-217.64700,-217.64700,-197.05880,-197.05880,0.02530,0.87180,103.23530,-10.19790,-10.19790,-4.98140,-10.19790,9.01230,-0.9527,-0.9529
2022-09-30,33.00000,33.00000,77.00000,26.00000,,-70.00000,5.00000,-65.00000,0.00000,-65.00000,-65.00000,-65.00000,-68.00000,-70.00000,72.20000,72.20000,-0.90000,-0.90000,6.21480,,,100.00000,-212.12120,-212.12120,-196.96970,-196.96970,0.02370,1.07460,83.75180,-9.30300,-9.30300,-4.66340,-9.30300,9.65700,-1.1673,-1.1947
2022-06-30,27.00000,27.00000,70.00000,26.00000,,-69.00000,2.00000,-67.00000,0.00000,-67.00000,-67.00000,-67.00000,-67.00000,-69.00000,71.80000,71.80000,-0.93000,-0.93000,7.48350,,,100.00000,-255.55560,-255.55560,-248.14820,-248.14820,0.01830,0.69180,130.09000,-8.96460,-8.96460,-4.53690,-8.96460,10.36810,-0.9821,-0.9957
2022-03-31,18.00000,18.00000,61.00000,24.00000,,-67.00000,,-67.00000,1.00000,-68.00000,-68.00000,-68.00000,-64.00000,-67.00000,71.20000,71.20000,-0.96000,-0.96000,7.84000,,,100.00000,-372.22220,-372.22220,-372.22220,-377.77780,0.01170,0.55960,160.82500,-8.53650,-8.53650,-4.40580,-8.53650,11.12200,9.18540,9.14330
2021-12-31,354.61700,354.61700,50.58800,23.01000,,281.01900,0.51900,281.53800,,279.53800,279.53800,279.53800,284.63200,281.01900,69.30000,74.00000,4.04000,3.99000,7.60240,,,100.00000,79.24580,79.24580,79.39210,78.82820,0.22270,0.47600,189.07720,33.19930,33.19930,17.55890,33.19930,11.89270,-0.6915,-0.7921
2021-09-30,9.46100,9.46100,71.25400,16.34300,,-78.13600,0.16100,-77.97500,,-77.97500,-77.97500,-77.97500,-75.78100,-78.13600,70.11010,70.11010,-1.11000,-1.11000,3.81680,,,100.00000,-825.87460,-825.87460,-824.17290,-824.17290,0.01130,3.07980,29.22310,-14.37040,-14.37040,-9.29060,-14.37040,7.72480,-0.7562,-0.8676
2021-06-30,9.46100,9.46100,68.77100,16.82600,,-76.13600,0.16600,-75.97000,,-75.97000,-75.97000,-75.97000,-74.41000,-76.13600,69.74500,69.74500,-1.09000,-1.09000,5.72180,,,100.00000,-804.73520,-804.73520,-802.98060,-802.98060,0.01050,3.18020,28.30040,-12.56630,-12.56630,-8.45260,-12.56630,8.47020,-1.0232,-1.1082
2021-03-31,9.46100,9.46100,66.38700,15.82100,,-72.74700,0.15400,-72.59300,,-72.59300,-72.59300,-72.59300,-71.44100,-72.74700,67.08200,67.08200,-1.08000,-1.08000,6.37510,,,100.00000,-768.91450,-768.91450,-767.28670,-767.28670,0.01010,1.51040,59.58780,-10.91970,-10.91970,-7.76300,-10.91970,9.36770,-0.98860,-1.04290
2020-12-31,9.97000,9.97000,48.36400,13.38300,,-51.77700,-0.21800,-51.99500,,-51.99500,-51.99500,-51.99500,-51.36700,-51.77700,54.80000,54.80000,-0.71000,-0.71000,6.04770,,,100.00000,-519.32790,-519.32790,-521.51450,-521.51450,0.01290,5.87160,15.32800,-10.35130,-10.35130,-6.73260,-10.35130,7.88650,-0.4466,-0.4778
2020-09-30,64.53000,64.53000,51.80100,11.17700,,1.55200,0.27000,1.82200,,1.82200,1.82200,1.82200,2.54200,1.55200,62.59900,65.14600,0.03000,0.03000,4.89470,,,100.00000,2.40510,2.40510,2.82350,2.82350,0.07960,21.86720,4.11580,0.33470,0.33470,0.22460,0.33470,8.38550,3.6092,3.5953
2020-06-30,1.75000,1.75000,35.69300,11.43200,,-45.37500,0.30100,-45.07400,,-45.07400,-45.07400,-45.07400,-44.51300,-45.37500,48.55700,48.55700,-0.93000,-0.93000,11.78260,,,100.00000,-2592.85700,-2592.85700,-2575.65700,-2575.65700,0.00360,3.79610,23.70860,-10.51390,-10.51390,-9.36330,-10.51390,7.27350,-0.4308,-0.4357
2020-03-31,1.75000,1.75000,23.14200,7.00800,,-28.40000,0.64700,-27.75300,,-27.75300,-27.75300,-27.75300,-27.66200,-28.40000,44.28300,44.28300,-0.63000,-0.63000,7.91360,,,100.00000,-1622.85700,-1622.85700,-1585.88600,-1585.88600,0.00990,5.08720,17.69140,-19.73360,-19.73360,-15.75590,-19.73360,3.05850,-0.70630,-0.71100
2019-12-31,9.75000,9.75000,20.68700,6.59000,,-17.52700,0.92900,-16.59800,,-16.59800,-16.59800,-16.59800,-17.09600,-17.52700,43.82600,43.82600,-0.37000,-0.37000,8.48700,,,100.00000,-179.76410,-179.76410,-170.23590,-170.23590,0.04800,25.45690,3.53540,-10.13050,-10.13050,-8.17190,-10.13050,3.56760,-0.2198,-0.2244
2019-09-30,1.75000,1.75000,17.24100,7.75800,,-23.24900,0.89700,-22.35200,,-22.35200,-22.35200,-22.35200,-22.99600,-23.24900,43.93900,43.93900,-0.51000,-0.51000,9.52120,,,100.00000,-1328.51400,-1328.51400,-1277.25700,-1277.25700,0.00810,0.33170,271.33720,-12.61210,-12.61210,-10.30250,-12.61210,3.86600,-0.6209,-0.6333
2019-06-30,1.75000,1.75000,24.99900,5.91100,,-29.16000,1.07000,-28.09000,,-28.09000,-28.09000,-28.09000,-29.11000,-29.16000,43.79800,43.79800,-0.64000,-0.64000,8.58950,,,100.00000,-1666.28600,-1666.28600,-1605.14300,-1605.14300,0.00730,28.22580,3.18860,-14.28460,-14.28460,-11.75440,-14.28460,4.28850,-0.4485,-0.4609
2019-03-31,1.75000,1.75000,15.55400,4.96900,,-18.77300,1.10300,-17.67000,,-17.67000,-17.67000,-17.67000,-18.56700,-18.77300,43.50900,43.50900,-0.41000,-0.41000,12.89350,,,100.00000,-1072.74300,-1072.74300,-1009.71400,-1009.71400,0.00680,,,-7.97500,-7.97500,-6.83480,-7.97500,4.97510,-0.38700,-0.40150
2018-12-31,1.56200,1.56200,11.43600,3.61000,,-13.48400,1.18900,-12.29500,,-12.29500,-12.29500,-12.29500,-13.27200,-13.48400,34.61800,34.61800,0.51000,0.51000,15.29070,,,100.00000,-863.25210,-863.25210,-787.13200,-787.13200,0.00570,18.81930,4.78230,-5.23320,-5.23320,-4.47210,-5.23320,5.27510,-0.4042,-0.431
2018-09-30,4.29100,4.29100,12.85900,3.57700,,-12.14500,1.33300,-10.81200,,-10.81200,-10.81200,-10.81200,-12.18800,-12.14500,42.83800,42.83800,-0.25000,-0.25000,15.97010,,,100.00000,-283.03430,-283.03430,-251.96920,-251.96920,0.01500,0.83910,107.26170,-4.41090,-4.41090,-3.77090,-4.41090,5.51400,-0.2706,-0.2965
2018-06-30,1.25000,1.25000,13.69900,3.45000,,-15.89900,2.36600,-13.53300,,-13.53300,-13.53300,-13.53300,-14.98400,-15.89900,42.53400,42.53400,-0.32000,-0.32000,16.32730,,,100.00000,-1271.92000,-1271.92000,-1082.64000,-1082.64000,0.00430,6.47670,13.89600,-5.31590,-5.31590,-4.60520,-5.31590,5.72630,0.8289,0.8846
2018-03-31,1.25000,1.25000,11.65200,2.92900,,-13.33100,0.37700,-12.95400,,-12.95400,-12.95400,-12.95400,-12.50300,-13.33100,9.48840,9.48840,-1.37000,-1.37000,19.77760,,,100.00000,-1066.48000,-1066.48000,-1036.32000,-1036.32000,0.00410,23.14820,3.88800,-4.85910,-4.85910,-4.24170,-4.85910,5.99700,-1.39610,-1.50720
2017-12-31,1.25300,1.25300,12.15800,2.45600,,-13.36100,0.13900,-13.21200,0.00000,-13.21200,-13.21200,-13.21200,-12.67700,-13.36100,1.82800,1.82800,-6.57000,-6.57000,13.89820,,,100.00000,-1066.32100,-1066.32100,-1054.42900,-1054.42900,0.00660,50.12000,1.79570,18.26680,-8.58660,-6.93590,-8.58660,37.61130,7.1464,6.8083
2017-09-30,0.16300,0.16300,21.43500,1.86200,,-23.13400,0.01200,-23.12200,,-23.12200,-23.12200,-23.12200,-22.32000,-23.13400,1.94900,1.94900,-11.86000,-11.86000,,,,100.00000,-14192.64000,-14192.64000,-14185.28000,-14185.28000,,,,,,,,,-11.1608,-11.2513
