Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin
2024-09-30,3615.66800,1342.21900,2273.44900,98.84560,1418.95500,161.27440,1356.52600,916.92290,-102.74740,814.17560,165.17620,648.99940,648.99940,630.79100,916.92290,916.92290,,,,0.00000,62.87770,25.35970,25.35970,22.51800,17.44600
2024-06-30,,,,,,,,,,,,,,,,,,,,0.00000,,,,,
2024-03-31,3701.58400,1370.81600,2330.76800,90.03510,1401.25000,-8.87670,1500.16200,830.60570,-82.42650,748.17900,188.94690,559.23210,559.23210,536.40630,830.60570,830.60570,4600.39700,4600.39700,0.11660,0.11660,62.96680,22.43920,22.43920,20.21240,14.49130
2023-09-30,3541.98800,1369.70400,2172.28400,94.94250,1339.32200,1.26590,1432.99900,739.28560,-111.39920,627.88640,154.43980,473.44660,473.44660,462.05350,739.28560,739.28560,,,,0.00000,61.32950,20.87210,20.87210,17.72700,13.04500
2023-03-31,3627.39300,1392.16100,2235.23200,91.11000,1378.79800,-3.64440,1473.55200,761.67970,-103.25800,658.42160,154.27960,504.14200,504.14200,472.55720,761.67970,761.67970,4632.91400,4632.91400,0.10200,0.10200,61.62090,20.99800,20.99800,18.15140,13.02750
2022-12-31,,,,,,,,,,,,,,,,,,,,0.00000,,,,,
2022-06-30,,,,,,,,,,,,,,,,,,,,0.00000,,,,,
