Date,revenue,gross-profit,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,30.42400,30.42400,25.96700,4.45700,0.36900,4.82600,1.09600,3.73000,3.73000,2.25200,5.49100,4.45700,9.54100,9.57900,0.24000,0.24000,1.92800,0.00200,100.00000,14.64960,14.64960,15.86250,7.40210,0.16520,2.37080,37.96250,3.03550,8.88370,2.02530,3.03550,8.83440,1.3902,1.3508
2024-06-30,30.99300,30.99300,25.68400,5.30900,0.26700,5.57600,1.19600,4.38000,4.38000,2.66500,6.36700,5.30900,9.51000,9.54800,0.28000,0.28000,2.16660,0.00220,100.00000,17.12970,17.12970,17.99120,8.59870,0.17450,2.70300,33.29590,3.54640,10.41820,2.46640,3.54640,8.82810,1.6822,1.6454
2024-03-31,30.27200,30.27200,24.36800,5.90400,0.30400,6.20800,1.29300,4.91500,4.91500,3.00000,6.92300,5.90400,9.48000,9.51600,0.32000,0.32000,2.42220,0.01740,100.00000,19.50320,19.50320,20.50740,9.91010,0.17790,2.53680,35.47730,4.02700,12.28320,2.88820,4.02700,8.77430,-2.53130,-2.59470
2023-12-31,28.54200,28.54200,29.51100,-0.96900,0.53600,-0.43300,0.20900,-0.64200,-0.64200,-0.41100,0.03200,-0.96900,9.43100,9.46400,-0.05000,-0.04000,1.62740,0.02510,100.00000,-3.39500,-3.39500,-1.51710,-1.44000,0.14300,2.99620,30.03780,-0.52700,-1.63770,-0.32170,-0.52700,8.75700,1.5501,1.498
2023-09-30,29.70400,29.70400,23.18500,6.51900,0.25300,6.77200,1.39200,5.38000,5.38000,3.21600,7.51600,6.51900,9.35500,9.37800,0.34000,0.34000,1.82780,0.03130,100.00000,21.94650,21.94650,22.79830,10.82680,0.15530,3.02550,29.74750,4.34250,13.22260,2.81250,4.34250,8.92140,1.7094,1.6308
2023-06-30,29.73400,29.73400,23.21600,6.51800,-0.06300,6.45500,1.32000,5.13500,5.13500,3.08500,7.57500,6.51800,9.45600,9.48000,0.33000,0.33000,1.94410,0.03210,100.00000,21.92100,21.92100,21.70920,10.37530,0.16290,3.19690,28.15260,4.20310,13.38180,2.81310,4.20310,8.78810,1.6212,1.4531
2023-03-31,29.43000,29.43000,22.67900,6.75100,-0.05200,6.69900,1.38900,5.31000,5.31000,3.20400,7.71000,6.75100,9.54900,9.57800,0.34000,0.33000,2.25430,0.03910,100.00000,22.93920,22.93920,22.76250,10.88690,0.16480,3.01780,29.82260,4.28070,13.39220,2.97290,4.28070,8.84890,-2.66440,-2.77540
2022-12-31,28.49200,28.49200,24.37100,4.12100,-0.02100,4.10000,0.81900,3.28100,3.28100,2.05700,5.10000,4.12100,9.79300,9.82100,0.22000,0.22000,1.58830,0.05310,100.00000,14.46380,14.46370,14.39000,7.21960,0.13400,3.12480,28.80180,2.60740,8.04010,1.54270,2.60740,8.92110,1.5995,1.5702
2022-09-30,29.04200,29.04200,21.94000,7.10200,0.00100,7.10300,1.46000,5.64300,5.64300,3.43300,8.07900,7.10200,9.81500,9.84700,0.35000,0.35000,1.67770,0.05240,100.00000,24.45420,24.45420,24.45770,11.82080,0.14160,3.08400,29.18290,4.40960,13.33950,2.75150,4.40960,8.95220,1.4433,1.4045
2022-06-30,32.17300,32.17300,20.27300,11.90000,-0.07400,11.82600,2.35300,9.47300,9.47300,5.77000,12.87000,11.90000,9.88700,9.91300,0.58000,0.58000,1.68610,0.05740,100.00000,36.98750,36.98750,36.75750,17.93430,0.15520,3.57960,25.14280,7.30200,21.81710,4.56950,7.30200,8.93840,1.7196,1.6937
2022-03-31,33.51000,33.51000,18.07100,15.43900,-0.06900,15.37000,2.97400,12.39600,12.39600,7.56800,16.39600,15.43900,9.86900,9.89100,0.77000,0.77000,1.65600,0.06670,100.00000,46.07280,46.07280,45.86690,22.58430,0.16930,3.54830,25.36440,9.89910,32.39260,6.26370,9.89910,8.65820,-2.38150,-2.38480
