Date,revenue,cost-goods-sold,gross-profit,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,837.60020,549.20010,288.40000,-158.30000,183.99990,104.40020,-28.70000,75.70000,61.10000,14.60000,14.60000,2.50000,14.60000,145.60020,104.40010,70.40000,70.40000,0.19000,0.20000,1.26980,0.56230,1.29890,34.43170,12.46420,12.46420,9.03770,1.74310,0.15990,1.04570,1.28310,70.14330,1.00180,-0.87730,0.27870,0.43850,20.76070,2.3655,2.9302
2024-06-30,786.60000,520.20000,266.40000,-174.20000,226.60000,39.79990,-297.20000,-257.40000,-10.50000,-246.90000,-246.90000,,-248.90000,80.79990,39.79990,70.50000,70.50000,-3.53000,-3.53000,1.34900,0.58940,1.44910,33.86730,5.05970,5.05970,-32.72310,-31.64250,0.14920,0.90710,1.15610,77.84900,-17.12920,15.07420,-4.68370,-7.03360,20.53280,0.646,0.4662
2024-03-31,785.30000,534.60000,250.70000,-181.40000,207.10000,43.60000,-30.80000,12.80000,4.20000,8.60000,8.60000,,6.10000,85.70000,43.60000,70.40000,70.70000,0.09000,0.09000,1.34360,0.55370,1.25250,31.92410,5.55200,5.55200,1.63000,0.77680,0.14100,0.90780,1.15790,77.72570,0.51120,-0.50320,0.15440,0.22820,23.96300,0.0462,-0.1343
2023-12-31,773.30000,522.30000,251.00000,-157.90000,191.70000,59.30000,-29.80000,29.50000,10.00000,19.50000,19.50000,-0.30000,17.20000,99.20000,59.30000,70.30000,70.50000,0.25000,0.24000,1.28170,0.54040,1.18780,32.45830,7.66840,7.66840,3.81480,2.22420,0.13850,0.85980,1.20880,74.45110,1.13440,-1.12780,0.34920,0.52130,24.52210,-0.34040,-0.51490
2023-09-30,762.79990,495.20010,267.59980,-153.00000,173.99990,93.59990,-21.80000,71.80000,52.60000,19.20000,19.20000,1.20000,18.20000,127.19990,93.60000,69.80000,70.10000,0.24000,0.26000,1.24520,0.54480,1.20880,35.08130,12.27060,12.27060,9.41270,2.38590,0.13750,0.83560,1.15770,77.74120,1.15460,-1.10200,0.34610,0.52560,23.78970,1.0525,0.7197
2023-06-30,716.60000,469.70000,246.90000,-143.60000,163.30000,83.60000,-15.80000,67.80000,23.80000,44.00000,44.00000,1.00000,43.30000,115.50000,83.60000,70.00000,70.30000,0.62000,0.62000,1.34260,0.44090,0.79460,34.45440,11.66620,11.66620,9.46130,6.04240,0.15140,0.82640,1.19690,75.19260,2.61050,-4.57620,0.92950,1.45950,24.11300,1.2627,1.0663
2023-03-31,690.90000,464.80000,226.10000,-139.50000,159.30000,66.80010,-18.60000,48.20000,24.10000,24.10000,24.10000,439.40000,462.70000,98.80010,66.80010,69.70000,70.10000,6.64000,6.60000,1.26150,0.43890,0.78830,32.72540,9.66860,9.66860,6.97640,66.97060,0.14300,0.79010,1.08970,82.58790,1.44590,-2.39400,0.49890,0.81130,23.94830,0.7179,0.4777
2022-12-31,655.70000,448.10000,207.60000,-137.90000,157.00000,50.60000,-21.50000,29.10000,2.30000,26.80000,26.80000,21.00000,45.50000,82.50000,50.60000,69.40000,69.80000,0.66000,0.65000,1.38720,0.61310,1.59320,31.66080,7.71690,7.71690,4.43800,6.93910,0.13420,0.75740,1.09850,81.92920,2.24680,-1.82940,0.54850,0.86920,17.21210,-0.08020,-0.28800
2022-09-30,603.90000,401.59990,202.30010,-105.60000,118.80000,83.50010,-20.90000,62.60000,29.60000,33.00000,33.00000,26.20000,56.80000,108.60010,83.50010,71.70000,72.20000,0.82000,0.80000,1.30160,0.52450,1.10300,33.49890,13.82680,13.82680,10.36600,9.40550,0.15610,0.82700,1.29540,69.47840,2.97830,-3.87730,0.85330,1.41620,16.08130,1.0142,0.8254
2022-06-30,579.80000,388.80000,191.00000,-111.60000,125.00000,66.00000,-15.00000,51.00000,19.90000,31.10000,31.10000,19.00000,48.80000,91.00000,66.00000,71.40000,72.00000,0.68000,0.68000,1.33140,0.51360,1.05590,32.94240,11.38320,11.38320,8.79610,8.41670,0.14890,0.76820,1.15540,77.89240,2.70360,-3.74020,0.79870,1.31510,16.50360,-0.2121,-0.3457
