Date,revenue,cost-goods-sold,gross-profit,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,280.58710,47.02990,233.55720,-107.85760,122.11940,111.43790,-63.17860,48.25920,7.46190,40.79740,40.79740,,40.97220,167.44140,111.43790,210.46700,227.80500,0.13200,0.12100,1.52550,0.03900,0.05150,83.23880,39.71600,39.71600,17.19940,14.60230,0.11210,3.50940,25.64510,4.04940,-5.28150,1.62920,3.89150,,0.6382,0.6337
2024-06-30,299.83050,78.14420,221.68630,-106.94160,192.71340,28.97290,-29.28850,-0.31550,1.33860,-1.65410,-1.65410,,-1.56040,114.06850,28.97290,226.97300,245.61800,0.00000,0.00000,1.54040,0.04360,0.05610,73.93720,9.66310,9.66310,-0.10520,-0.52040,0.12390,2.63670,34.13420,-0.17490,0.21570,-0.06840,-0.16730,,0.343,0.3411
2024-03-31,288.68110,70.80720,217.87390,-98.22980,181.67230,36.20160,-35.86390,0.33770,1.04230,-0.70460,-0.70460,,-0.62320,119.64410,36.20160,209.87100,223.60600,0.00000,0.00000,1.38130,0.04340,0.05550,75.47220,12.54030,12.54030,0.11700,-0.21590,0.11900,3.01580,29.84320,-0.07440,0.08410,-0.02900,-0.07120,,0.32620,0.31770
2023-12-31,272.24170,72.99120,199.25050,-112.70220,186.51770,12.73280,13.49240,26.22510,1.09760,25.12750,25.12750,-0.32090,25.37020,96.60180,12.73270,186.67000,188.67300,0.15770,0.16660,1.26100,0.04440,0.05750,73.18890,4.67700,4.67700,9.63300,9.31900,0.11190,3.23430,27.82690,2.65990,-2.81590,1.03310,2.54180,0.84990,0.4662,0.4101
2023-09-30,218.80870,49.26100,169.54770,-97.69590,139.25530,30.29230,-18.79450,11.49790,6.47490,5.02300,5.02300,-0.53880,4.71820,71.65340,30.29230,207.60000,220.83400,0.02180,0.01090,1.55500,0.02430,0.03410,77.48670,13.84420,13.84420,5.25480,2.15630,0.14430,3.16510,28.43480,0.57930,-14.57260,0.33130,0.56530,,0.3707,0.3591
2023-06-30,235.99960,48.57730,187.42230,-108.39450,165.21960,22.20270,-20.41990,1.78280,1.74680,0.03600,0.03600,0.04690,0.09600,79.83790,22.20270,206.98500,219.51000,0.00000,0.00000,1.48150,0.01820,0.02870,79.41640,9.40800,9.40800,0.75540,0.04070,0.15650,3.32440,27.07270,0.00420,-0.05020,0.00240,0.00420,,0.4657,0.4564
2023-03-31,222.79920,51.99010,170.80910,-100.24480,151.39020,19.41890,-7.84440,11.57450,4.26460,7.30990,7.30990,,7.32270,70.56430,19.41890,340.59200,340.59200,0.02150,0.02150,1.30740,0.01850,0.02870,76.66500,8.71590,8.71590,5.19500,3.28670,0.14850,2.98940,30.10620,0.88670,-8.46290,0.48710,0.87020,,0.18110,0.17420
2022-12-31,212.24850,50.19880,162.04970,-115.69100,167.28510,-5.23550,-26.80050,-32.03600,3.24430,-35.28030,-35.28030,,-34.48290,55.19150,-5.23550,,,,0.00000,1.29960,0.02000,0.03020,76.34900,-2.46670,-2.46670,-15.09360,-16.24650,0.14500,3.09720,29.05860,-4.42090,38.84490,-2.41070,-4.33240,0.71860,0,0
2022-09-30,180.12260,47.87830,132.24440,-84.83140,116.82000,15.42430,-0.66270,14.76150,1.91970,12.84180,12.84180,,12.59000,41.62330,15.42430,,,,0.00000,2.06090,0.22470,0.29760,73.41910,8.56320,8.56320,8.19530,6.98970,0.10640,3.25780,27.62630,1.60180,-14.38500,0.75870,1.24200,,0,0
2022-06-30,188.56450,46.01600,142.54850,-86.03630,138.29070,4.25790,19.09390,23.35170,-0.92900,24.28080,24.28080,,24.25310,53.46890,4.25790,,,,0.00000,2.97870,0.35920,0.56920,75.59670,2.25800,2.25800,12.38400,12.86200,0.09590,3.36750,26.72590,2.97950,-18.79330,1.23500,1.90930,,0,0
2022-03-31,188.39040,41.33740,147.05310,-76.03240,134.91420,12.13880,0.52740,12.66630,3.45530,9.21100,9.21100,,9.11450,71.02070,12.13880,,,,0.00000,3.15080,0.37290,0.60390,78.05760,6.44340,6.44340,6.72340,4.83810,0.09480,3.21560,27.98870,1.13880,-8.10230,0.46350,0.71410,,0.00000,
2021-09-30,161.27330,34.68380,126.58950,-86.42360,118.47660,8.11290,-15.17630,-7.06340,3.59300,-10.65640,-10.65640,,-10.41120,38.51880,8.11290,,,,0.00000,3.09930,0.39420,0.66090,78.49380,5.03050,5.03050,-4.37980,-6.45560,0.07990,4.19810,21.43840,-1.36810,7.62420,-0.52800,-0.82880,,-153.4095,-148.7717
2021-06-30,173.02480,39.29660,133.72820,-77.01120,110.60980,23.11840,1.94110,25.05950,6.62210,18.43740,18.43740,,18.34580,23.11840,23.11840,0.53050,0.53050,34.58100,34.58100,1.28710,0.67540,2.11380,77.28850,13.36130,13.36130,14.48320,10.60300,0.14280,4.69730,19.16000,7.41710,-4.41830,1.52120,2.40780,0.22410,153.4095,148.7717
2020-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
