Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,97.41000,17.06300,80.34700,22.18300,56.45900,,78.64200,1.70500,2.91200,4.61700,3.89900,0.71800,0.71800,1.09400,7.11100,1.70500,146.43600,149.42700,0.01000,0.01000,2.40960,82.48330,1.75030,1.75030,4.73980,1.12310,0.25380,10.42490,8.63320,0.27720,0.41280,0.18710,0.27720,1.76700,0.0537,0.0407
2024-06-30,90.95100,14.95700,75.99400,19.28800,53.31200,,72.60000,3.39400,2.61600,6.01000,4.64900,1.36100,1.36100,1.65900,7.56600,3.39400,145.67800,148.82500,0.01000,0.01000,2.50520,83.55490,3.73170,3.73170,6.60800,1.82410,0.24390,10.03870,8.96530,0.56610,0.78740,0.36490,0.56610,1.64520,0.0808,0.0507
2024-03-31,85.81200,14.64500,71.16700,17.30400,52.39500,,69.69900,1.46800,3.63900,5.10700,3.10400,2.00300,2.00300,2.13800,5.59600,1.46800,144.56600,147.69800,0.01000,0.01000,2.75340,82.93360,1.71070,1.71070,5.95140,2.49150,0.25110,12.06070,7.46220,0.86690,1.05780,0.58610,0.86690,1.59640,0.10010,0.08130
2023-12-31,83.39400,13.68400,69.71000,15.37100,51.65700,0.00000,67.02800,2.68200,5.58500,8.26700,1.39300,6.87400,6.87400,6.87400,6.13400,2.68200,142.59300,146.06500,0.05200,0.05200,2.81070,83.59120,3.21610,3.21610,9.91320,8.24280,0.25160,10.56020,8.52260,3.06440,3.74910,2.07370,3.06440,1.55650,0.0791,0.0607
2023-09-30,78.71800,13.03200,65.68600,14.07500,48.86300,,62.93800,2.74800,2.10400,4.85200,0.63700,4.21500,4.21500,4.21500,5.60900,2.74800,142.83700,146.27100,0.03000,0.03000,2.93810,83.44470,3.49090,3.49090,6.16380,5.35460,0.26070,13.52540,6.65410,2.05840,2.28910,1.39590,2.05840,1.43100,0.0454,0.0366
2023-06-30,74.69300,12.97200,61.72100,14.11600,49.62500,-0.30900,64.05000,-2.32900,2.91900,0.59000,0.86900,-0.27900,-0.27900,-0.27900,0.29200,-2.32900,142.23900,142.23900,-0.00200,-0.00200,2.84060,82.63290,-3.11810,-3.11810,0.78990,-0.37350,0.25420,17.42720,5.16430,-0.14240,-0.15870,-0.09490,-0.14240,1.37340,-0.0443,-0.0602
2023-03-31,70.87000,12.63900,58.23100,13.88000,54.13600,-0.98300,68.99900,-10.76800,1.70500,-9.06300,0.79700,-9.86000,-9.86000,-9.86000,-8.60000,-10.76800,141.65000,141.65000,-0.07000,-0.07000,2.74350,82.16590,-15.19400,-15.19400,-12.78820,-13.91280,0.23980,18.36960,4.89940,-5.09680,-5.65410,-3.33670,-5.09680,1.36440,-0.02550,-0.03480
2022-12-31,68.78500,11.96300,56.82200,13.26100,56.98700,-1.84700,72.09500,-15.27300,1.10300,-14.17000,-0.26900,-13.90100,-13.90100,-13.90100,-13.40600,-15.27300,141.16000,141.16000,-0.10000,-0.10000,2.90160,82.60810,-22.20400,-22.20400,-20.60040,-20.20940,0.23030,19.32710,4.65670,-6.95380,-7.59250,-4.65400,-6.95380,1.41190,-0.0682,-0.0729
2022-09-30,65.79300,12.40500,53.38800,10.13400,47.57600,-5.93200,63.64200,-10.25400,1.48300,-8.77100,0.32100,-9.09200,-9.09200,-9.09200,-5.46700,-10.25400,141.25600,141.25600,-0.06000,-0.06000,3.26390,81.14540,-15.58520,-15.58520,-13.33120,-13.81910,0.22390,23.82080,3.77820,-4.30340,-4.69420,-3.09480,-4.30340,1.49330,-0.0042,-0.0162
2022-06-30,62.61000,12.59800,50.01200,9.67100,45.11200,-3.48500,58.26800,-8.25600,0.71100,-7.54500,0.73900,-8.28400,-8.28400,-8.28400,-2.81000,-8.25600,141.04200,141.04200,-0.06000,-0.06000,3.28230,79.87860,-13.18640,-13.18640,-12.05080,-13.23110,0.20710,26.68800,3.37230,-3.80180,-4.14590,-2.74080,-3.80180,1.54390,-0.0528,-0.0735
2022-03-31,57.12800,11.58700,45.54100,8.13800,39.99300,,48.13100,-2.59000,0.15900,-2.43100,0.14000,-2.57100,-2.57100,-2.57100,0.94800,-2.59000,140.79000,140.79000,-0.02000,-0.02000,3.43590,79.71750,-4.53370,-4.53370,-4.25540,-4.50040,0.18580,20.18660,4.45840,-1.14490,-1.25350,-0.83620,-1.14490,1.59310,0.05700,0.05230
2021-12-31,53.74600,11.56100,42.18500,6.82600,39.01300,,45.83900,-3.65400,-0.26600,-3.92000,-0.05800,-3.86200,-3.86200,-3.86200,-0.64600,-3.65400,126.58600,126.58600,-0.04340,-0.03340,3.96290,78.48960,-6.79860,-6.79860,-7.29360,-7.18570,0.17910,24.54160,3.66720,-1.71230,-1.75050,-1.28700,-1.71230,1.60290,0.0495,0.0343
