Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2023-09-30,460.70000,393.10000,67.60000,37.60000,,46.60000,21.00000,-7.40000,13.60000,3.50000,10.10000,10.10000,9.20000,30.00000,21.00000,19.65000,19.91000,0.47000,0.46000,0.57790,1.42720,4.55830,4.55830,2.95200,1.99700,0.39430,4.00630,-2.84990,0.86450,1.69120,12.82950,1.6286,1.3444
2023-06-30,442.20000,376.30000,65.90000,31.80000,,40.60000,25.30010,-7.20000,18.10000,4.80000,13.30000,13.30000,12.30000,34.10010,25.30010,19.63200,19.84000,0.63000,0.62000,0.59330,1.51490,5.72140,5.72140,4.09320,2.78150,0.38580,5.50950,-3.63690,1.16030,2.24060,12.28500,0.6709,0.4386
2023-03-31,425.30000,367.00000,58.30000,30.60000,,39.00000,19.30000,-6.70000,12.60000,3.30000,9.30000,9.30000,8.40000,27.70000,19.30000,19.70100,19.86700,0.43000,0.42000,0.61800,1.67240,4.53800,4.53800,2.96260,1.97510,0.37790,4.12780,-2.42120,0.82630,1.57680,11.47730,0.38760,0.05030
2022-12-31,418.30000,365.00000,53.30000,30.70000,,39.89990,13.40010,-5.50000,7.90000,2.50000,5.40000,5.40000,4.80000,22.60010,13.40020,20.80900,21.00700,0.25000,0.25000,0.59520,1.52500,3.20350,3.20350,1.88860,1.14750,0.37300,2.39260,-1.39750,0.48150,0.96860,11.41800,0.8376,0.5721
2022-09-30,404.40000,346.20000,58.20000,27.20000,,34.40000,23.80000,-3.80000,20.00000,4.90000,15.10000,15.10000,14.30000,31.00000,23.80000,20.74500,20.97800,0.69000,0.68000,0.54840,1.26320,5.88530,5.88530,4.94560,3.53610,0.37450,6.25000,-4.52230,1.39830,2.82240,11.84430,1.9321,1.5719
2022-06-30,381.00000,322.20000,58.80000,26.70000,,33.20000,25.60000,-3.40000,22.20000,5.90000,16.30000,16.30000,15.40000,32.10000,25.60000,21.19600,21.35600,0.73000,0.72000,0.54540,1.24870,6.71920,6.71920,5.82680,4.04200,0.34850,6.58050,-4.93640,1.49080,2.99140,10.64190,0.4345,0.1208
2022-03-31,349.80000,298.40000,51.40000,24.50000,,31.30000,20.10000,-4.60000,15.50000,4.20000,11.30000,11.30000,10.70000,26.90000,20.10000,21.22700,21.33800,0.50000,0.50000,0.54890,1.32480,5.74610,5.74610,4.43110,3.05890,0.32120,4.80440,-3.29350,1.03760,2.16720,10.11090,1.23720,1.13410
2021-12-31,343.20000,294.19990,49.00010,24.10000,,30.70010,18.30000,-4.90000,13.40000,4.00000,9.40000,9.40000,8.90000,24.90000,18.30000,21.16600,21.38000,0.43000,0.41000,0.57330,1.45880,5.33220,5.33220,3.90440,2.59320,0.30750,4.23230,-2.61910,0.84210,1.80600,10.48140,1.0912,0.9411
2021-09-30,311.60000,265.60000,46.00000,21.10000,,27.10000,18.90000,-5.10000,13.80000,1.60000,12.20000,12.20000,11.50000,24.90000,18.90000,21.18500,21.40000,0.54000,0.54000,0.60280,1.63980,6.06550,6.06550,4.42880,3.69060,0.28370,5.77380,-3.28050,1.11090,2.29320,9.09870,0.3173,0.2146
2021-06-30,275.70000,229.20000,46.50000,22.00000,,28.20000,18.30000,-5.00000,13.30000,3.50000,9.80000,9.80000,9.00000,24.50000,18.30000,21.17700,21.39100,0.42000,0.42000,0.61950,1.75940,6.63770,6.63770,4.82410,3.26440,0.24810,4.95450,-2.52770,0.88180,1.88500,8.51890,1.1361,1.0431
